lncRNA.Homo_sapiens	lncRNA.Canis_lupus_familiaris	orthology_type.Homo_sapiens.Canis_lupus_familiaris	lncRNA.Mus_musculus	orthology_type.Homo_sapiens.Mus_musculus	nbTotalIndication	profilIndication
ENSG00000231720	ENSCAFG00845004897	one_to_one	NA	NA	1	one_to_one:1
ENSG00000231721	NA	NA	ENSMUSG00000086212	many_to_one	1	many_to_one:1
ENSG00000231724	NA	NA	ENSMUSG00000116733	one_to_one	1	one_to_one:1
ENSG00000231731	NA	NA	ENSMUSG00000120022	one_to_one	1	one_to_one:1
ENSG00000231740	NA	NA	ENSMUSG00000085377	many_to_one	1	many_to_one:1
ENSG00000231754	ENSCAFG00845017101;ENSCAFG00845017123	many_to_many_strict	ENSMUSG00000086363	many_to_one	2	many_to_many_strict:1;many_to_one:1
ENSG00000231756	ENSCAFG00845013280	many_to_one	NA	NA	1	many_to_one:1
ENSG00000231758	NA	NA	ENSMUSG00000085089	many_to_one	1	many_to_one:1
ENSG00000231760	NA	NA	ENSMUSG00000120335	one_to_one	1	one_to_one:1
ENSG00000231764	NA	NA	ENSMUSG00000090063	one_to_one	1	one_to_one:1
ENSG00000231769	NA	NA	ENSMUSG00000120221	one_to_one	1	one_to_one:1
ENSG00000231770	NA	NA	ENSMUSG00000120188	one_to_one	1	one_to_one:1
ENSG00000231794	ENSCAFG00845009605	one_to_one	NA	NA	1	one_to_one:1
ENSG00000231814	ENSCAFG00845028096	one_to_one	NA	NA	1	one_to_one:1
ENSG00000231858	NA	NA	ENSMUSG00000109599	one_to_one	1	one_to_one:1
ENSG00000231903	NA	NA	ENSMUSG00000101409;ENSMUSG00000099811	many_to_many	1	many_to_many:1
ENSG00000231918	NA	NA	ENSMUSG00000071033;ENSMUSG00000090160	many_to_many	1	many_to_many:1
ENSG00000231920	NA	NA	ENSMUSG00000085100	one_to_one	1	one_to_one:1
ENSG00000231933	NA	NA	ENSMUSG00000098230	many_to_one	1	many_to_one:1
ENSG00000231969	ENSCAFG00845007905	one_to_one	ENSMUSG00000085862	one_to_one	2	one_to_one:2
ENSG00000231977	NA	NA	ENSMUSG00000086166;ENSMUSG00000121094	many_to_many	1	many_to_many:1
ENSG00000231980	NA	NA	ENSMUSG00000099907	many_to_one	1	many_to_one:1
ENSG00000231985	NA	NA	ENSMUSG00000086708;ENSMUSG00000085084	many_to_many_strict	1	many_to_many_strict:1
ENSG00000231992	ENSCAFG00845014409	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232006	ENSCAFG00845017845	many_to_one	ENSMUSG00000113654	many_to_one	2	many_to_one:2
ENSG00000232021	NA	NA	ENSMUSG00000106086	one_to_one	1	one_to_one:1
ENSG00000232035	ENSCAFG00845027832;ENSCAFG00845027861;ENSCAFG00845027894;ENSCAFG00845027876;ENSCAFG00845027934;ENSCAFG00845027918	one_to_many	NA	NA	1	one_to_many:1
ENSG00000232057	NA	NA	ENSMUSG00000112663;ENSMUSG00000112390	many_to_many	1	many_to_many:1
ENSG00000232065	ENSCAFG00845030117	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232077	ENSCAFG00845024312	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232085	NA	NA	ENSMUSG00000103435	many_to_one	1	many_to_one:1
ENSG00000232086	NA	NA	ENSMUSG00000098739	many_to_one	1	many_to_one:1
ENSG00000232104	NA	NA	ENSMUSG00000092182	many_to_one	1	many_to_one:1
ENSG00000232117	ENSCAFG00845022182	many_to_one	NA	NA	1	many_to_one:1
ENSG00000232121	ENSCAFG00845017452;ENSCAFG00845017408;ENSCAFG00845017427	many_to_many	NA	NA	1	many_to_many:1
ENSG00000232131	ENSCAFG00845000100	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232162	NA	NA	ENSMUSG00000104845	many_to_one	1	many_to_one:1
ENSG00000232183	NA	NA	ENSMUSG00000120929	many_to_one	1	many_to_one:1
ENSG00000232190	NA	NA	ENSMUSG00000097438	many_to_one	1	many_to_one:1
ENSG00000232192	NA	NA	ENSMUSG00000089713	many_to_one	1	many_to_one:1
ENSG00000232194	NA	NA	ENSMUSG00000103583	one_to_one	1	one_to_one:1
ENSG00000232229	NA	NA	ENSMUSG00000117865	many_to_one	1	many_to_one:1
ENSG00000232245	NA	NA	ENSMUSG00000085581	many_to_one	1	many_to_one:1
ENSG00000232259	NA	NA	ENSMUSG00000097471	many_to_one	1	many_to_one:1
ENSG00000232325	ENSCAFG00845010130	many_to_one	NA	NA	1	many_to_one:1
ENSG00000232354	ENSCAFG00845019344	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232360	ENSCAFG00845026338	one_to_one	ENSMUSG00000116763	one_to_one	2	one_to_one:2
ENSG00000232363	NA	NA	ENSMUSG00000115924	one_to_one	1	one_to_one:1
ENSG00000232394	NA	NA	ENSMUSG00000108773	one_to_one	1	one_to_one:1
ENSG00000232406	NA	NA	ENSMUSG00000085524;ENSMUSG00000086872	many_to_many_strict	1	many_to_many_strict:1
ENSG00000232412	NA	NA	ENSMUSG00000120132	one_to_one	1	one_to_one:1
ENSG00000232413	NA	NA	ENSMUSG00000103413;ENSMUSG00000087461	one_to_many	1	one_to_many:1
ENSG00000232415	NA	NA	ENSMUSG00000107318	one_to_one	1	one_to_one:1
ENSG00000232453	NA	NA	ENSMUSG00000085377	many_to_one	1	many_to_one:1
ENSG00000232464	NA	NA	ENSMUSG00000098230	many_to_one	1	many_to_one:1
ENSG00000232480	NA	NA	ENSMUSG00000100393	one_to_one	1	one_to_one:1
ENSG00000232490	NA	NA	ENSMUSG00000098127;ENSMUSG00000098191	one_to_many	1	one_to_many:1
ENSG00000232504	NA	NA	ENSMUSG00000108709	many_to_one	1	many_to_one:1
ENSG00000232519	NA	NA	ENSMUSG00000120722	one_to_one	1	one_to_one:1
ENSG00000232529	ENSCAFG00845000496	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232533	NA	NA	ENSMUSG00000108033	one_to_one	1	one_to_one:1
ENSG00000232539	ENSCAFG00845026388	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232557	ENSCAFG00845014652	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232564	NA	NA	ENSMUSG00000047938	many_to_one	1	many_to_one:1
ENSG00000232581	NA	NA	ENSMUSG00000089889	one_to_one	1	one_to_one:1
ENSG00000232598	NA	NA	ENSMUSG00000117592	one_to_one	1	one_to_one:1
ENSG00000232606	NA	NA	ENSMUSG00000052248	many_to_one	1	many_to_one:1
ENSG00000232618	NA	NA	ENSMUSG00000120437	many_to_one	1	many_to_one:1
ENSG00000232643	ENSCAFG00845022177	one_to_one	ENSMUSG00000087647;ENSMUSG00000085740	one_to_many	2	one_to_many:1;one_to_one:1
ENSG00000232648	NA	NA	ENSMUSG00000074357	one_to_one	1	one_to_one:1
ENSG00000232650	ENSCAFG00845006244	one_to_one	ENSMUSG00000085121	one_to_one	2	one_to_one:2
ENSG00000232655	ENSCAFG00845012265	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232661	NA	NA	ENSMUSG00000087389	many_to_one	1	many_to_one:1
ENSG00000232671	NA	NA	ENSMUSG00000085956	one_to_one	1	one_to_one:1
ENSG00000232675	NA	NA	ENSMUSG00000074753	many_to_one	1	many_to_one:1
ENSG00000232684	NA	NA	ENSMUSG00000084780	many_to_one	1	many_to_one:1
ENSG00000232696	NA	NA	ENSMUSG00000071036;ENSMUSG00000100738;ENSMUSG00000120162;ENSMUSG00000121124	many_to_many	1	many_to_many:1
ENSG00000232715	NA	NA	ENSMUSG00000099907	many_to_one	1	many_to_one:1
ENSG00000232732	NA	NA	ENSMUSG00000097519	one_to_one	1	one_to_one:1
ENSG00000232738	NA	NA	ENSMUSG00000085383	many_to_one	1	many_to_one:1
ENSG00000232762	NA	NA	ENSMUSG00000028612;ENSMUSG00000087200;ENSMUSG00000073779	many_to_many	1	many_to_many:1
ENSG00000232803	NA	NA	ENSMUSG00000121267	many_to_one	1	many_to_one:1
ENSG00000232807	ENSCAFG00845002235	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232811	ENSCAFG00845001767	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232814	NA	NA	ENSMUSG00000084783	many_to_one	1	many_to_one:1
ENSG00000232828	NA	NA	ENSMUSG00000087193	one_to_one	1	one_to_one:1
ENSG00000232832	NA	NA	ENSMUSG00000120962	many_to_one	1	many_to_one:1
ENSG00000232876	NA	NA	ENSMUSG00000112654	one_to_one	1	one_to_one:1
ENSG00000232885	NA	NA	ENSMUSG00000093551;ENSMUSG00000093497	many_to_many	1	many_to_many:1
ENSG00000232893	NA	NA	ENSMUSG00000100850	many_to_one	1	many_to_one:1
ENSG00000232909	NA	NA	ENSMUSG00000117131	one_to_one	1	one_to_one:1
ENSG00000232912	NA	NA	ENSMUSG00000085213	one_to_one	1	one_to_one:1
ENSG00000232913	NA	NA	ENSMUSG00000101079	many_to_one	1	many_to_one:1
ENSG00000232939	NA	NA	ENSMUSG00000073846	one_to_one	1	one_to_one:1
ENSG00000232956	NA	NA	ENSMUSG00000085156	one_to_one	1	one_to_one:1
ENSG00000232973	ENSCAFG00845020477	one_to_one	NA	NA	1	one_to_one:1
ENSG00000232978	ENSCAFG00845014275	many_to_one	NA	NA	1	many_to_one:1
ENSG00000233016	NA	NA	ENSMUSG00000120369	one_to_one	1	one_to_one:1
ENSG00000233038	NA	NA	ENSMUSG00000099907	many_to_one	1	many_to_one:1
ENSG00000233044	NA	NA	ENSMUSG00000121103	many_to_one	1	many_to_one:1
ENSG00000233069	NA	NA	ENSMUSG00000120622	one_to_one	1	one_to_one:1
ENSG00000233081	NA	NA	ENSMUSG00000120159	one_to_one	1	one_to_one:1
ENSG00000233086	NA	NA	ENSMUSG00000120068	one_to_one	1	one_to_one:1
ENSG00000233093	NA	NA	ENSMUSG00000085808	one_to_one	1	one_to_one:1
ENSG00000233099	NA	NA	ENSMUSG00000097745	many_to_one	1	many_to_one:1
ENSG00000233108	NA	NA	ENSMUSG00000087305	one_to_one	1	one_to_one:1
ENSG00000233110	NA	NA	ENSMUSG00000084954;ENSMUSG00000085440	many_to_many	1	many_to_many:1
ENSG00000233138	NA	NA	ENSMUSG00000101014	one_to_one	1	one_to_one:1
ENSG00000233175	NA	NA	ENSMUSG00000092371	many_to_one	1	many_to_one:1
ENSG00000233184	NA	NA	ENSMUSG00000054426	many_to_one	1	many_to_one:1
ENSG00000233191	ENSCAFG00845014177	many_to_one	NA	NA	1	many_to_one:1
ENSG00000233203	NA	NA	ENSMUSG00000086172;ENSMUSG00000085023	many_to_many	1	many_to_many:1
ENSG00000233220	NA	NA	ENSMUSG00000111246	one_to_one	1	one_to_one:1
ENSG00000233237	NA	NA	ENSMUSG00000097970;ENSMUSG00000100775	one_to_many	1	one_to_many:1
ENSG00000233293	NA	NA	ENSMUSG00000079001	many_to_one	1	many_to_one:1
ENSG00000233296	ENSCAFG00845017200	one_to_one	NA	NA	1	one_to_one:1
ENSG00000233304	NA	NA	ENSMUSG00000086272	many_to_one	1	many_to_one:1
ENSG00000233308	NA	NA	ENSMUSG00000116530	one_to_one	1	one_to_one:1
ENSG00000233351	NA	NA	ENSMUSG00000101636	one_to_one	1	one_to_one:1
ENSG00000233355	NA	NA	ENSMUSG00000097009	many_to_one	1	many_to_one:1
ENSG00000233360	NA	NA	ENSMUSG00000084864	one_to_one	1	one_to_one:1
ENSG00000233363	NA	NA	ENSMUSG00000086505	many_to_one	1	many_to_one:1
ENSG00000233367	NA	NA	ENSMUSG00000120593	one_to_one	1	one_to_one:1
ENSG00000233411	NA	NA	ENSMUSG00000089829	many_to_one	1	many_to_one:1
ENSG00000233420	ENSCAFG00845010999	one_to_one	NA	NA	1	one_to_one:1
ENSG00000233429	NA	NA	ENSMUSG00000087658	one_to_one	1	one_to_one:1
ENSG00000233452	NA	NA	ENSMUSG00000112146	one_to_one	1	one_to_one:1
ENSG00000233464	NA	NA	ENSMUSG00000096553	many_to_one	1	many_to_one:1
ENSG00000233485	NA	NA	ENSMUSG00000085424	many_to_one	1	many_to_one:1
ENSG00000233502	NA	NA	ENSMUSG00000120079	one_to_one	1	one_to_one:1
ENSG00000233508	NA	NA	ENSMUSG00000084919;ENSMUSG00000054457	many_to_many	1	many_to_many:1
ENSG00000233570	NA	NA	ENSMUSG00000104256	many_to_one	1	many_to_one:1
ENSG00000233577	ENSCAFG00845028006	many_to_one	NA	NA	1	many_to_one:1
ENSG00000233593	ENSCAFG00845016970	one_to_one	ENSMUSG00000097018	one_to_one	2	one_to_one:2
ENSG00000233611	NA	NA	ENSMUSG00000092627	one_to_one	1	one_to_one:1
ENSG00000233625	NA	NA	ENSMUSG00000074758	one_to_one	1	one_to_one:1
ENSG00000233633	ENSCAFG00845017035	one_to_one	NA	NA	1	one_to_one:1
ENSG00000233639	NA	NA	ENSMUSG00000060424	one_to_one	1	one_to_one:1
ENSG00000233642	NA	NA	ENSMUSG00000085680	one_to_one	1	one_to_one:1
ENSG00000233656	ENSCAFG00845020833	one_to_one	NA	NA	1	one_to_one:1
ENSG00000233721	ENSCAFG00845008346	many_to_one	ENSMUSG00000085463	many_to_one	2	many_to_one:2
ENSG00000233746	ENSCAFG00845027086;ENSCAFG00845027111;ENSCAFG00845027099	one_to_many	NA	NA	1	one_to_many:1
ENSG00000233783	ENSCAFG00845017653	many_to_one	ENSMUSG00000115469;ENSMUSG00000114988;ENSMUSG00000115518	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSG00000233791	NA	NA	ENSMUSG00000121237	one_to_one	1	one_to_one:1
ENSG00000233797	ENSCAFG00845008529	one_to_one	NA	NA	1	one_to_one:1
ENSG00000233821	NA	NA	ENSMUSG00000115244;ENSMUSG00000115363;ENSMUSG00000067973	many_to_many	1	many_to_many:1
ENSG00000233825	NA	NA	ENSMUSG00000101320	many_to_one	1	many_to_one:1
ENSG00000233845	NA	NA	ENSMUSG00000085287;ENSMUSG00000089701;ENSMUSG00000089755	many_to_many	1	many_to_many:1
ENSG00000233849	NA	NA	ENSMUSG00000120960	one_to_one	1	one_to_one:1
ENSG00000233912	NA	NA	ENSMUSG00000120580	one_to_one	1	one_to_one:1
ENSG00000233919	NA	NA	ENSMUSG00000100146;ENSMUSG00000111528;ENSMUSG00000110730;ENSMUSG00000110911;ENSMUSG00000111445	one_to_many	1	one_to_many:1
ENSG00000233920	NA	NA	ENSMUSG00000097203	many_to_one	1	many_to_one:1
ENSG00000233926	ENSCAFG00845006899;ENSCAFG00845006972	one_to_many	ENSMUSG00000084910;ENSMUSG00000086027	one_to_many	2	one_to_many:2
ENSG00000233953	NA	NA	ENSMUSG00000086612;ENSMUSG00000085516	one_to_many	1	one_to_many:1
ENSG00000233981	NA	NA	ENSMUSG00000114121;ENSMUSG00000110016	one_to_many	1	one_to_many:1
ENSG00000234021	ENSCAFG00845027822	many_to_one	ENSMUSG00000092492;ENSMUSG00000110373	many_to_many	2	many_to_many:1;many_to_one:1
ENSG00000234022	NA	NA	ENSMUSG00000113058	one_to_one	1	one_to_one:1
ENSG00000234055	NA	NA	ENSMUSG00000087435	one_to_one	1	one_to_one:1
ENSG00000234070	NA	NA	ENSMUSG00000089730	one_to_one	1	one_to_one:1
ENSG00000234084	ENSCAFG00845005394	many_to_one	ENSMUSG00000111227	many_to_one	2	many_to_one:2
ENSG00000234091	NA	NA	ENSMUSG00000087355;ENSMUSG00000086018;ENSMUSG00000086874;ENSMUSG00000084859	many_to_many	1	many_to_many:1
ENSG00000234129	NA	NA	ENSMUSG00000087159	one_to_one	1	one_to_one:1
ENSG00000234141	NA	NA	ENSMUSG00000089890;ENSMUSG00000090151	one_to_many	1	one_to_many:1
ENSG00000234169	NA	NA	ENSMUSG00000104188	many_to_one	1	many_to_one:1
ENSG00000234173	NA	NA	ENSMUSG00000085456	many_to_one	1	many_to_one:1
ENSG00000234190	NA	NA	ENSMUSG00000105385	many_to_one	1	many_to_one:1
ENSG00000234199	ENSCAFG00845006543	many_to_one	NA	NA	1	many_to_one:1
ENSG00000234206	NA	NA	ENSMUSG00000102062;ENSMUSG00000111171;ENSMUSG00000045008	one_to_many	1	one_to_many:1
ENSG00000234210	ENSCAFG00845014177	many_to_one	NA	NA	1	many_to_one:1
ENSG00000234215	NA	NA	ENSMUSG00000105773;ENSMUSG00000105809;ENSMUSG00000106395;ENSMUSG00000104987;ENSMUSG00000100420	one_to_many	1	one_to_many:1
ENSG00000234233	ENSCAFG00845003236	one_to_one	NA	NA	1	one_to_one:1
ENSG00000234292	NA	NA	ENSMUSG00000114554;ENSMUSG00000114479	one_to_many	1	one_to_many:1
ENSG00000234300	ENSCAFG00845012224	one_to_one	NA	NA	1	one_to_one:1
ENSG00000234303	NA	NA	ENSMUSG00000100585	many_to_one	1	many_to_one:1
ENSG00000234311	NA	NA	ENSMUSG00000110115	one_to_one	1	one_to_one:1
ENSG00000234318	NA	NA	ENSMUSG00000070891	one_to_one	1	one_to_one:1
ENSG00000234390	NA	NA	ENSMUSG00000087252	one_to_one	1	one_to_one:1
ENSG00000234423	NA	NA	ENSMUSG00000120379;ENSMUSG00000113387	many_to_many_strict	1	many_to_many_strict:1
ENSG00000234427	NA	NA	ENSMUSG00000085759;ENSMUSG00000099672	many_to_many_strict	1	many_to_many_strict:1
ENSG00000234428	NA	NA	ENSMUSG00000120618	one_to_one	1	one_to_one:1
ENSG00000234432	NA	NA	ENSMUSG00000120087;ENSMUSG00000120419	one_to_many	1	one_to_many:1
ENSG00000234445	NA	NA	ENSMUSG00000099994;ENSMUSG00000101445	many_to_many	1	many_to_many:1
ENSG00000234446	NA	NA	ENSMUSG00000120831	one_to_one	1	one_to_one:1
ENSG00000234456	NA	NA	ENSMUSG00000097626	many_to_one	1	many_to_one:1
ENSG00000234476	NA	NA	ENSMUSG00000056699	one_to_one	1	one_to_one:1
ENSG00000234492	NA	NA	ENSMUSG00000105789	one_to_one	1	one_to_one:1
ENSG00000234497	NA	NA	ENSMUSG00000092522	one_to_one	1	one_to_one:1
ENSG00000234572	NA	NA	ENSMUSG00000121213	many_to_one	1	many_to_one:1
ENSG00000234577	NA	NA	ENSMUSG00000096553	many_to_one	1	many_to_one:1
ENSG00000234578	NA	NA	ENSMUSG00000028612;ENSMUSG00000087200;ENSMUSG00000073779	many_to_many	1	many_to_many:1
ENSG00000234579	NA	NA	ENSMUSG00000117118;ENSMUSG00000117023	one_to_many	1	one_to_many:1
ENSG00000234584	ENSCAFG00845026274	one_to_one	NA	NA	1	one_to_one:1
ENSG00000234593	NA	NA	ENSMUSG00000087525	many_to_one	1	many_to_one:1
ENSG00000234597	NA	NA	ENSMUSG00000113913	one_to_one	1	one_to_one:1
ENSG00000234601	NA	NA	ENSMUSG00000097009	many_to_one	1	many_to_one:1
ENSG00000234636	NA	NA	ENSMUSG00000085891	one_to_one	1	one_to_one:1
ENSG00000234647	NA	NA	ENSMUSG00000120609	many_to_one	1	many_to_one:1
ENSG00000234653	NA	NA	ENSMUSG00000086739	one_to_one	1	one_to_one:1
ENSG00000234663	ENSCAFG00845027092	one_to_one	NA	NA	1	one_to_one:1
ENSG00000234678	NA	NA	ENSMUSG00000097680	one_to_one	1	one_to_one:1
ENSG00000234688	NA	NA	ENSMUSG00000092375	one_to_one	1	one_to_one:1
ENSG00000234693	NA	NA	ENSMUSG00000086411	one_to_one	1	one_to_one:1
ENSG00000234703	NA	NA	ENSMUSG00000097139	many_to_one	1	many_to_one:1
ENSG00000234753	NA	NA	ENSMUSG00000085932	one_to_one	1	one_to_one:1
ENSG00000234756	NA	NA	ENSMUSG00000112899	one_to_one	1	one_to_one:1
ENSG00000234768	NA	NA	ENSMUSG00000120609	many_to_one	1	many_to_one:1
ENSG00000234779	ENSCAFG00845013280	many_to_one	NA	NA	1	many_to_one:1
ENSG00000234807	NA	NA	ENSMUSG00000087366	one_to_one	1	one_to_one:1
ENSG00000234818	NA	NA	ENSMUSG00000114024	many_to_one	1	many_to_one:1
ENSG00000234854	NA	NA	ENSMUSG00000109089	one_to_one	1	one_to_one:1
ENSG00000234880	ENSCAFG00845021920	many_to_one	ENSMUSG00000112818	many_to_one	2	many_to_one:2
ENSG00000234883	NA	NA	ENSMUSG00000116674	one_to_one	1	one_to_one:1
ENSG00000234899	ENSCAFG00845020409;ENSCAFG00845020450;ENSCAFG00845020427	many_to_many	NA	NA	1	many_to_many:1
ENSG00000234902	NA	NA	ENSMUSG00000101895	many_to_one	1	many_to_one:1
ENSG00000234921	NA	NA	ENSMUSG00000098383;ENSMUSG00000087539	many_to_many_strict	1	many_to_many_strict:1
ENSG00000234942	ENSCAFG00845006263	one_to_one	NA	NA	1	one_to_one:1
ENSG00000234943	ENSCAFG00845009426	many_to_one	ENSMUSG00000119981;ENSMUSG00000101872;ENSMUSG00000073073	many_to_many	2	many_to_many:1;many_to_one:1
ENSG00000234944	NA	NA	ENSMUSG00000107933	one_to_one	1	one_to_one:1
ENSG00000234948	NA	NA	ENSMUSG00000052368;ENSMUSG00000086348	one_to_many	1	one_to_many:1
ENSG00000234949	ENSCAFG00845028849	one_to_one	NA	NA	1	one_to_one:1
ENSG00000234953	NA	NA	ENSMUSG00000104786	many_to_one	1	many_to_one:1
ENSG00000235011	ENSCAFG00845002716	many_to_one	NA	NA	1	many_to_one:1
ENSG00000235020	NA	NA	ENSMUSG00000087086;ENSMUSG00000104106	many_to_many_strict	1	many_to_many_strict:1
ENSG00000235023	NA	NA	ENSMUSG00000118081;ENSMUSG00000118157	many_to_many_strict	1	many_to_many_strict:1
ENSG00000235029	ENSCAFG00845013752	many_to_one	NA	NA	1	many_to_one:1
ENSG00000235035	NA	NA	ENSMUSG00000107842	many_to_one	1	many_to_one:1
ENSG00000235038	ENSCAFG00845013543	many_to_one	NA	NA	1	many_to_one:1
ENSG00000235066	NA	NA	ENSMUSG00000085857	many_to_one	1	many_to_one:1
ENSG00000235120	NA	NA	ENSMUSG00000102224	many_to_one	1	many_to_one:1
ENSG00000235121	NA	NA	ENSMUSG00000054412;ENSMUSG00000120094	many_to_many_strict	1	many_to_many_strict:1
ENSG00000235123	NA	NA	ENSMUSG00000117000;ENSMUSG00000117179;ENSMUSG00000117324	many_to_many	1	many_to_many:1
ENSG00000235126	NA	NA	ENSMUSG00000116572;ENSMUSG00000116762	many_to_many_strict	1	many_to_many_strict:1
ENSG00000235131	NA	NA	ENSMUSG00000087071	many_to_one	1	many_to_one:1
ENSG00000235142	NA	NA	ENSMUSG00000111342	one_to_one	1	one_to_one:1
ENSG00000235149	NA	NA	ENSMUSG00000084954;ENSMUSG00000085440	many_to_many	1	many_to_many:1
ENSG00000235185	NA	NA	ENSMUSG00000120910	one_to_one	1	one_to_one:1
ENSG00000235192	NA	NA	ENSMUSG00000100197	one_to_one	1	one_to_one:1
ENSG00000235269	ENSCAFG00845004358;ENSCAFG00845004350	one_to_many	NA	NA	1	one_to_many:1
ENSG00000235279	ENSCAFG00845028481	many_to_one	NA	NA	1	many_to_one:1
ENSG00000235280	NA	NA	ENSMUSG00000079146;ENSMUSG00000086770	many_to_many_strict	1	many_to_many_strict:1
ENSG00000235295	NA	NA	ENSMUSG00000108232;ENSMUSG00000097011;ENSMUSG00000108171	many_to_many	1	many_to_many:1
ENSG00000235298	ENSCAFG00845005548	one_to_one	NA	NA	1	one_to_one:1
ENSG00000235300	NA	NA	ENSMUSG00000075586	many_to_one	1	many_to_one:1
ENSG00000235314	ENSCAFG00845006696	one_to_one	NA	NA	1	one_to_one:1
ENSG00000235319	NA	NA	ENSMUSG00000041878;ENSMUSG00000100269	one_to_many	1	one_to_many:1
ENSG00000235351	NA	NA	ENSMUSG00000121025	one_to_one	1	one_to_one:1
ENSG00000235389	ENSCAFG00845027815	one_to_one	NA	NA	1	one_to_one:1
ENSG00000235397	NA	NA	ENSMUSG00000085459	one_to_one	1	one_to_one:1
ENSG00000235410	NA	NA	ENSMUSG00000087355;ENSMUSG00000086018;ENSMUSG00000086874;ENSMUSG00000084859	many_to_many	1	many_to_many:1
ENSG00000235470	ENSCAFG00845027810	many_to_one	ENSMUSG00000118127;ENSMUSG00000117659	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSG00000235497	NA	NA	ENSMUSG00000037735	many_to_one	1	many_to_one:1
ENSG00000235499	ENSCAFG00845021938	one_to_one	NA	NA	1	one_to_one:1
ENSG00000235527	ENSCAFG00845023322	one_to_one	ENSMUSG00000085754	one_to_one	2	one_to_one:2
ENSG00000235529	ENSCAFG00845027402	one_to_one	ENSMUSG00000101662	one_to_one	2	one_to_one:2
ENSG00000235530	NA	NA	ENSMUSG00000120997	one_to_one	1	one_to_one:1
ENSG00000235535	NA	NA	ENSMUSG00000112707	many_to_one	1	many_to_one:1
ENSG00000235545	NA	NA	ENSMUSG00000087395	one_to_one	1	one_to_one:1
ENSG00000235590	NA	NA	ENSMUSG00000086537	many_to_one	1	many_to_one:1
ENSG00000235593	NA	NA	ENSMUSG00000079669	many_to_one	1	many_to_one:1
ENSG00000235652	NA	NA	ENSMUSG00000097007	one_to_one	1	one_to_one:1
ENSG00000235669	NA	NA	ENSMUSG00000087670;ENSMUSG00000121002;ENSMUSG00000086946	one_to_many	1	one_to_many:1
ENSG00000235706	NA	NA	ENSMUSG00000120051	one_to_one	1	one_to_one:1
ENSG00000235736	NA	NA	ENSMUSG00000102761	one_to_one	1	one_to_one:1
ENSG00000235741	NA	NA	ENSMUSG00000120181	one_to_one	1	one_to_one:1
ENSG00000235770	NA	NA	ENSMUSG00000102123	one_to_one	1	one_to_one:1
ENSG00000235772	ENSCAFG00845016611	one_to_one	NA	NA	1	one_to_one:1
ENSG00000235795	NA	NA	ENSMUSG00000054426	many_to_one	1	many_to_one:1
ENSG00000235802	NA	NA	ENSMUSG00000120229	one_to_one	1	one_to_one:1
ENSG00000235815	NA	NA	ENSMUSG00000116801	many_to_one	1	many_to_one:1
ENSG00000235819	NA	NA	ENSMUSG00000114669	one_to_one	1	one_to_one:1
ENSG00000235820	ENSCAFG00845028099	many_to_one	ENSMUSG00000086379	many_to_one	2	many_to_one:2
ENSG00000235830	NA	NA	ENSMUSG00000108103	many_to_one	1	many_to_one:1
ENSG00000235831	NA	NA	ENSMUSG00000120764;ENSMUSG00000087341	one_to_many	1	one_to_many:1
ENSG00000235848	ENSCAFG00845020426	one_to_one	NA	NA	1	one_to_one:1
ENSG00000235872	ENSCAFG00845013660	one_to_one	NA	NA	1	one_to_one:1
ENSG00000235880	NA	NA	ENSMUSG00000120776	many_to_one	1	many_to_one:1
ENSG00000235886	ENSCAFG00845020052	one_to_one	ENSMUSG00000111146	one_to_one	2	one_to_one:2
ENSG00000235902	NA	NA	ENSMUSG00000084954;ENSMUSG00000085440	many_to_many	1	many_to_many:1
ENSG00000235904	NA	NA	ENSMUSG00000079669	many_to_one	1	many_to_one:1
ENSG00000235914	NA	NA	ENSMUSG00000074763;ENSMUSG00000086450	many_to_many	1	many_to_many:1
ENSG00000235933	ENSCAFG00845028306	one_to_one	NA	NA	1	one_to_one:1
ENSG00000235934	NA	NA	ENSMUSG00000087264	many_to_one	1	many_to_one:1
ENSG00000235943	NA	NA	ENSMUSG00000120291	many_to_one	1	many_to_one:1
ENSG00000235947	NA	NA	ENSMUSG00000107458	many_to_one	1	many_to_one:1
ENSG00000235984	NA	NA	ENSMUSG00000093551;ENSMUSG00000093497	many_to_many	1	many_to_many:1
ENSG00000235996	NA	NA	ENSMUSG00000074753	many_to_one	1	many_to_one:1
ENSG00000236008	NA	NA	ENSMUSG00000113587;ENSMUSG00000112937;ENSMUSG00000114033	many_to_many	1	many_to_many:1
ENSG00000236028	NA	NA	ENSMUSG00000100796	one_to_one	1	one_to_one:1
ENSG00000236045	NA	NA	ENSMUSG00000085424	many_to_one	1	many_to_one:1
