lncRNA.Mus_musculus	lncRNA.Canis_lupus_familiaris	orthology_type.Mus_musculus.Canis_lupus_familiaris	lncRNA.Homo_sapiens	orthology_type.Mus_musculus.Homo_sapiens	nbTotalIndication	profilIndication
ENSMUSG00000086828	NA	NA	ENSG00000247473;ENSG00000285644	one_to_many	1	one_to_many:1
ENSMUSG00000086836	NA	NA	ENSG00000229647;ENSG00000224342	one_to_many	1	one_to_many:1
ENSMUSG00000086839	NA	NA	ENSG00000272768	one_to_one	1	one_to_one:1
ENSMUSG00000086841	NA	NA	ENSG00000175061	one_to_one	1	one_to_one:1
ENSMUSG00000086856	ENSCAFG00845007539	many_to_one	NA	NA	1	many_to_one:1
ENSMUSG00000086859	ENSCAFG00845015826;ENSCAFG00845015799	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSMUSG00000086861	NA	NA	ENSG00000228650	one_to_one	1	one_to_one:1
ENSMUSG00000086866	NA	NA	ENSG00000249609;ENSG00000249623	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000086867	NA	NA	ENSG00000237775	many_to_one	1	many_to_one:1
ENSMUSG00000086872	NA	NA	ENSG00000237063;ENSG00000232406	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000086874	NA	NA	ENSG00000229751;ENSG00000235410;ENSG00000225112;ENSG00000273474;ENSG00000234091;ENSG00000285671	many_to_many	1	many_to_many:1
ENSMUSG00000086877	NA	NA	ENSG00000267064	one_to_one	1	one_to_one:1
ENSMUSG00000086884	NA	NA	ENSG00000229162	many_to_one	1	many_to_one:1
ENSMUSG00000086889	ENSCAFG00845022149	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000086893	NA	NA	ENSG00000289981	one_to_one	1	one_to_one:1
ENSMUSG00000086902	ENSCAFG00845015860	one_to_one	ENSG00000267521	one_to_one	2	one_to_one:2
ENSMUSG00000086904	NA	NA	ENSG00000228392;ENSG00000288537	one_to_many	1	one_to_many:1
ENSMUSG00000086908	NA	NA	ENSG00000254552	many_to_one	1	many_to_one:1
ENSMUSG00000086913	NA	NA	ENSG00000259499;ENSG00000289277	one_to_many	1	one_to_many:1
ENSMUSG00000086914	NA	NA	ENSG00000288012	one_to_one	1	one_to_one:1
ENSMUSG00000086921	ENSCAFG00845016228;ENSCAFG00845016216	many_to_many	NA	NA	1	many_to_many:1
ENSMUSG00000086940	NA	NA	ENSG00000287582	many_to_one	1	many_to_one:1
ENSMUSG00000086946	NA	NA	ENSG00000235669	many_to_one	1	many_to_one:1
ENSMUSG00000086949	ENSCAFG00845029115	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000086954	ENSCAFG00845018049	many_to_one	ENSG00000259360;ENSG00000259221;ENSG00000259588	many_to_many	2	many_to_many:1;many_to_one:1
ENSMUSG00000086964	NA	NA	ENSG00000287762;ENSG00000249216	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000086970	NA	NA	ENSG00000236352	many_to_one	1	many_to_one:1
ENSMUSG00000086971	NA	NA	ENSG00000263571;ENSG00000264643;ENSG00000263435;ENSG00000264990;ENSG00000265125;ENSG00000266535;ENSG00000264791;ENSG00000265115;ENSG00000265697;ENSG00000265689	many_to_many	1	many_to_many:1
ENSMUSG00000086980	NA	NA	ENSG00000254497	one_to_one	1	one_to_one:1
ENSMUSG00000086991	NA	NA	ENSG00000226272	many_to_one	1	many_to_one:1
ENSMUSG00000086999	NA	NA	ENSG00000236352	many_to_one	1	many_to_one:1
ENSMUSG00000087001	NA	NA	ENSG00000289327	many_to_one	1	many_to_one:1
ENSMUSG00000087014	ENSCAFG00845018124	many_to_one	ENSG00000289256	many_to_one	2	many_to_one:2
ENSMUSG00000087018	NA	NA	ENSG00000254639	one_to_one	1	one_to_one:1
ENSMUSG00000087022	NA	NA	ENSG00000257045;ENSG00000225953	one_to_many	1	one_to_many:1
ENSMUSG00000087038	NA	NA	ENSG00000230830	many_to_one	1	many_to_one:1
ENSMUSG00000087043	NA	NA	ENSG00000254552	many_to_one	1	many_to_one:1
ENSMUSG00000087054	NA	NA	ENSG00000230729	many_to_one	1	many_to_one:1
ENSMUSG00000087064	NA	NA	ENSG00000264829;ENSG00000264270	one_to_many	1	one_to_many:1
ENSMUSG00000087071	NA	NA	ENSG00000235131;ENSG00000227589	one_to_many	1	one_to_many:1
ENSMUSG00000087079	NA	NA	ENSG00000229240;ENSG00000230322;ENSG00000237986;ENSG00000181800;ENSG00000228027;ENSG00000229206;ENSG00000225383	one_to_many	1	one_to_many:1
ENSMUSG00000087086	NA	NA	ENSG00000225527;ENSG00000235020	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087088	NA	NA	ENSG00000259343	one_to_one	1	one_to_one:1
ENSMUSG00000087095	NA	NA	ENSG00000229847	one_to_one	1	one_to_one:1
ENSMUSG00000087099	ENSCAFG00845027574;ENSCAFG00845027556;ENSCAFG00845027596;ENSCAFG00845027568;ENSCAFG00845027579;ENSCAFG00845027589;ENSCAFG00845027561	one_to_many	ENSG00000253376	one_to_one	2	one_to_many:1;one_to_one:1
ENSMUSG00000087106	NA	NA	ENSG00000289896	many_to_one	1	many_to_one:1
ENSMUSG00000087108	NA	NA	ENSG00000272192	one_to_one	1	one_to_one:1
ENSMUSG00000087114	ENSCAFG00845011510	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000087115	NA	NA	ENSG00000286571;ENSG00000287241	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087120	NA	NA	ENSG00000265401	one_to_one	1	one_to_one:1
ENSMUSG00000087122	NA	NA	ENSG00000253269	many_to_one	1	many_to_one:1
ENSMUSG00000087124	NA	NA	ENSG00000281196	many_to_one	1	many_to_one:1
ENSMUSG00000087128	ENSCAFG00845017261;ENSCAFG00845017276	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSMUSG00000087131	NA	NA	ENSG00000230393	many_to_one	1	many_to_one:1
ENSMUSG00000087135	NA	NA	ENSG00000254710	many_to_one	1	many_to_one:1
ENSMUSG00000087136	NA	NA	ENSG00000237293;ENSG00000231172	one_to_many	1	one_to_many:1
ENSMUSG00000087143	ENSCAFG00845015649	one_to_one	ENSG00000237187	one_to_one	2	one_to_one:2
ENSMUSG00000087157	NA	NA	ENSG00000256473;ENSG00000256120	many_to_many	1	many_to_many:1
ENSMUSG00000087159	NA	NA	ENSG00000234129	one_to_one	1	one_to_one:1
ENSMUSG00000087171	ENSCAFG00845007539	many_to_one	NA	NA	1	many_to_one:1
ENSMUSG00000087176	NA	NA	ENSG00000226853	many_to_one	1	many_to_one:1
ENSMUSG00000087184	NA	NA	ENSG00000289877;ENSG00000264491;ENSG00000265664	one_to_many	1	one_to_many:1
ENSMUSG00000087185	NA	NA	ENSG00000255004;ENSG00000255542	one_to_many	1	one_to_many:1
ENSMUSG00000087192	NA	NA	ENSG00000230013	one_to_one	1	one_to_one:1
ENSMUSG00000087193	NA	NA	ENSG00000232828	one_to_one	1	one_to_one:1
ENSMUSG00000087195	NA	NA	ENSG00000230138;ENSG00000226938	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087196	NA	NA	ENSG00000227958	one_to_one	1	one_to_one:1
ENSMUSG00000087197	NA	NA	ENSG00000255314;ENSG00000254653	one_to_many	1	one_to_many:1
ENSMUSG00000087199	ENSCAFG00845020529	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000087200	NA	NA	ENSG00000234578;ENSG00000232762;ENSG00000225675;ENSG00000228838	many_to_many	1	many_to_many:1
ENSMUSG00000087203	NA	NA	ENSG00000278621	many_to_one	1	many_to_one:1
ENSMUSG00000087211	NA	NA	ENSG00000276707;ENSG00000277268	one_to_many	1	one_to_many:1
ENSMUSG00000087213	NA	NA	ENSG00000272851	one_to_one	1	one_to_one:1
ENSMUSG00000087214	NA	NA	ENSG00000223662	one_to_one	1	one_to_one:1
ENSMUSG00000087215	NA	NA	ENSG00000230352;ENSG00000225129;ENSG00000286309	many_to_many	1	many_to_many:1
ENSMUSG00000087221	NA	NA	ENSG00000248668;ENSG00000286164	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087222	NA	NA	ENSG00000271825;ENSG00000271996;ENSG00000222043	one_to_many	1	one_to_many:1
ENSMUSG00000087241	NA	NA	ENSG00000289502;ENSG00000254251	one_to_many	1	one_to_many:1
ENSMUSG00000087242	NA	NA	ENSG00000263051;ENSG00000263708;ENSG00000262815;ENSG00000225751	one_to_many	1	one_to_many:1
ENSMUSG00000087245	ENSCAFG00845004019	many_to_one	ENSG00000253947;ENSG00000253713;ENSG00000254365;ENSG00000253925;ENSG00000254187;ENSG00000253527;ENSG00000253660;ENSG00000253469;ENSG00000254297	many_to_many	2	many_to_many:1;many_to_one:1
ENSMUSG00000087248	NA	NA	ENSG00000176349	many_to_one	1	many_to_one:1
ENSMUSG00000087250	NA	NA	ENSG00000248866	many_to_one	1	many_to_one:1
ENSMUSG00000087252	NA	NA	ENSG00000234390	one_to_one	1	one_to_one:1
ENSMUSG00000087253	NA	NA	ENSG00000289943	one_to_one	1	one_to_one:1
ENSMUSG00000087256	NA	NA	ENSG00000236054;ENSG00000229673	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087258	NA	NA	ENSG00000205500	one_to_one	1	one_to_one:1
ENSMUSG00000087259	NA	NA	ENSG00000227036	many_to_one	1	many_to_one:1
ENSMUSG00000087261	NA	NA	ENSG00000260519	many_to_one	1	many_to_one:1
ENSMUSG00000087264	NA	NA	ENSG00000286611;ENSG00000235934	one_to_many	1	one_to_many:1
ENSMUSG00000087266	NA	NA	ENSG00000187229;ENSG00000253335	one_to_many	1	one_to_many:1
ENSMUSG00000087269	NA	NA	ENSG00000289226	many_to_one	1	many_to_one:1
ENSMUSG00000087289	NA	NA	ENSG00000230138;ENSG00000226938	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087290	NA	NA	ENSG00000251379	one_to_one	1	one_to_one:1
ENSMUSG00000087291	NA	NA	ENSG00000273387	many_to_one	1	many_to_one:1
ENSMUSG00000087293	NA	NA	ENSG00000275620	one_to_one	1	one_to_one:1
ENSMUSG00000087294	NA	NA	ENSG00000237336;ENSG00000230826	one_to_many	1	one_to_many:1
ENSMUSG00000087295	NA	NA	ENSG00000265287	one_to_one	1	one_to_one:1
ENSMUSG00000087300	NA	NA	ENSG00000288076;ENSG00000271743;ENSG00000246089	one_to_many	1	one_to_many:1
ENSMUSG00000087302	NA	NA	ENSG00000256473;ENSG00000256120	many_to_many	1	many_to_many:1
ENSMUSG00000087305	NA	NA	ENSG00000233108	one_to_one	1	one_to_one:1
ENSMUSG00000087307	NA	NA	ENSG00000287422;ENSG00000226438	one_to_many	1	one_to_many:1
ENSMUSG00000087314	NA	NA	ENSG00000290095;ENSG00000239911;ENSG00000242048	many_to_many	1	many_to_many:1
ENSMUSG00000087317	NA	NA	ENSG00000260902	one_to_one	1	one_to_one:1
ENSMUSG00000087322	NA	NA	ENSG00000262061;ENSG00000262294;ENSG00000262920;ENSG00000262558	one_to_many	1	one_to_many:1
ENSMUSG00000087327	NA	NA	ENSG00000257084;ENSG00000271969	one_to_many	1	one_to_many:1
ENSMUSG00000087328	NA	NA	ENSG00000253858;ENSG00000253591	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087330	NA	NA	ENSG00000285486	one_to_one	1	one_to_one:1
ENSMUSG00000087331	NA	NA	ENSG00000273188	one_to_one	1	one_to_one:1
ENSMUSG00000087332	NA	NA	ENSG00000228734	one_to_one	1	one_to_one:1
ENSMUSG00000087336	NA	NA	ENSG00000255856	one_to_one	1	one_to_one:1
ENSMUSG00000087341	NA	NA	ENSG00000235831	many_to_one	1	many_to_one:1
ENSMUSG00000087352	NA	NA	ENSG00000270605;ENSG00000290123	one_to_many	1	one_to_many:1
ENSMUSG00000087355	NA	NA	ENSG00000229751;ENSG00000235410;ENSG00000225112;ENSG00000273474;ENSG00000234091;ENSG00000285671	many_to_many	1	many_to_many:1
ENSMUSG00000087356	NA	NA	ENSG00000231098	one_to_one	1	one_to_one:1
ENSMUSG00000087363	NA	NA	ENSG00000286934;ENSG00000285861;ENSG00000285977;ENSG00000288110	many_to_many	1	many_to_many:1
ENSMUSG00000087365	NA	NA	ENSG00000223749	many_to_one	1	many_to_one:1
ENSMUSG00000087366	NA	NA	ENSG00000234807	one_to_one	1	one_to_one:1
ENSMUSG00000087368	NA	NA	ENSG00000231154	one_to_one	1	one_to_one:1
ENSMUSG00000087383	NA	NA	ENSG00000236130	one_to_one	1	one_to_one:1
ENSMUSG00000087384	NA	NA	ENSG00000287121;ENSG00000262020	one_to_many	1	one_to_many:1
ENSMUSG00000087389	NA	NA	ENSG00000083622;ENSG00000232661;ENSG00000286390	one_to_many	1	one_to_many:1
ENSMUSG00000087395	NA	NA	ENSG00000235545	one_to_one	1	one_to_one:1
ENSMUSG00000087398	NA	NA	ENSG00000264125	one_to_one	1	one_to_one:1
ENSMUSG00000087402	NA	NA	ENSG00000253500	one_to_one	1	one_to_one:1
ENSMUSG00000087404	NA	NA	ENSG00000275516;ENSG00000261978	one_to_many	1	one_to_many:1
ENSMUSG00000087407	NA	NA	ENSG00000275720;ENSG00000276508	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087410	NA	NA	ENSG00000214970	one_to_one	1	one_to_one:1
ENSMUSG00000087411	ENSCAFG00845001682	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000087413	NA	NA	ENSG00000287708;ENSG00000225472;ENSG00000289969	many_to_many	1	many_to_many:1
ENSMUSG00000087430	NA	NA	ENSG00000289226	many_to_one	1	many_to_one:1
ENSMUSG00000087431	NA	NA	ENSG00000205682;ENSG00000289308	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087435	NA	NA	ENSG00000234055	one_to_one	1	one_to_one:1
ENSMUSG00000087442	NA	NA	ENSG00000218018	many_to_one	1	many_to_one:1
ENSMUSG00000087445	ENSCAFG00845028402	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000087450	NA	NA	ENSG00000259754	one_to_one	1	one_to_one:1
ENSMUSG00000087458	NA	NA	ENSG00000250379	one_to_one	1	one_to_one:1
ENSMUSG00000087459	NA	NA	ENSG00000231163	one_to_one	1	one_to_one:1
ENSMUSG00000087461	NA	NA	ENSG00000232413	many_to_one	1	many_to_one:1
ENSMUSG00000087465	ENSCAFG00845020642	one_to_one	ENSG00000254566;ENSG00000255060	one_to_many	2	one_to_many:1;one_to_one:1
ENSMUSG00000087467	NA	NA	ENSG00000254552	many_to_one	1	many_to_one:1
ENSMUSG00000087474	ENSCAFG00845009021;ENSCAFG00845009026;ENSCAFG00845009013;ENSCAFG00845009031	one_to_many	NA	NA	1	one_to_many:1
ENSMUSG00000087482	ENSCAFG00845007606;ENSCAFG00845013530;ENSCAFG00845013538;ENSCAFG00845013519;ENSCAFG00845013523;ENSCAFG00845013510;ENSCAFG00845013503;ENSCAFG00845013537;ENSCAFG00845007595;ENSCAFG00845013508	one_to_many	NA	NA	1	one_to_many:1
ENSMUSG00000087485	NA	NA	ENSG00000271046	one_to_one	1	one_to_one:1
ENSMUSG00000087489	NA	NA	ENSG00000253270	many_to_one	1	many_to_one:1
ENSMUSG00000087497	NA	NA	ENSG00000236088	many_to_one	1	many_to_one:1
ENSMUSG00000087500	NA	NA	ENSG00000270412	one_to_one	1	one_to_one:1
ENSMUSG00000087502	NA	NA	ENSG00000267373	one_to_one	1	one_to_one:1
ENSMUSG00000087505	NA	NA	ENSG00000286724	one_to_one	1	one_to_one:1
ENSMUSG00000087507	NA	NA	ENSG00000230749;ENSG00000226819	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087516	NA	NA	ENSG00000257817	many_to_one	1	many_to_one:1
ENSMUSG00000087518	NA	NA	ENSG00000230918	one_to_one	1	one_to_one:1
ENSMUSG00000087521	NA	NA	ENSG00000280350	one_to_one	1	one_to_one:1
ENSMUSG00000087525	NA	NA	ENSG00000231606;ENSG00000287756;ENSG00000234593	one_to_many	1	one_to_many:1
ENSMUSG00000087534	NA	NA	ENSG00000263571;ENSG00000264643;ENSG00000263435;ENSG00000264990;ENSG00000265125;ENSG00000266535;ENSG00000264791;ENSG00000265115;ENSG00000265697;ENSG00000265689	many_to_many	1	many_to_many:1
ENSMUSG00000087535	NA	NA	ENSG00000224596	one_to_one	1	one_to_one:1
ENSMUSG00000087539	NA	NA	ENSG00000236668;ENSG00000234921	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087543	NA	NA	ENSG00000244491;ENSG00000273076;ENSG00000225450;ENSG00000230149;ENSG00000272669	many_to_many	1	many_to_many:1
ENSMUSG00000087544	ENSCAFG00845018649;ENSCAFG00845018665	one_to_many	NA	NA	1	one_to_many:1
ENSMUSG00000087545	NA	NA	ENSG00000289896	many_to_one	1	many_to_one:1
ENSMUSG00000087559	ENSCAFG00845005873	one_to_one	ENSG00000287984	one_to_one	2	one_to_one:2
ENSMUSG00000087564	NA	NA	ENSG00000253711;ENSG00000254222	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087568	NA	NA	ENSG00000239994	one_to_one	1	one_to_one:1
ENSMUSG00000087571	NA	NA	ENSG00000230020	one_to_one	1	one_to_one:1
ENSMUSG00000087574	NA	NA	ENSG00000286732;ENSG00000266100;ENSG00000263499	many_to_many	1	many_to_many:1
ENSMUSG00000087579	NA	NA	ENSG00000289228	one_to_one	1	one_to_one:1
ENSMUSG00000087590	ENSCAFG00845003724	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000087595	NA	NA	ENSG00000275329	one_to_one	1	one_to_one:1
ENSMUSG00000087600	NA	NA	ENSG00000278709	one_to_one	1	one_to_one:1
ENSMUSG00000087601	NA	NA	ENSG00000251173	one_to_one	1	one_to_one:1
ENSMUSG00000087606	NA	NA	ENSG00000176349	many_to_one	1	many_to_one:1
ENSMUSG00000087618	NA	NA	ENSG00000225127	one_to_one	1	one_to_one:1
ENSMUSG00000087624	NA	NA	ENSG00000224397	many_to_one	1	many_to_one:1
ENSMUSG00000087625	NA	NA	ENSG00000243799;ENSG00000244302;ENSG00000287645	one_to_many	1	one_to_many:1
ENSMUSG00000087626	NA	NA	ENSG00000253552;ENSG00000254369	one_to_many	1	one_to_many:1
ENSMUSG00000087627	NA	NA	ENSG00000237457;ENSG00000241505;ENSG00000225811	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000087630	NA	NA	ENSG00000250282;ENSG00000275025	one_to_many	1	one_to_many:1
ENSMUSG00000087638	NA	NA	ENSG00000265678;ENSG00000266654	one_to_many	1	one_to_many:1
ENSMUSG00000087647	ENSCAFG00845022177	many_to_one	ENSG00000232643	many_to_one	2	many_to_one:2
ENSMUSG00000087652	NA	NA	ENSG00000270076	one_to_one	1	one_to_one:1
ENSMUSG00000087657	NA	NA	ENSG00000271434	one_to_one	1	one_to_one:1
ENSMUSG00000087658	NA	NA	ENSG00000233429	one_to_one	1	one_to_one:1
ENSMUSG00000087668	NA	NA	ENSG00000250244;ENSG00000250409;ENSG00000249478;ENSG00000288758	one_to_many	1	one_to_many:1
ENSMUSG00000087670	NA	NA	ENSG00000235669	many_to_one	1	many_to_one:1
ENSMUSG00000087675	NA	NA	ENSG00000290024	one_to_one	1	one_to_one:1
ENSMUSG00000087678	NA	NA	ENSG00000230387	one_to_one	1	one_to_one:1
ENSMUSG00000087681	ENSCAFG00845030193	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000087685	NA	NA	ENSG00000267458	one_to_one	1	one_to_one:1
ENSMUSG00000087692	NA	NA	ENSG00000167920	one_to_one	1	one_to_one:1
ENSMUSG00000087693	NA	NA	ENSG00000224666	one_to_one	1	one_to_one:1
ENSMUSG00000087700	NA	NA	ENSG00000258667	one_to_one	1	one_to_one:1
ENSMUSG00000089633	NA	NA	ENSG00000225437;ENSG00000285553;ENSG00000285610;ENSG00000225683	many_to_many	1	many_to_many:1
ENSMUSG00000089655	NA	NA	ENSG00000272609	one_to_one	1	one_to_one:1
ENSMUSG00000089656	NA	NA	ENSG00000257737;ENSG00000257766	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000089685	NA	NA	ENSG00000286447	one_to_one	1	one_to_one:1
ENSMUSG00000089699	NA	NA	ENSG00000253976;ENSG00000254357	one_to_many	1	one_to_many:1
ENSMUSG00000089701	NA	NA	ENSG00000233845;ENSG00000272814	many_to_many	1	many_to_many:1
ENSMUSG00000089707	ENSCAFG00845027482	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000089709	NA	NA	ENSG00000240012;ENSG00000244493	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000089711	NA	NA	ENSG00000289421	one_to_one	1	one_to_one:1
ENSMUSG00000089713	NA	NA	ENSG00000231612;ENSG00000232192;ENSG00000238224	one_to_many	1	one_to_many:1
ENSMUSG00000089718	NA	NA	ENSG00000230830	many_to_one	1	many_to_one:1
ENSMUSG00000089723	NA	NA	ENSG00000260969;ENSG00000287106;ENSG00000285918;ENSG00000277954;ENSG00000260733;ENSG00000260694;ENSG00000286894	many_to_many	1	many_to_many:1
ENSMUSG00000089726	NA	NA	ENSG00000215417	one_to_one	1	one_to_one:1
ENSMUSG00000089729	NA	NA	ENSG00000258099	many_to_one	1	many_to_one:1
ENSMUSG00000089730	NA	NA	ENSG00000234070	one_to_one	1	one_to_one:1
ENSMUSG00000089737	NA	NA	ENSG00000271474	many_to_one	1	many_to_one:1
ENSMUSG00000089744	NA	NA	ENSG00000286529	one_to_one	1	one_to_one:1
ENSMUSG00000089745	NA	NA	ENSG00000224407;ENSG00000227006	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000089746	ENSCAFG00845011921	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000089755	NA	NA	ENSG00000233845;ENSG00000272814	many_to_many	1	many_to_many:1
ENSMUSG00000089776	NA	NA	ENSG00000285848	one_to_one	1	one_to_one:1
ENSMUSG00000089781	NA	NA	ENSG00000246022;ENSG00000250218	one_to_many	1	one_to_many:1
ENSMUSG00000089794	NA	NA	ENSG00000254060;ENSG00000254177	one_to_many	1	one_to_many:1
ENSMUSG00000089796	NA	NA	ENSG00000244491;ENSG00000273076;ENSG00000225450;ENSG00000230149;ENSG00000272669	many_to_many	1	many_to_many:1
ENSMUSG00000089797	NA	NA	ENSG00000260969;ENSG00000287106;ENSG00000285918;ENSG00000277954;ENSG00000260733;ENSG00000260694;ENSG00000286894	many_to_many	1	many_to_many:1
ENSMUSG00000089804	NA	NA	ENSG00000254024;ENSG00000289048	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000089810	NA	NA	ENSG00000278768	one_to_one	1	one_to_one:1
ENSMUSG00000089812	NA	NA	ENSG00000203706	one_to_one	1	one_to_one:1
ENSMUSG00000089820	NA	NA	ENSG00000224407;ENSG00000227006	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000089827	NA	NA	ENSG00000281357	one_to_one	1	one_to_one:1
ENSMUSG00000089829	NA	NA	ENSG00000273160;ENSG00000233411	one_to_many	1	one_to_many:1
ENSMUSG00000089833	NA	NA	ENSG00000287649	many_to_one	1	many_to_one:1
ENSMUSG00000089842	NA	NA	ENSG00000251497	many_to_one	1	many_to_one:1
ENSMUSG00000089849	NA	NA	ENSG00000271857;ENSG00000261080	many_to_many	1	many_to_many:1
ENSMUSG00000089854	NA	NA	ENSG00000229065	one_to_one	1	one_to_one:1
ENSMUSG00000089866	ENSCAFG00845000144	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000089870	ENSCAFG00845014675	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000089881	NA	NA	ENSG00000257737;ENSG00000257766	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000089889	NA	NA	ENSG00000232581	one_to_one	1	one_to_one:1
ENSMUSG00000089890	NA	NA	ENSG00000234141	many_to_one	1	many_to_one:1
ENSMUSG00000089894	NA	NA	ENSG00000258661	one_to_one	1	one_to_one:1
ENSMUSG00000089900	NA	NA	ENSG00000286672	one_to_one	1	one_to_one:1
ENSMUSG00000089907	NA	NA	ENSG00000225437;ENSG00000285553;ENSG00000285610;ENSG00000225683	many_to_many	1	many_to_many:1
ENSMUSG00000089924	NA	NA	ENSG00000271474	many_to_one	1	many_to_one:1
ENSMUSG00000089934	NA	NA	ENSG00000236333	many_to_one	1	many_to_one:1
ENSMUSG00000089941	NA	NA	ENSG00000225437;ENSG00000285553;ENSG00000285610;ENSG00000225683	many_to_many	1	many_to_many:1
ENSMUSG00000089948	NA	NA	ENSG00000257176;ENSG00000273680;ENSG00000275278;ENSG00000274315;ENSG00000275476;ENSG00000257258	many_to_many	1	many_to_many:1
ENSMUSG00000089949	NA	NA	ENSG00000254024;ENSG00000289048	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000089952	NA	NA	ENSG00000230001	one_to_one	1	one_to_one:1
ENSMUSG00000089957	NA	NA	ENSG00000256564	many_to_one	1	many_to_one:1
ENSMUSG00000089959	NA	NA	ENSG00000257681	one_to_one	1	one_to_one:1
ENSMUSG00000089982	NA	NA	ENSG00000254538	one_to_one	1	one_to_one:1
ENSMUSG00000089983	NA	NA	ENSG00000287726	one_to_one	1	one_to_one:1
ENSMUSG00000090002	NA	NA	ENSG00000272384	many_to_one	1	many_to_one:1
ENSMUSG00000090031	NA	NA	ENSG00000271555;ENSG00000288818	one_to_many	1	one_to_many:1
ENSMUSG00000090048	NA	NA	ENSG00000271857;ENSG00000261080	many_to_many	1	many_to_many:1
ENSMUSG00000090063	NA	NA	ENSG00000231764	one_to_one	1	one_to_one:1
ENSMUSG00000090070	ENSCAFG00845013621	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000090079	NA	NA	ENSG00000225063	one_to_one	1	one_to_one:1
ENSMUSG00000090087	NA	NA	ENSG00000285652	one_to_one	1	one_to_one:1
ENSMUSG00000090101	NA	NA	ENSG00000255198	one_to_one	1	one_to_one:1
ENSMUSG00000090116	NA	NA	ENSG00000260600	one_to_one	1	one_to_one:1
ENSMUSG00000090120	NA	NA	ENSG00000272990;ENSG00000240596;ENSG00000242370	many_to_many	1	many_to_many:1
ENSMUSG00000090151	NA	NA	ENSG00000234141	many_to_one	1	many_to_one:1
ENSMUSG00000090160	NA	NA	ENSG00000283058;ENSG00000286412;ENSG00000285548;ENSG00000231918	many_to_many	1	many_to_many:1
ENSMUSG00000090174	NA	NA	ENSG00000259881;ENSG00000205018	one_to_many	1	one_to_many:1
ENSMUSG00000090185	NA	NA	ENSG00000258987	one_to_one	1	one_to_one:1
ENSMUSG00000090191	NA	NA	ENSG00000197301;ENSG00000256083	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000090194	ENSCAFG00845009640	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000090199	NA	NA	ENSG00000248730;ENSG00000248572;ENSG00000249071;ENSG00000249491	one_to_many	1	one_to_many:1
ENSMUSG00000090207	NA	NA	ENSG00000288988	one_to_one	1	one_to_one:1
ENSMUSG00000090216	NA	NA	ENSG00000275202	one_to_one	1	one_to_one:1
ENSMUSG00000090217	NA	NA	ENSG00000260969;ENSG00000287106;ENSG00000285918;ENSG00000277954;ENSG00000260733;ENSG00000260694;ENSG00000286894	many_to_many	1	many_to_many:1
ENSMUSG00000090220	NA	NA	ENSG00000251497	many_to_one	1	many_to_one:1
ENSMUSG00000090230	NA	NA	ENSG00000267304	one_to_one	1	one_to_one:1
ENSMUSG00000090232	NA	NA	ENSG00000271384	one_to_one	1	one_to_one:1
ENSMUSG00000090235	NA	NA	ENSG00000287261	one_to_one	1	one_to_one:1
ENSMUSG00000090255	NA	NA	ENSG00000251058;ENSG00000249290;ENSG00000250433	one_to_many	1	one_to_many:1
