lncRNA.Canis_lupus_familiaris	lncRNA.Homo_sapiens	orthology_type.Canis_lupus_familiaris.Homo_sapiens	lncRNA.Mus_musculus	orthology_type.Canis_lupus_familiaris.Mus_musculus	nbTotalIndication	profilIndication
ENSCAFG00845006244	ENSG00000232650	one_to_one	ENSMUSG00000085121	one_to_one	2	one_to_one:2
ENSCAFG00845006263	ENSG00000234942	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006280	ENSG00000269883	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006428	ENSG00000289557	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006429	NA	NA	ENSMUSG00000097701	one_to_one	1	one_to_one:1
ENSCAFG00845006507	ENSG00000266236	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006535	ENSG00000227896	one_to_one	ENSMUSG00000115007	one_to_one	2	one_to_one:2
ENSCAFG00845006543	ENSG00000234199;ENSG00000243179	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845006552	ENSG00000257526	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006556	NA	NA	ENSMUSG00000113386	one_to_one	1	one_to_one:1
ENSCAFG00845006565	ENSG00000225000;ENSG00000226522	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845006577	NA	NA	ENSMUSG00000108875	one_to_one	1	one_to_one:1
ENSCAFG00845006662	NA	NA	ENSMUSG00000120285	one_to_one	1	one_to_one:1
ENSCAFG00845006696	ENSG00000235314	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006737	ENSG00000272515	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006763	NA	NA	ENSMUSG00000109733	one_to_one	1	one_to_one:1
ENSCAFG00845006787	NA	NA	ENSMUSG00000111666	one_to_one	1	one_to_one:1
ENSCAFG00845006895	ENSG00000260808	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006899	ENSG00000233926	many_to_one	ENSMUSG00000084910;ENSMUSG00000086027	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845006972	ENSG00000233926	many_to_one	ENSMUSG00000084910;ENSMUSG00000086027	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845006996	ENSG00000280395	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845007067	NA	NA	ENSMUSG00000112132	one_to_one	1	one_to_one:1
ENSCAFG00845007072	ENSG00000286476	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845007096	ENSG00000267345	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845007159	NA	NA	ENSMUSG00000085192	one_to_one	1	one_to_one:1
ENSCAFG00845007340	ENSG00000254343	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845007539	NA	NA	ENSMUSG00000086856;ENSMUSG00000087171	one_to_many	1	one_to_many:1
ENSCAFG00845007560	NA	NA	ENSMUSG00000109803	one_to_one	1	one_to_one:1
ENSCAFG00845007584	ENSG00000180458	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845007585	ENSG00000257948	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845007595	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845007600	ENSG00000257191	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845007606	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845007782	NA	NA	ENSMUSG00000113184	one_to_one	1	one_to_one:1
ENSCAFG00845007796	NA	NA	ENSMUSG00000111535	one_to_one	1	one_to_one:1
ENSCAFG00845007810	NA	NA	ENSMUSG00000111116;ENSMUSG00000111463	one_to_many	1	one_to_many:1
ENSCAFG00845007826	NA	NA	ENSMUSG00000115854	one_to_one	1	one_to_one:1
ENSCAFG00845007872	NA	NA	ENSMUSG00000101600	many_to_one	1	many_to_one:1
ENSCAFG00845007874	ENSG00000289201	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845007886	ENSG00000257303	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845007888	NA	NA	ENSMUSG00000101600	many_to_one	1	many_to_one:1
ENSCAFG00845007905	ENSG00000231969	one_to_one	ENSMUSG00000085862	one_to_one	2	one_to_one:2
ENSCAFG00845007915	ENSG00000289201	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845007953	NA	NA	ENSMUSG00000115545	one_to_one	1	one_to_one:1
ENSCAFG00845008105	NA	NA	ENSMUSG00000105753	one_to_one	1	one_to_one:1
ENSCAFG00845008142	NA	NA	ENSMUSG00000120487	one_to_one	1	one_to_one:1
ENSCAFG00845008214	ENSG00000237220;ENSG00000224048	many_to_many_strict	ENSMUSG00000100496;ENSMUSG00000086349	many_to_many_strict	2	many_to_many_strict:2
ENSCAFG00845008226	ENSG00000237220;ENSG00000224048	many_to_many_strict	ENSMUSG00000100496;ENSMUSG00000086349	many_to_many_strict	2	many_to_many_strict:2
ENSCAFG00845008240	ENSG00000258419	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845008321	NA	NA	ENSMUSG00000104835	one_to_one	1	one_to_one:1
ENSCAFG00845008335	NA	NA	ENSMUSG00000113747	one_to_one	1	one_to_one:1
ENSCAFG00845008346	ENSG00000233721;ENSG00000226078	one_to_many	ENSMUSG00000085463	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845008348	ENSG00000225750	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845008353	NA	NA	ENSMUSG00000085667	one_to_one	1	one_to_one:1
ENSCAFG00845008356	ENSG00000225750	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845008404	NA	NA	ENSMUSG00000114357	one_to_one	1	one_to_one:1
ENSCAFG00845008529	ENSG00000233797	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845008547	NA	NA	ENSMUSG00000115508	one_to_one	1	one_to_one:1
ENSCAFG00845008574	ENSG00000266289	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845008636	ENSG00000254209	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845008701	NA	NA	ENSMUSG00000110625	many_to_one	1	many_to_one:1
ENSCAFG00845008707	ENSG00000251292	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845008709	NA	NA	ENSMUSG00000110625	many_to_one	1	many_to_one:1
ENSCAFG00845008716	NA	NA	ENSMUSG00000099906	one_to_one	1	one_to_one:1
ENSCAFG00845008721	NA	NA	ENSMUSG00000054057	one_to_one	1	one_to_one:1
ENSCAFG00845008731	NA	NA	ENSMUSG00000085319	one_to_one	1	one_to_one:1
ENSCAFG00845008771	ENSG00000260401	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845008813	NA	NA	ENSMUSG00000118362	one_to_one	1	one_to_one:1
ENSCAFG00845008854	ENSG00000285637	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845008952	ENSG00000255317;ENSG00000257271;ENSG00000254607;ENSG00000254960;ENSG00000218109	one_to_many	ENSMUSG00000053889	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845008967	NA	NA	ENSMUSG00000110925	one_to_one	1	one_to_one:1
ENSCAFG00845008991	NA	NA	ENSMUSG00000084787	one_to_one	1	one_to_one:1
ENSCAFG00845009013	NA	NA	ENSMUSG00000087474	many_to_one	1	many_to_one:1
ENSCAFG00845009021	NA	NA	ENSMUSG00000087474	many_to_one	1	many_to_one:1
ENSCAFG00845009026	NA	NA	ENSMUSG00000087474	many_to_one	1	many_to_one:1
ENSCAFG00845009031	NA	NA	ENSMUSG00000087474	many_to_one	1	many_to_one:1
ENSCAFG00845009050	ENSG00000272479	many_to_one	ENSMUSG00000109419;ENSMUSG00000053979	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845009060	ENSG00000272479	many_to_one	ENSMUSG00000109419;ENSMUSG00000053979	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845009065	ENSG00000286218	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009073	NA	NA	ENSMUSG00000096935	one_to_one	1	one_to_one:1
ENSCAFG00845009075	ENSG00000286042	many_to_one	ENSMUSG00000098747	many_to_one	2	many_to_one:2
ENSCAFG00845009084	ENSG00000286042	many_to_one	ENSMUSG00000098747	many_to_one	2	many_to_one:2
ENSCAFG00845009096	NA	NA	ENSMUSG00000097156	one_to_one	1	one_to_one:1
ENSCAFG00845009160	ENSG00000286218	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009167	ENSG00000286218	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009182	ENSG00000257126	one_to_one	ENSMUSG00000112763	one_to_one	2	one_to_one:2
ENSCAFG00845009202	ENSG00000228886	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009216	ENSG00000186960	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009220	ENSG00000273149	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009239	ENSG00000257056;ENSG00000257748	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845009249	ENSG00000258038	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009290	ENSG00000283052;ENSG00000281344	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845009426	ENSG00000234943;ENSG00000228108	one_to_many	ENSMUSG00000119981;ENSMUSG00000101872;ENSMUSG00000073073	one_to_many	2	one_to_many:2
ENSCAFG00845009507	NA	NA	ENSMUSG00000103459	one_to_one	1	one_to_one:1
ENSCAFG00845009524	NA	NA	ENSMUSG00000120623;ENSMUSG00000097324	one_to_many	1	one_to_many:1
ENSCAFG00845009605	ENSG00000231794	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009640	NA	NA	ENSMUSG00000090194	one_to_one	1	one_to_one:1
ENSCAFG00845009674	ENSG00000278156	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009755	ENSG00000286197	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009770	ENSG00000260430	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009782	ENSG00000257762	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009800	ENSG00000257762	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009830	ENSG00000197989	one_to_one	ENSMUSG00000086290	one_to_one	2	one_to_one:2
ENSCAFG00845009849	NA	NA	ENSMUSG00000121490	one_to_one	1	one_to_one:1
ENSCAFG00845009854	ENSG00000240842	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009866	ENSG00000241667	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009880	ENSG00000240842	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009888	NA	NA	ENSMUSG00000073528	one_to_one	1	one_to_one:1
ENSCAFG00845009890	ENSG00000241667	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009900	ENSG00000241667	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009910	ENSG00000241667	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845009917	ENSG00000224509	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009935	ENSG00000285888	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845009940	NA	NA	ENSMUSG00000097063	one_to_one	1	one_to_one:1
ENSCAFG00845009947	ENSG00000287891	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010028	NA	NA	ENSMUSG00000112774	many_to_one	1	many_to_one:1
ENSCAFG00845010040	NA	NA	ENSMUSG00000112774	many_to_one	1	many_to_one:1
ENSCAFG00845010045	ENSG00000242125	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010130	ENSG00000232325;ENSG00000287883;ENSG00000261795;ENSG00000242474	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845010162	NA	NA	ENSMUSG00000120850	one_to_one	1	one_to_one:1
ENSCAFG00845010213	ENSG00000230597	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010224	ENSG00000230597	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010226	NA	NA	ENSMUSG00000100274;ENSMUSG00000115639	one_to_many	1	one_to_many:1
ENSCAFG00845010228	ENSG00000230597	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010245	ENSG00000230597	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010257	ENSG00000230597	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010265	ENSG00000230597	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010279	ENSG00000230597	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010409	ENSG00000286875	one_to_one	ENSMUSG00000056031	one_to_one	2	one_to_one:2
ENSCAFG00845010420	NA	NA	ENSMUSG00000111225;ENSMUSG00000111014	one_to_many	1	one_to_many:1
ENSCAFG00845010438	ENSG00000267551	one_to_one	ENSMUSG00000112350	one_to_one	2	one_to_one:2
ENSCAFG00845010449	ENSG00000272114	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010450	ENSG00000224231	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010460	NA	NA	ENSMUSG00000114276	many_to_one	1	many_to_one:1
ENSCAFG00845010463	ENSG00000224231	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010467	NA	NA	ENSMUSG00000114276	many_to_one	1	many_to_one:1
ENSCAFG00845010484	ENSG00000272381	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010488	NA	NA	ENSMUSG00000114276	many_to_one	1	many_to_one:1
ENSCAFG00845010490	ENSG00000265408	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010497	ENSG00000272381	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010508	ENSG00000272381	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010519	ENSG00000272381	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010522	NA	NA	ENSMUSG00000114276	many_to_one	1	many_to_one:1
ENSCAFG00845010528	ENSG00000272381	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845010536	ENSG00000269961	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010646	NA	NA	ENSMUSG00000086707	many_to_one	1	many_to_one:1
ENSCAFG00845010655	ENSG00000271398	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010660	NA	NA	ENSMUSG00000086707	many_to_one	1	many_to_one:1
ENSCAFG00845010677	ENSG00000278200	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010686	ENSG00000279954	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010698	NA	NA	ENSMUSG00000121037	one_to_one	1	one_to_one:1
ENSCAFG00845010700	ENSG00000238099	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010730	ENSG00000223525;ENSG00000289425	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845010736	NA	NA	ENSMUSG00000112629	one_to_one	1	one_to_one:1
ENSCAFG00845010811	ENSG00000263154;ENSG00000274833	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845010817	NA	NA	ENSMUSG00000117718	one_to_one	1	one_to_one:1
ENSCAFG00845010820	NA	NA	ENSMUSG00000120866	many_to_one	1	many_to_one:1
ENSCAFG00845010832	ENSG00000287431;ENSG00000185332;ENSG00000185168	one_to_many	ENSMUSG00000075389	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845010842	NA	NA	ENSMUSG00000120866	many_to_one	1	many_to_one:1
ENSCAFG00845010887	ENSG00000236046	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845010957	NA	NA	ENSMUSG00000069996	one_to_one	1	one_to_one:1
ENSCAFG00845010999	ENSG00000233420	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011060	ENSG00000264808	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011148	ENSG00000259290	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011159	ENSG00000228959	many_to_one	ENSMUSG00000100943	many_to_one	2	many_to_one:2
ENSCAFG00845011168	ENSG00000228959	many_to_one	ENSMUSG00000100943	many_to_one	2	many_to_one:2
ENSCAFG00845011293	ENSG00000248799	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011361	NA	NA	ENSMUSG00000120401	one_to_one	1	one_to_one:1
ENSCAFG00845011442	NA	NA	ENSMUSG00000121235	one_to_one	1	one_to_one:1
ENSCAFG00845011449	ENSG00000289468	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011464	ENSG00000226328	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011476	ENSG00000258338	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011489	NA	NA	ENSMUSG00000117521	many_to_one	1	many_to_one:1
ENSCAFG00845011508	NA	NA	ENSMUSG00000117521	many_to_one	1	many_to_one:1
ENSCAFG00845011510	NA	NA	ENSMUSG00000087114	one_to_one	1	one_to_one:1
ENSCAFG00845011525	NA	NA	ENSMUSG00000117521	many_to_one	1	many_to_one:1
ENSCAFG00845011623	ENSG00000249057	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011703	ENSG00000267201	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011782	ENSG00000267262;ENSG00000267299	one_to_many	ENSMUSG00000121209	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845011860	NA	NA	ENSMUSG00000117292	one_to_one	1	one_to_one:1
ENSCAFG00845011883	ENSG00000286565	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845011911	ENSG00000181211	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011913	NA	NA	ENSMUSG00000068957	one_to_one	1	one_to_one:1
ENSCAFG00845011921	NA	NA	ENSMUSG00000089746	one_to_one	1	one_to_one:1
ENSCAFG00845011946	ENSG00000254551	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845011950	ENSG00000286565	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845011966	ENSG00000257472	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845011974	ENSG00000258474	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845011990	ENSG00000258474	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845011999	ENSG00000257472	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845012010	ENSG00000258386	one_to_one	ENSMUSG00000120607	one_to_one	2	one_to_one:2
ENSCAFG00845012013	ENSG00000250646	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012031	ENSG00000227602	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012049	NA	NA	ENSMUSG00000085575	one_to_one	1	one_to_one:1
ENSCAFG00845012058	ENSG00000274578	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012067	NA	NA	ENSMUSG00000120033	one_to_one	1	one_to_one:1
ENSCAFG00845012102	NA	NA	ENSMUSG00000112846	one_to_one	1	one_to_one:1
ENSCAFG00845012132	ENSG00000262873;ENSG00000262098	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845012137	NA	NA	ENSMUSG00000110053	one_to_one	1	one_to_one:1
ENSCAFG00845012139	NA	NA	ENSMUSG00000117044	one_to_one	1	one_to_one:1
ENSCAFG00845012148	ENSG00000286928	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012181	ENSG00000248567	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012224	ENSG00000234300	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012265	ENSG00000232655	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012273	NA	NA	ENSMUSG00000120287	one_to_one	1	one_to_one:1
ENSCAFG00845012320	NA	NA	ENSMUSG00000120933;ENSMUSG00000121026	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845012331	NA	NA	ENSMUSG00000120933;ENSMUSG00000121026	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845012343	NA	NA	ENSMUSG00000054135	one_to_one	1	one_to_one:1
ENSCAFG00845012389	ENSG00000250280	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012441	ENSG00000286010	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012449	NA	NA	ENSMUSG00000117645	one_to_one	1	one_to_one:1
ENSCAFG00845012457	ENSG00000265369	many_to_one	ENSMUSG00000117404	many_to_one	2	many_to_one:2
ENSCAFG00845012467	ENSG00000265369	many_to_one	ENSMUSG00000117404	many_to_one	2	many_to_one:2
ENSCAFG00845012476	ENSG00000263677	many_to_one	ENSMUSG00000117613	many_to_one	2	many_to_one:2
ENSCAFG00845012482	ENSG00000265369	many_to_one	ENSMUSG00000117404	many_to_one	2	many_to_one:2
ENSCAFG00845012545	ENSG00000250909;ENSG00000251414	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845012553	NA	NA	ENSMUSG00000099407	one_to_one	1	one_to_one:1
ENSCAFG00845012572	ENSG00000263677	many_to_one	ENSMUSG00000117613	many_to_one	2	many_to_one:2
ENSCAFG00845012579	ENSG00000265369	many_to_one	ENSMUSG00000117404	many_to_one	2	many_to_one:2
ENSCAFG00845012589	ENSG00000249859	many_to_one	ENSMUSG00000097039	many_to_one	2	many_to_one:2
ENSCAFG00845012649	ENSG00000249859	many_to_one	ENSMUSG00000097039	many_to_one	2	many_to_one:2
ENSCAFG00845012720	ENSG00000273576	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012730	ENSG00000260369	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012774	ENSG00000287506;ENSG00000263674	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845012799	ENSG00000253973	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012801	ENSG00000226143	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012813	ENSG00000267755	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845012817	NA	NA	ENSMUSG00000106688	one_to_one	1	one_to_one:1
ENSCAFG00845012921	ENSG00000273344;ENSG00000273183;ENSG00000272760	many_to_many	ENSMUSG00000120915	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845012942	ENSG00000273344;ENSG00000273183;ENSG00000272760	many_to_many	ENSMUSG00000120915	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845013054	ENSG00000287268	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013073	NA	NA	ENSMUSG00000097309	one_to_one	1	one_to_one:1
ENSCAFG00845013079	NA	NA	ENSMUSG00000121269	one_to_one	1	one_to_one:1
ENSCAFG00845013114	ENSG00000253307	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013133	NA	NA	ENSMUSG00000104529	one_to_one	1	one_to_one:1
ENSCAFG00845013242	ENSG00000287932	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013253	ENSG00000286742;ENSG00000237819	one_to_many	ENSMUSG00000106588;ENSMUSG00000105534	one_to_many	2	one_to_many:2
ENSCAFG00845013254	ENSG00000254291	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013280	ENSG00000230694;ENSG00000231756;ENSG00000234779	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845013442	ENSG00000241111	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013455	ENSG00000286677;ENSG00000272128	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845013464	NA	NA	ENSMUSG00000085418;ENSMUSG00000112555;ENSMUSG00000084764;ENSMUSG00000085454	one_to_many	1	one_to_many:1
ENSCAFG00845013466	NA	NA	ENSMUSG00000105339	one_to_one	1	one_to_one:1
ENSCAFG00845013503	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845013508	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845013510	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845013519	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845013523	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845013530	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845013537	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845013538	NA	NA	ENSMUSG00000087482	many_to_one	1	many_to_one:1
ENSCAFG00845013541	ENSG00000285543	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013543	ENSG00000235038;ENSG00000226759;ENSG00000227935	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845013609	ENSG00000287332	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013621	NA	NA	ENSMUSG00000090070	one_to_one	1	one_to_one:1
ENSCAFG00845013660	ENSG00000235872	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013752	ENSG00000235029;ENSG00000243479	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845013756	ENSG00000236356	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013757	ENSG00000289393	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013760	ENSG00000236102	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013844	NA	NA	ENSMUSG00000108094	one_to_one	1	one_to_one:1
ENSCAFG00845013845	ENSG00000253344;ENSG00000254306;ENSG00000254290	one_to_many	ENSMUSG00000100335	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845013851	ENSG00000250166	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013855	NA	NA	ENSMUSG00000112684	one_to_one	1	one_to_one:1
ENSCAFG00845013863	ENSG00000273824	one_to_one	ENSMUSG00000112470	one_to_one	2	one_to_one:2
ENSCAFG00845013909	ENSG00000249647	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845013934	NA	NA	ENSMUSG00000101621	one_to_one	1	one_to_one:1
ENSCAFG00845013941	ENSG00000227748	one_to_one	ENSMUSG00000112573	one_to_one	2	one_to_one:2
ENSCAFG00845013964	ENSG00000196634	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014068	ENSG00000253452	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014174	ENSG00000264443	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014177	ENSG00000223872;ENSG00000234210;ENSG00000233191	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845014259	NA	NA	ENSMUSG00000072683	one_to_one	1	one_to_one:1
ENSCAFG00845014275	ENSG00000272842;ENSG00000232978	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845014357	ENSG00000275162	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014409	ENSG00000231992	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014420	NA	NA	ENSMUSG00000111637;ENSMUSG00000111758	one_to_many	1	one_to_many:1
ENSCAFG00845014571	NA	NA	ENSMUSG00000073778	one_to_one	1	one_to_one:1
ENSCAFG00845014572	NA	NA	ENSMUSG00000116380	one_to_one	1	one_to_one:1
ENSCAFG00845014581	ENSG00000253238	one_to_one	ENSMUSG00000103116	one_to_one	2	one_to_one:2
ENSCAFG00845014620	ENSG00000277022	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014652	ENSG00000232557	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845014656	NA	NA	ENSMUSG00000101012	one_to_one	1	one_to_one:1
ENSCAFG00845014675	NA	NA	ENSMUSG00000089870	one_to_one	1	one_to_one:1
ENSCAFG00845014683	NA	NA	ENSMUSG00000072589	one_to_one	1	one_to_one:1
ENSCAFG00845014702	NA	NA	ENSMUSG00000120190	one_to_one	1	one_to_one:1
ENSCAFG00845014726	ENSG00000260583	one_to_one	NA	NA	1	one_to_one:1
