PCG.Homo_sapiens	conf.Homo_sapiens	PCG.Mus_musculus	conf.Mus_musculus	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	lncRNA.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	orthology_type.Homo_sapiens-Mus_musculus
ENSG00000169372	lincSS.dw	ENSMUSG00000045867	lincSS.dw	ENSG00000271382	1.1.1	50201	ENSMUSG00000112481;ENSMUSG00000112501	n.1.1;1.1.1	28888;37872	one_to_many
ENSG00000164325	lincSS.dw	ENSMUSG00000046082	lincSS.dw	ENSG00000249743	n.1.1	38787	ENSMUSG00000114521;ENSMUSG00000120268	1.1.1;1.1.1	17316;99047	one_to_many
ENSG00000161267	lincSS.dw	ENSMUSG00000046598	lincSS.dw	ENSG00000229912;ENSG00000235126	1.1.1;1.1.1	53129;51460	ENSMUSG00000116572;ENSMUSG00000116762	1.1.1;1.1.1	11025;49486	many_to_many_strict
ENSG00000197651	lincSS.dw	ENSMUSG00000047025	lincSS.dw	ENSG00000288102	1.1.1	96874	ENSMUSG00000112497	n.1.1	19849	one_to_one
ENSG00000122644	lincSS.dw	ENSMUSG00000047446	lincSS.dw	ENSG00000229618	n.1.1	35194	ENSMUSG00000113874	1.1.1	82588	one_to_one
ENSG00000139926	lincSS.dw	ENSMUSG00000048285	lincSS.dw	ENSG00000259111	1.1.1	19833	ENSMUSG00000113707	1.1.1	10025	one_to_one
ENSG00000186106	lincSS.dw	ENSMUSG00000048307	lincSS.dw	ENSG00000253842	n.1.1	77026	ENSMUSG00000120582;ENSMUSG00000114981;ENSMUSG00000115395	1.1.1;n.n.n;1.1.1	22121;87496;40977	one_to_many
ENSG00000137642	lincSS.dw	ENSMUSG00000049313	lincSS.dw	ENSG00000286044	n.1.1	40498	ENSMUSG00000111511;ENSMUSG00000111726	n.1.1;1.1.1	88452;74116	one_to_many
ENSG00000170264	lincSS.dw	ENSMUSG00000049811	lincSS.dw	ENSG00000289410	n.1.1	60543	ENSMUSG00000085665	1.1.1	37210	one_to_one
ENSG00000275342	lincSS.dw	ENSMUSG00000050271	lincSS.dw	ENSG00000291048;ENSG00000253893	n.1.1;1.1.1	73069;91122	ENSMUSG00000110116;ENSMUSG00000109704	1.1.1;n.1.1	28354;11692	many_to_many_strict
ENSG00000212916	lincSS.dw	ENSMUSG00000050930	lincSS.dw	ENSG00000286774	1.1.1	33457	ENSMUSG00000120908	1.1.1	12237	one_to_one
ENSG00000118492	lincSS.dw	ENSMUSG00000050994	lincSS.dw	ENSG00000227748	n.1.1	39521	ENSMUSG00000112573	1.1.1	38774	one_to_one
ENSG00000174099	lincSS.dw	ENSMUSG00000051236	lincSS.dw	ENSG00000256268;ENSG00000255866	n.1.1;n.1.1	97681;65495	ENSMUSG00000112716;ENSMUSG00000111907	n.1.1;1.1.1	81893;15068	many_to_many_strict
ENSG00000170340	lincSS.dw	ENSMUSG00000051650	lincSS.dw	ENSG00000228541	n.n.n	71515	ENSMUSG00000085979	1.1.1	26752	one_to_one
ENSG00000187676	lincSS.dw	ENSMUSG00000051950	lincSS.dw	ENSG00000278305	1.1.1	87713	ENSMUSG00000107214	n.1.1	85148	one_to_one
ENSG00000168502	lincSS.dw	ENSMUSG00000052105	lincSS.dw	ENSG00000287719	1.1.1	81221	ENSMUSG00000121208	1.1.1	70054	one_to_one
ENSG00000196090	lincSS.dw	ENSMUSG00000053141	lincSS.dw	ENSG00000228959	1.1.1	57274	ENSMUSG00000100943	1.1.1	7978	one_to_one
ENSG00000143512	lincSS.dw	ENSMUSG00000053461	lincSS.dw	ENSG00000276997;ENSG00000226643	n.1.1;1.1.1	17636;67553	ENSMUSG00000103451	1.1.1	77992	many_to_one
ENSG00000153574	lincSS.dw	ENSMUSG00000053604	lincSS.dw	ENSG00000291127	n.1.1	14878	ENSMUSG00000119951	n.1.1	46818	one_to_one
ENSG00000168875	lincSS.dw	ENSMUSG00000053747	lincSS.dw	ENSG00000261146;ENSG00000239513	1.1.1;n.1.1	25639;5326	ENSMUSG00000110929	1.1.1	15793	many_to_one
ENSG00000152936	lincSS.dw	ENSMUSG00000054966	lincSS.dw	ENSG00000278743	1.1.1	23066	ENSMUSG00000120520	1.1.1	23247	one_to_one
ENSG00000148053	lincSS.dw	ENSMUSG00000055254	lincSS.dw	ENSG00000285556	1.1.1	71595	ENSMUSG00000114854	n.1.1	11903	one_to_one
ENSG00000079308	lincSS.dw	ENSMUSG00000055322	lincSS.dw	ENSG00000231672	n.1.1	42995	ENSMUSG00000101344;ENSMUSG00000100301	1.1.1;n.1.1	68314;45765	one_to_many
ENSG00000176907	lincSS.dw	ENSMUSG00000056313	lincSS.dw	ENSG00000254143	1.1.1	6148	ENSMUSG00000109299	1.1.1	77744	one_to_one
ENSG00000172216	lincSS.dw	ENSMUSG00000056501	lincSS.dw	ENSG00000224397	n.1.1	54975	ENSMUSG00000084797;ENSMUSG00000087624	n.1.1;1.1.1	87049;91635	one_to_many
ENSG00000162783	lincSS.dw	ENSMUSG00000056708	lincSS.dw	ENSG00000237292	n.1.1	81584	ENSMUSG00000096950;ENSMUSG00000120457;ENSMUSG00000101880	1.1.1;n.1.1;1.1.1	13095;41501;39182	one_to_many
ENSG00000106459	lincSS.dw	ENSMUSG00000058440	lincSS.dw	ENSG00000290319	1.1.1	23328	ENSMUSG00000103108	1.1.1	19435	one_to_one
ENSG00000163064	lincSS.dw	ENSMUSG00000058665	lincSS.dw	ENSG00000258910	n.1.1	7061	ENSMUSG00000099957	1.1.1	13748	one_to_one
ENSG00000184640	lincSS.dw	ENSMUSG00000059248	lincSS.dw	ENSG00000285535;ENSG00000286534;ENSG00000267506;ENSG00000267665	n.1.1;1.1.1;n.1.1;n.1.1	89936;47533;46344;16291	ENSMUSG00000085336;ENSMUSG00000086588	n.1.1;1.1.1	63844;52064	many_to_many
ENSG00000170965	lincSS.dw	ENSMUSG00000061082	lincSS.dw	ENSG00000223749	n.1.1	19196	ENSMUSG00000087365;ENSMUSG00000101603	n.1.1;n.1.1	12779;16700	one_to_many
ENSG00000120963	lincSS.dw	ENSMUSG00000062397	lincSS.dw	ENSG00000261087;ENSG00000253395	1.1.1;1.1.1	8249;51720	ENSMUSG00000115430	1.1.1	65341	many_to_one
ENSG00000179456	lincSS.dw	ENSMUSG00000063659	lincSS.dw	ENSG00000286486;ENSG00000237759	1.1.1;1.1.1	29830;49889	ENSMUSG00000103043;ENSMUSG00000102432	1.1.1;n.1.1	16614;8202	many_to_many_strict
ENSG00000179930	lincSS.dw	ENSMUSG00000066797	lincSS.dw	ENSG00000287452	1.1.1	55585	ENSMUSG00000100221	n.1.1	50000	one_to_one
ENSG00000196431	lincSS.dw	ENSMUSG00000066975	lincSS.dw	ENSG00000225783;ENSG00000244625	n.1.1;n.1.1	15742;42078	ENSMUSG00000097767	n.1.1	17098	many_to_one
ENSG00000144485	lincSS.dw	ENSMUSG00000067071	lincSS.dw	ENSG00000186235	n.1.1	6556	ENSMUSG00000100253	1.1.1	5454	one_to_one
ENSG00000169184	lincSS.dw	ENSMUSG00000070576	lincSS.dw	ENSG00000289489;ENSG00000227838	1.1.1;1.1.1	78956;33307	ENSMUSG00000120047	n.1.1	33898	many_to_one
ENSG00000113369	lincSS.dw	ENSMUSG00000074794	lincSS.dw	ENSG00000234292	1.1.1	87489	ENSMUSG00000114554;ENSMUSG00000114479	n.1.1;1.1.1	44369;83428	one_to_many
ENSG00000185442	lincSS.dw	ENSMUSG00000078670	lincSS.dw	ENSG00000258647;ENSG00000260337	n.1.1;n.1.1	42919;20986	ENSMUSG00000108448	1.1.1	39627	many_to_one
ENSG00000244687	lincSS.dw	ENSMUSG00000078923	lincSS.dw	ENSG00000231265	1.1.1	39620	ENSMUSG00000120668	1.1.1	18195	one_to_one
ENSG00000205269	lincSS.dw	ENSMUSG00000087370	lincSS.dw	ENSG00000271897	1.1.1	24028	ENSMUSG00000054258	n.1.1	14342	one_to_one
ENSG00000173726	lincSS.dw	ENSMUSG00000093904	lincSS.dw	ENSG00000280587	n.1.1	35121	ENSMUSG00000110697	n.1.1	22452	one_to_one
ENSG00000182968	lincSS.dw	ENSMUSG00000096014	lincSS.dw	ENSG00000260385	1.1.1	11843	ENSMUSG00000120658	1.1.1	57099	one_to_one
ENSG00000118971	lincSS.up	ENSMUSG00000000184	lincSS.up	ENSG00000289105	1.1.1	60948	ENSMUSG00000107013	1.1.1	99445	one_to_one
ENSG00000159399	lincSS.up	ENSMUSG00000000628	lincSS.up	ENSG00000286739	n.n.n	28148	ENSMUSG00000109556	1.1.1	29311	one_to_one
ENSG00000126216	lincSS.up	ENSMUSG00000000759	lincSS.up	ENSG00000277159	1.1.1	14623	ENSMUSG00000074469	1.1.1	34696	one_to_one
ENSG00000198668	lincSS.up	ENSMUSG00000001175	lincSS.up	ENSG00000275198	1.1.1	8529	ENSMUSG00000072884	n.1.1	5895	one_to_one
ENSG00000143815	lincSS.up	ENSMUSG00000004880	lincSS.up	ENSG00000234476	n.n.n	18308	ENSMUSG00000056699	1.1.1	8528	one_to_one
ENSG00000004939	lincSS.up	ENSMUSG00000006574	lincSS.up	ENSG00000285486	1.1.1	8227	ENSMUSG00000087330	1.1.1	9346	one_to_one
ENSG00000153498	lincSS.up	ENSMUSG00000010435	lincSS.up	ENSG00000260343	1.1.1	54597	ENSMUSG00000109582	1.1.1	67688	one_to_one
ENSG00000111245	lincSS.up	ENSMUSG00000013936	lincSS.up	ENSG00000258240	n.1.1	30240	ENSMUSG00000120313	1.1.1	6584	one_to_one
ENSG00000165029	lincSS.up	ENSMUSG00000015243	lincSS.up	ENSG00000230013	n.1.1	42438	ENSMUSG00000087192	n.1.1	45171	one_to_one
ENSG00000130700	lincSS.up	ENSMUSG00000015627	lincSS.up	ENSG00000260542;ENSG00000174403	1.1.1;n.1.1	37914;68170	ENSMUSG00000084843	1.1.1	35792	many_to_one
ENSG00000055208	lincSS.up	ENSMUSG00000015755	lincSS.up	ENSG00000289359	1.1.1	56710	ENSMUSG00000112360	1.1.1	45713	one_to_one
ENSG00000089225	lincSS.up	ENSMUSG00000018263	lincSS.up	ENSG00000289101	n.1.1	37356	ENSMUSG00000120759	1.1.1	34473	one_to_one
ENSG00000135111	lincSS.up	ENSMUSG00000018604	lincSS.up	ENSG00000287982	1.1.1	49582	ENSMUSG00000085708;ENSMUSG00000085345	1.1.1;1.1.1	36205;11407	one_to_many
ENSG00000168118	lincSS.up	ENSMUSG00000019478	lincSS.up	ENSG00000177800	1.1.1	19252	ENSMUSG00000110684;ENSMUSG00000110599	n.1.1;1.1.1	38264;66044	one_to_many
ENSG00000120802	lincSS.up	ENSMUSG00000019961	lincSS.up	ENSG00000286056	1.1.1	91858	ENSMUSG00000111544	n.1.1	26943	one_to_one
ENSG00000111554	lincSS.up	ENSMUSG00000020212	lincSS.up	ENSG00000273824	1.1.1	93950	ENSMUSG00000112470	1.1.1	17717	one_to_one
ENSG00000185662	lincSS.up	ENSMUSG00000020270	lincSS.up	ENSG00000253110	1.1.1	7693	ENSMUSG00000085402	1.1.1	78532	one_to_one
ENSG00000115380	lincSS.up	ENSMUSG00000020467	lincSS.up	ENSG00000226702	n.1.1	39052	ENSMUSG00000085510	1.1.1	37437	one_to_one
ENSG00000071575	lincSS.up	ENSMUSG00000020601	lincSS.up	ENSG00000224184	n.n.n	13997	ENSMUSG00000113629	1.1.1	25836	one_to_one
ENSG00000112685	lincSS.up	ENSMUSG00000021357	lincSS.up	ENSG00000287293;ENSG00000272463;ENSG00000272485	1.1.1;1.1.1;1.1.1	35989;15453;81608	ENSMUSG00000114161	1.1.1	98637	many_to_one
ENSG00000137203	lincSS.up	ENSMUSG00000021359	lincSS.up	ENSG00000183674	n.1.1	10050	ENSMUSG00000114640	n.1.1	15684	one_to_one
ENSG00000112799	lincSS.up	ENSMUSG00000021423	lincSS.up	ENSG00000285717	1.1.1	80665	ENSMUSG00000114249;ENSMUSG00000114508	1.1.1;1.1.1	93043;18161	one_to_many
ENSG00000185920	lincSS.up	ENSMUSG00000021466	lincSS.up	ENSG00000229345	n.1.1	82381	ENSMUSG00000113453	n.1.1	47902	one_to_one
ENSG00000120149	lincSS.up	ENSMUSG00000021469	lincSS.up	ENSG00000250256	1.1.1	98807	ENSMUSG00000113834	1.1.1	30532	one_to_one
ENSG00000078295	lincSS.up	ENSMUSG00000021536	lincSS.up	ENSG00000290510;ENSG00000251678	n.1.1;1.1.1	69529;50217	ENSMUSG00000120037	n.1.1	59410	many_to_one
ENSG00000095015	lincSS.up	ENSMUSG00000021754	lincSS.up	ENSG00000228650	1.1.1	43246	ENSMUSG00000086861	1.1.1	41323	one_to_one
ENSG00000087303	lincSS.up	ENSMUSG00000021806	lincSS.up	ENSG00000258694	1.1.1	42063	ENSMUSG00000120206	n.1.1	19269	one_to_one
ENSG00000157445	lincSS.up	ENSMUSG00000021991	lincSS.up	ENSG00000288029	1.1.1	63683	ENSMUSG00000114570;ENSMUSG00000114774	1.1.1;n.1.1	10502;64964	one_to_many
ENSG00000179399	lincSS.up	ENSMUSG00000022112	lincSS.up	ENSG00000215417	n.1.1	44042	ENSMUSG00000089726	1.1.1	45488	one_to_one
ENSG00000168621	lincSS.up	ENSMUSG00000022144	lincSS.up	ENSG00000248539;ENSG00000250032	1.1.1;1.1.1	59322;99324	ENSMUSG00000115497	1.1.1	49854	many_to_one
ENSG00000066827	lincSS.up	ENSMUSG00000022335	lincSS.up	ENSG00000259820	1.1.1	78971	ENSMUSG00000093387;ENSMUSG00000096967	1.1.1;n.1.1	82127;75859	one_to_many
ENSG00000134294	lincSS.up	ENSMUSG00000022462	lincSS.up	ENSG00000257496	n.1.1	11460	ENSMUSG00000120383;ENSMUSG00000121031	n.1.1;1.1.1	38965;9034	one_to_many
ENSG00000114315	lincSS.up	ENSMUSG00000022528	lincSS.up	ENSG00000229964;ENSG00000276407	1.1.1;n.1.1	26974;49322	ENSMUSG00000097184	n.1.1	42951	many_to_one
ENSG00000142178	lincSS.up	ENSMUSG00000024042	lincSS.up	ENSG00000185186	n.1.1	34829	ENSMUSG00000117562;ENSMUSG00000120937	1.1.1;1.1.1	39835;13387	one_to_many
ENSG00000146005	lincSS.up	ENSMUSG00000024347	lincSS.up	ENSG00000271792	1.1.1	20336	ENSMUSG00000118122;ENSMUSG00000118347	1.1.1;n.n.n	35246;46310	one_to_many
ENSG00000142186	lincSS.up	ENSMUSG00000024941	lincSS.up	ENSG00000251562;ENSG00000286756	n.1.1;n.1.1	18561;36181	ENSMUSG00000092341	n.1.1	24270	many_to_one
ENSG00000166167	lincSS.up	ENSMUSG00000025217	lincSS.up	ENSG00000225208	1.1.1	42528	ENSMUSG00000102057	1.1.1	45305	one_to_one
ENSG00000113763	lincSS.up	ENSMUSG00000025876	lincSS.up	ENSG00000248859	1.1.1	66648	ENSMUSG00000085896;ENSMUSG00000100728	1.1.1;1.1.1	34932;61398	one_to_many
ENSG00000164736	lincSS.up	ENSMUSG00000025902	lincSS.up	ENSG00000286471	1.1.1	63065	ENSMUSG00000104328	1.1.1	85775	one_to_one
ENSG00000118263	lincSS.up	ENSMUSG00000025959	lincSS.up	ENSG00000240440;ENSG00000234902	1.1.1;n.1.1	61443;12861	ENSMUSG00000101895	1.1.1	63709	many_to_one
ENSG00000143196	lincSS.up	ENSMUSG00000026574	lincSS.up	ENSG00000235736	1.1.1	34159	ENSMUSG00000102761	1.1.1	83873	one_to_one
ENSG00000116191	lincSS.up	ENSMUSG00000026594	lincSS.up	ENSG00000273384	1.1.1	72883	ENSMUSG00000101768	1.1.1	33134	one_to_one
ENSG00000157613	lincSS.up	ENSMUSG00000027230	lincSS.up	ENSG00000254639	1.1.1	38395	ENSMUSG00000087018	1.1.1	30487	one_to_one
ENSG00000124222	lincSS.up	ENSMUSG00000027522	lincSS.up	ENSG00000268941;ENSG00000254620	1.1.1;1.1.1	15515;47280	ENSMUSG00000120177	1.1.1	54284	many_to_one
ENSG00000151012	lincSS.up	ENSMUSG00000027737	lincSS.up	ENSG00000248397;ENSG00000249091	1.1.1;1.1.1	56507;34766	ENSMUSG00000102715	n.1.1	72785	many_to_one
ENSG00000134259	lincSS.up	ENSMUSG00000027859	lincSS.up	ENSG00000287103	1.1.1	17894	ENSMUSG00000105966	1.1.1	98982	one_to_one
ENSG00000116882	lincSS.up	ENSMUSG00000027870	lincSS.up	ENSG00000232650	n.1.1	12597	ENSMUSG00000085121	1.1.1	44410	one_to_one
ENSG00000117525	lincSS.up	ENSMUSG00000028128	lincSS.up	ENSG00000223675	1.1.1	43797	ENSMUSG00000074248	1.1.1	40555	one_to_one
ENSG00000172456	lincSS.up	ENSMUSG00000028573	lincSS.up	ENSG00000237352	n.1.1	56083	ENSMUSG00000085835	1.1.1	70106	one_to_one
ENSG00000157193	lincSS.up	ENSMUSG00000028613	lincSS.up	ENSG00000230138;ENSG00000226938	n.1.1;1.1.1	38187;20019	ENSMUSG00000087195;ENSMUSG00000087289	1.1.1;n.1.1	31268;11947	many_to_many_strict
ENSG00000127334	lincSS.up	ENSMUSG00000028630	lincSS.up	ENSG00000203585	n.1.1	57567	ENSMUSG00000112854	1.1.1	50172	one_to_one
ENSG00000134668	lincSS.up	ENSMUSG00000028784	lincSS.up	ENSG00000203620	1.1.1	25997	ENSMUSG00000086369	n.1.1	20110	one_to_one
ENSG00000157765	lincSS.up	ENSMUSG00000029188	lincSS.up	ENSG00000248545	n.1.1	28543	ENSMUSG00000106538	1.1.1	42328	one_to_one
ENSG00000170871	lincSS.up	ENSMUSG00000029190	lincSS.up	ENSG00000287331	1.1.1	13715	ENSMUSG00000120374	1.1.1	14979	one_to_one
ENSG00000102802	lincSS.up	ENSMUSG00000029659	lincSS.up	ENSG00000236094	n.1.1	22847	ENSMUSG00000107271	n.1.1	18153	one_to_one
ENSG00000050344	lincSS.up	ENSMUSG00000029832	lincSS.up	ENSG00000289053	n.1.1	34130	ENSMUSG00000107660	1.1.1	39879	one_to_one
ENSG00000185418	lincSS.up	ENSMUSG00000030515	lincSS.up	ENSG00000290760	n.1.1	12626	ENSMUSG00000086662	1.1.1	26014	one_to_one
ENSG00000104059	lincSS.up	ENSMUSG00000030518	lincSS.up	ENSG00000259814	1.1.1	38697	ENSMUSG00000108587	n.1.1	56244	one_to_one
ENSG00000134160	lincSS.up	ENSMUSG00000030523	lincSS.up	ENSG00000259772	n.1.1	41774	ENSMUSG00000108620	1.1.1	90877	one_to_one
ENSG00000185551	lincSS.up	ENSMUSG00000030551	lincSS.up	ENSG00000275443;ENSG00000259763;ENSG00000278146	n.1.1;n.1.1;1.1.1	24948;88928;94793	ENSMUSG00000108869;ENSMUSG00000101559	1.1.1;1.1.1	54180;5303	many_to_many
ENSG00000140740	lincSS.up	ENSMUSG00000030884	lincSS.up	ENSG00000290675	1.1.1	8301	ENSMUSG00000109113	n.1.1	13059	one_to_one
ENSG00000102245	lincSS.up	ENSMUSG00000031132	lincSS.up	ENSG00000233093	n.1.1	5725	ENSMUSG00000085808	1.1.1	7765	one_to_one
ENSG00000102606	lincSS.up	ENSMUSG00000031511	lincSS.up	ENSG00000225870	1.1.1	11462	ENSMUSG00000031510	1.1.1	5101	one_to_one
ENSG00000151718	lincSS.up	ENSMUSG00000031563	lincSS.up	ENSG00000286821	1.1.1	63157	ENSMUSG00000110624	1.1.1	11286	one_to_one
ENSG00000077782	lincSS.up	ENSMUSG00000031565	lincSS.up	ENSG00000253361;ENSG00000196166	n.1.1;n.1.1	74442;42000	ENSMUSG00000110017	n.1.1	64892	many_to_one
ENSG00000166086	lincSS.up	ENSMUSG00000031990	lincSS.up	ENSG00000255406	n.1.1	38904	ENSMUSG00000110836	1.1.1	44169	one_to_one
ENSG00000112773	lincSS.up	ENSMUSG00000032265	lincSS.up	ENSG00000224995	1.1.1	60512	ENSMUSG00000111663;ENSMUSG00000111840	1.1.1;n.1.1	90687;5004	one_to_many
ENSG00000172175	lincSS.up	ENSMUSG00000032688	lincSS.up	ENSG00000275418	1.1.1	10941	ENSMUSG00000118078	1.1.1	15396	one_to_one
ENSG00000188641	lincSS.up	ENSMUSG00000033308	lincSS.up	ENSG00000288810;ENSG00000285922	1.1.1;1.1.1	52173;57077	ENSMUSG00000097311	n.1.1	32107	many_to_one
ENSG00000156931	lincSS.up	ENSMUSG00000033653	lincSS.up	ENSG00000288576	1.1.1	31423	ENSMUSG00000120420	n.1.1	82947	one_to_one
ENSG00000053254	lincSS.up	ENSMUSG00000033713	lincSS.up	ENSG00000258792	n.1.1	9772	ENSMUSG00000100211	1.1.1	62471	one_to_one
ENSG00000119138	lincSS.up	ENSMUSG00000033863	lincSS.up	ENSG00000289159	1.1.1	5041	ENSMUSG00000044387	1.1.1	5509	one_to_one
ENSG00000143032	lincSS.up	ENSMUSG00000034384	lincSS.up	ENSG00000233593	n.n.n	51784	ENSMUSG00000097018	1.1.1	7634	one_to_one
ENSG00000100302	lincSS.up	ENSMUSG00000034472	lincSS.up	ENSG00000273044	1.1.1	13416	ENSMUSG00000110693	1.1.1	36211	one_to_one
ENSG00000162390	lincSS.up	ENSMUSG00000034853	lincSS.up	ENSG00000287582	1.1.1	24874	ENSMUSG00000086940;ENSMUSG00000120102	1.1.1;n.1.1	36763;34209	one_to_many
ENSG00000100852	lincSS.up	ENSMUSG00000035133	lincSS.up	ENSG00000258386	1.1.1	57429	ENSMUSG00000120607	1.1.1	56101	one_to_one
ENSG00000137124	lincSS.up	ENSMUSG00000035561	lincSS.up	ENSG00000223716	1.1.1	16272	ENSMUSG00000073860;ENSMUSG00000085305	n.1.1;1.1.1	75684;82601	one_to_many
ENSG00000106511	lincSS.up	ENSMUSG00000036144	lincSS.up	ENSG00000286376	1.1.1	49690	ENSMUSG00000114052	1.1.1	19155	one_to_one
ENSG00000134504	lincSS.up	ENSMUSG00000036225	lincSS.up	ENSG00000265369	1.1.1	30220	ENSMUSG00000117404	1.1.1	49666	one_to_one
ENSG00000102189	lincSS.up	ENSMUSG00000036499	lincSS.up	ENSG00000257322	n.1.1	74059	ENSMUSG00000112400;ENSMUSG00000112599	n.1.1;1.1.1	43276;91532	one_to_many
ENSG00000134463	lincSS.up	ENSMUSG00000039063	lincSS.up	ENSG00000271046	1.1.1	61852	ENSMUSG00000087485	1.1.1	42913	one_to_one
ENSG00000187135	lincSS.up	ENSMUSG00000039257	lincSS.up	ENSG00000267574	1.1.1	77614	ENSMUSG00000101643	1.1.1	12543	one_to_one
ENSG00000143507	lincSS.up	ENSMUSG00000039384	lincSS.up	ENSG00000227925	n.1.1	77753	ENSMUSG00000102743	1.1.1	84072	one_to_one
ENSG00000205929	lincSS.up	ENSMUSG00000039851	lincSS.up	ENSG00000232360	1.1.1	30624	ENSMUSG00000116763	1.1.1	43333	one_to_one
ENSG00000141582	lincSS.up	ENSMUSG00000039989	lincSS.up	ENSG00000262343	1.1.1	8618	ENSMUSG00000086306	1.1.1	20107	one_to_one
ENSG00000140450	lincSS.up	ENSMUSG00000042659	lincSS.up	ENSG00000259870	1.1.1	82317	ENSMUSG00000109407	n.1.1	93858	one_to_one
ENSG00000178602	lincSS.up	ENSMUSG00000044055	lincSS.up	ENSG00000227479;ENSG00000286183	1.1.1;1.1.1	82998;45148	ENSMUSG00000100546	n.1.1	65388	many_to_one
ENSG00000125533	lincSS.up	ENSMUSG00000045493	lincSS.up	ENSG00000125514;ENSG00000231133	n.1.1;n.1.1	27182;83771	ENSMUSG00000074507	1.1.1	41443	many_to_one
ENSG00000187821	lincSS.up	ENSMUSG00000047171	lincSS.up	ENSG00000248517	1.1.1	13304	ENSMUSG00000109612	1.1.1	77435	one_to_one
ENSG00000198912	lincSS.up	ENSMUSG00000047613	lincSS.up	ENSG00000226374	n.1.1	44254	ENSMUSG00000085390	1.1.1	48571	one_to_one
ENSG00000180758	lincSS.up	ENSMUSG00000047875	lincSS.up	ENSG00000289914	1.1.1	33220	ENSMUSG00000086665	1.1.1	29890	one_to_one
ENSG00000143867	lincSS.up	ENSMUSG00000048387	lincSS.up	ENSG00000234597	n.1.1	99597	ENSMUSG00000113913	1.1.1	96346	one_to_one
ENSG00000180530	lincSS.up	ENSMUSG00000048490	lincSS.up	ENSG00000288536	1.1.1	36377	ENSMUSG00000109338	1.1.1	53916	one_to_one
ENSG00000225968	lincSS.up	ENSMUSG00000048988	lincSS.up	ENSG00000231476	1.1.1	44340	ENSMUSG00000105335	1.1.1	5209	one_to_one
ENSG00000179833	lincSS.up	ENSMUSG00000049800	lincSS.up	ENSG00000234572;ENSG00000288986	1.1.1;1.1.1	95125;14458	ENSMUSG00000121213	1.1.1	89152	many_to_one
ENSG00000164512	lincSS.up	ENSMUSG00000049985	lincSS.up	ENSG00000249697	1.1.1	80575	ENSMUSG00000120592	1.1.1	98911	one_to_one
ENSG00000187824	lincSS.up	ENSMUSG00000050270	lincSS.up	ENSG00000264016	n.n.n	11234	ENSMUSG00000085926	1.1.1	13529	one_to_one
ENSG00000178175	lincSS.up	ENSMUSG00000050919	lincSS.up	ENSG00000248371	n.1.1	66710	ENSMUSG00000097848	n.1.1	77042	one_to_one
ENSG00000177606	lincSS.up	ENSMUSG00000052684	lincSS.up	ENSG00000232453;ENSG00000272226;ENSG00000231740	n.1.1;1.1.1;1.1.1	98820;28760;54400	ENSMUSG00000085377	1.1.1	36861	many_to_one
ENSG00000111605	lincSS.up	ENSMUSG00000055531	lincSS.up	ENSG00000258140	n.1.1	15327	ENSMUSG00000112344;ENSMUSG00000112796	1.1.1;n.1.1	66000;20701	one_to_many
ENSG00000253958	lincSS.up	ENSMUSG00000055976	lincSS.up	ENSG00000286910;ENSG00000289622	1.1.1;n.1.1	32533;45951	ENSMUSG00000109761	1.1.1	37526	many_to_one
ENSG00000164916	lincSS.up	ENSMUSG00000056493	lincSS.up	ENSG00000286874	1.1.1	39725	ENSMUSG00000120342	1.1.1	32808	one_to_one
ENSG00000124177	lincSS.up	ENSMUSG00000057133	lincSS.up	ENSG00000288843	n.1.1	31871	ENSMUSG00000085469	1.1.1	97614	one_to_one
ENSG00000196460	lincSS.up	ENSMUSG00000057173	lincSS.up	ENSG00000286101	1.1.1	76480	ENSMUSG00000091937	1.1.1	83151	one_to_one
ENSG00000100095	lincSS.up	ENSMUSG00000058153	lincSS.up	ENSG00000236464	1.1.1	5159	ENSMUSG00000097962	n.1.1	5751	one_to_one
ENSG00000137267	lincSS.up	ENSMUSG00000058672	lincSS.up	ENSG00000230269	n.1.1	25082	ENSMUSG00000113591	1.1.1	6148	one_to_one
ENSG00000171476	lincSS.up	ENSMUSG00000059325	lincSS.up	ENSG00000288944	1.1.1	19646	ENSMUSG00000106783	n.1.1	20823	one_to_one
ENSG00000125952	lincSS.up	ENSMUSG00000059436	lincSS.up	ENSG00000255002	n.1.1	94559	ENSMUSG00000112030	1.1.1	77396	one_to_one
ENSG00000185666	lincSS.up	ENSMUSG00000059602	lincSS.up	ENSG00000228622	1.1.1	47002	ENSMUSG00000112586	1.1.1	27403	one_to_one
ENSG00000157637	lincSS.up	ENSMUSG00000061306	lincSS.up	ENSG00000287431;ENSG00000185332;ENSG00000185168	1.1.1;n.1.1;n.1.1	43636;15723;8224	ENSMUSG00000075389	n.1.1	34054	many_to_one
ENSG00000157168	lincSS.up	ENSMUSG00000062991	lincSS.up	ENSG00000287204	1.1.1	92487	ENSMUSG00000110214	1.1.1	88034	one_to_one
ENSG00000156395	lincSS.up	ENSMUSG00000063434	lincSS.up	ENSG00000237761	n.1.1	16495	ENSMUSG00000117690	1.1.1	69943	one_to_one
ENSG00000175161	lincSS.up	ENSMUSG00000064115	lincSS.up	ENSG00000287273;ENSG00000242339	1.1.1;n.1.1	11928;65610	ENSMUSG00000116575	1.1.1	80765	many_to_one
