PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	PCG.Homo_sapiens	conf.Homo_sapiens	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	orthology_type.Canis_lupus_familiaris-Homo_sapiens
ENSCAFG00845018138	lincSS.dw	ENSG00000121871	lincSS.dw	ENSCAFG00845018092	1.1.1	10958	ENSG00000239205	1.1.1	28658	one_to_one
ENSCAFG00845016789	lincSS.dw	ENSG00000122482	lincSS.dw	ENSCAFG00845016890	1.1.1	14487	ENSG00000272094	1.1.1	52378	one_to_one
ENSCAFG00845005439	lincSS.dw	ENSG00000123700	lincSS.dw	ENSCAFG00845005450	1.1.1	19046	ENSG00000289371	1.1.1	11199	one_to_one
ENSCAFG00845004370	lincSS.dw	ENSG00000125378	lincSS.dw	ENSCAFG00845004358;ENSCAFG00845004350	1.1.1;1.1.1	48089;58095	ENSG00000235269	1.1.1	98854	many_to_one
ENSCAFG00845019195	lincSS.dw	ENSG00000128607	lincSS.dw	ENSCAFG00845019142	1.1.1	6635	ENSG00000229196	n.1.1	6002	one_to_one
ENSCAFG00845010727	lincSS.dw	ENSG00000130638	lincSS.dw	ENSCAFG00845010686	1.1.1	10093	ENSG00000279954	1.1.1	30625	one_to_one
ENSCAFG00845004280	lincSS.dw	ENSG00000131143	lincSS.dw	ENSCAFG00845004265	1.1.1	18411	ENSG00000286510	1.1.1	39241	one_to_one
ENSCAFG00845011785	lincSS.dw	ENSG00000133627	lincSS.dw	ENSCAFG00845011883;ENSCAFG00845011950	1.1.1;1.1.1	35230;37332	ENSG00000286565	1.1.1	69855	many_to_one
ENSCAFG00845024422	lincSS.dw	ENSG00000134371	lincSS.dw	ENSCAFG00845024312	n.1.1	19480	ENSG00000232077	n.1.1	49930	one_to_one
ENSCAFG00845012475	lincSS.dw	ENSG00000136997	lincSS.dw	ENSCAFG00845012649;ENSCAFG00845012589	1.1.1;n.1.1	47755;45154	ENSG00000249859	n.1.1	51575	many_to_one
ENSCAFG00845016415	lincSS.dw	ENSG00000137834	lincSS.dw	ENSCAFG00845016520	1.1.1	68904	ENSG00000277152	1.1.1	77454	one_to_one
ENSCAFG00845028347	lincSS.dw	ENSG00000143353	lincSS.dw	ENSCAFG00845028380	1.1.1	47581	ENSG00000287676;ENSG00000277007	1.1.1;1.1.1	82117;57909	one_to_many
ENSCAFG00845015743	lincSS.dw	ENSG00000144847	lincSS.dw	ENSCAFG00845015643	1.1.1	11484	ENSG00000243276	n.1.1	89721	one_to_one
ENSCAFG00845014364	lincSS.dw	ENSG00000150471	lincSS.dw	ENSCAFG00845005529	1.1.1	6596	ENSG00000288659	n.1.1	55431	one_to_one
ENSCAFG00845010412	lincSS.dw	ENSG00000150540	lincSS.dw	ENSCAFG00845010450;ENSCAFG00845010463	1.1.1;1.1.1	7434;49013	ENSG00000224231	1.1.1	85514	many_to_one
ENSCAFG00845024108	lincSS.dw	ENSG00000150907	lincSS.dw	ENSCAFG00845024155	1.1.1	35249	ENSG00000215483	n.1.1	19860	one_to_one
ENSCAFG00845004137	lincSS.dw	ENSG00000151025	lincSS.dw	ENSCAFG00845004119	1.1.1	67535	ENSG00000280809	n.1.1	49483	one_to_one
ENSCAFG00845011856	lincSS.dw	ENSG00000151413	lincSS.dw	ENSCAFG00845011990;ENSCAFG00845011974	1.1.1;1.1.1	45565;8333	ENSG00000258474	1.1.1	83629	many_to_one
ENSCAFG00845014187	lincSS.dw	ENSG00000156687	lincSS.dw	ENSCAFG00845014068	n.1.1	25718	ENSG00000253452	n.1.1	65573	one_to_one
ENSCAFG00845027919	lincSS.dw	ENSG00000162814	lincSS.dw	ENSCAFG00845028096	1.1.1	9668	ENSG00000231814	n.1.1	21204	one_to_one
ENSCAFG00845019042	lincSS.dw	ENSG00000164056	lincSS.dw	ENSCAFG00845018950	n.n.n	58017	ENSG00000249125	n.1.1	86482	one_to_one
ENSCAFG00845017782	lincSS.dw	ENSG00000164117	lincSS.dw	ENSCAFG00845017753;ENSCAFG00845017740	1.1.1;1.1.1	7673;39644	ENSG00000248174;ENSG00000250957;ENSG00000251213;ENSG00000289179	n.1.1;1.1.1;1.1.1;1.1.1	16260;82021;67745;22184	many_to_many
ENSCAFG00845022762	lincSS.dw	ENSG00000164654	lincSS.dw	ENSCAFG00845022986	1.1.1	7900	ENSG00000272745	1.1.1	10940	one_to_one
ENSCAFG00845008865	lincSS.dw	ENSG00000165061	lincSS.dw	ENSCAFG00845009050;ENSCAFG00845009060	1.1.1;1.1.1	11816;20567	ENSG00000272479	1.1.1	10432	many_to_one
ENSCAFG00845030859	lincSS.dw	ENSG00000165832	lincSS.dw	ENSCAFG00845030880;ENSCAFG00845030878	1.1.1;1.1.1	16899;6255	ENSG00000236799	1.1.1	16981	many_to_one
ENSCAFG00845017785	lincSS.dw	ENSG00000166265	lincSS.dw	ENSCAFG00845017712	1.1.1	22849	ENSG00000273115	1.1.1	5995	one_to_one
ENSCAFG00845009708	lincSS.dw	ENSG00000167186	lincSS.dw	ENSCAFG00845009770	1.1.1	28671	ENSG00000260430	1.1.1	6736	one_to_one
ENSCAFG00845021328	lincSS.dw	ENSG00000169372	lincSS.dw	ENSCAFG00845021449	n.1.1	16408	ENSG00000271382	1.1.1	50201	one_to_one
ENSCAFG00845004289	lincSS.dw	ENSG00000169515	lincSS.dw	ENSCAFG00845004287	1.1.1	5260	ENSG00000269151	n.n.n	6053	one_to_one
ENSCAFG00845026988	lincSS.dw	ENSG00000170035	lincSS.dw	ENSCAFG00845027092	n.1.1	98363	ENSG00000234663	n.n.n	25347	one_to_one
ENSCAFG00845001189	lincSS.dw	ENSG00000170677	lincSS.dw	ENSCAFG00845001135;ENSCAFG00845001162	n.1.1;n.1.1	77075;19413	ENSG00000266258	n.1.1	5240	many_to_one
ENSCAFG00845013724	lincSS.dw	ENSG00000171045	lincSS.dw	ENSCAFG00845013609	1.1.1	31291	ENSG00000287332	1.1.1	26553	one_to_one
ENSCAFG00845028095	lincSS.dw	ENSG00000171150	lincSS.dw	ENSCAFG00845028153	1.1.1	30688	ENSG00000239332	n.n.n	36452	one_to_one
ENSCAFG00845012691	lincSS.dw	ENSG00000171246	lincSS.dw	ENSCAFG00845012730	1.1.1	10696	ENSG00000260369	1.1.1	12105	one_to_one
ENSCAFG00845028265	lincSS.dw	ENSG00000173212	lincSS.dw	ENSCAFG00845028306	1.1.1	20274	ENSG00000235933	1.1.1	26060	one_to_one
ENSCAFG00845009198	lincSS.dw	ENSG00000176165	lincSS.dw	ENSCAFG00845009249	n.1.1	16895	ENSG00000258038	n.1.1	59604	one_to_one
ENSCAFG00845022195	lincSS.dw	ENSG00000176887	lincSS.dw	ENSCAFG00845022249	1.1.1	5272	ENSG00000236106	n.1.1	24868	one_to_one
ENSCAFG00845026049	lincSS.dw	ENSG00000178695	lincSS.dw	ENSCAFG00845026033	1.1.1	17745	ENSG00000285572	n.1.1	33651	one_to_one
ENSCAFG00845011393	lincSS.dw	ENSG00000179104	lincSS.dw	ENSCAFG00845011476	n.1.1	26853	ENSG00000258338	1.1.1	36720	one_to_one
ENSCAFG00845021019	lincSS.dw	ENSG00000182950	lincSS.dw	ENSCAFG00845021070	n.n.n	27588	ENSG00000260288;ENSG00000291009	n.1.1;1.1.1	10132;47865	one_to_many
ENSCAFG00845020348	lincSS.dw	ENSG00000184571	lincSS.dw	ENSCAFG00845020254	1.1.1	21568	ENSG00000282012	1.1.1	23015	one_to_one
ENSCAFG00845011487	lincSS.dw	ENSG00000196090	lincSS.dw	ENSCAFG00845011168;ENSCAFG00845011159	1.1.1;1.1.1	39576;82356	ENSG00000228959	1.1.1	57274	many_to_one
ENSCAFG00845005305	lincSS.dw	ENSG00000196670	lincSS.dw	ENSCAFG00845005279;ENSCAFG00845005288;ENSCAFG00845005272	1.1.1;1.1.1;1.1.1	34519;25471;40166	ENSG00000286128	n.1.1	11885	many_to_one
ENSCAFG00845008402	lincSS.dw	ENSG00000196814	lincSS.dw	ENSCAFG00845008346	1.1.1	10946	ENSG00000233721;ENSG00000226078	1.1.1;1.1.1	9376;20577	one_to_many
ENSCAFG00845028385	lincSS.dw	ENSG00000198948	lincSS.dw	ENSCAFG00845028348	1.1.1	11550	ENSG00000248319	n.1.1	10644	one_to_one
ENSCAFG00845024249	lincSS.dw	ENSG00000205309	lincSS.dw	ENSCAFG00845024153;ENSCAFG00845024165	1.1.1;1.1.1	29180;10913	ENSG00000290056	1.1.1	44153	many_to_one
ENSCAFG00845014831	lincSS.dw	ENSG00000235568	lincSS.dw	ENSCAFG00845014849	n.1.1	11343	ENSG00000229891	n.1.1	11117	one_to_one
ENSCAFG00845025650	lincSS.dw	ENSG00000243927	lincSS.dw	ENSCAFG00845025720	1.1.1	15352	ENSG00000227456	n.1.1	14690	one_to_one
ENSCAFG00845001754	lincSS.dw	ENSG00000291237	lincSS.dw	ENSCAFG00845001701;ENSCAFG00845001707;ENSCAFG00845001689	1.1.1;1.1.1;1.1.1	33623;25527;62049	ENSG00000286533;ENSG00000237927	1.1.1;1.1.1	6442;79900	many_to_many
ENSCAFG00845000922	lincSS.up	ENSG00000007062	lincSS.up	ENSCAFG00845000781	n.1.1	18958	ENSG00000286280	1.1.1	29855	one_to_one
ENSCAFG00845016962	lincSS.up	ENSG00000009413	lincSS.up	ENSCAFG00845017364	1.1.1	21084	ENSG00000286616	1.1.1	21592	one_to_one
ENSCAFG00845017640	lincSS.up	ENSG00000010810	lincSS.up	ENSCAFG00845018189;ENSCAFG00845018143	1.1.1;1.1.1	16594;6825	ENSG00000227012	n.1.1	26853	many_to_one
ENSCAFG00845019761	lincSS.up	ENSG00000011465	lincSS.up	ENSCAFG00845019994	n.1.1	9627	ENSG00000289605	1.1.1	93024	one_to_one
ENSCAFG00845029718	lincSS.up	ENSG00000019485	lincSS.up	ENSCAFG00845005873	1.1.1	28403	ENSG00000287984	1.1.1	51753	one_to_one
ENSCAFG00845000045	lincSS.up	ENSG00000060069	lincSS.up	ENSCAFG00845000057	1.1.1	37788	ENSG00000267409	1.1.1	67500	one_to_one
ENSCAFG00845007651	lincSS.up	ENSG00000067715	lincSS.up	ENSCAFG00845007585	1.1.1	11679	ENSG00000257948	n.1.1	54998	one_to_one
ENSCAFG00845012045	lincSS.up	ENSG00000100852	lincSS.up	ENSCAFG00845012010	1.1.1	10365	ENSG00000258386	1.1.1	57429	one_to_one
ENSCAFG00845017528	lincSS.up	ENSG00000101187	lincSS.up	ENSCAFG00845017394;ENSCAFG00845017436;ENSCAFG00845017477	1.1.1;1.1.1;1.1.1	46643;16922;6368	ENSG00000289634;ENSG00000174407;ENSG00000229882;ENSG00000264490	1.1.1;n.1.1;1.1.1;1.1.1	38114;71736;6641;64996	many_to_many
ENSCAFG00845017036	lincSS.up	ENSG00000101665	lincSS.up	ENSCAFG00845016960	1.1.1	29850	ENSG00000266905	1.1.1	11986	one_to_one
ENSCAFG00845020208	lincSS.up	ENSG00000102189	lincSS.up	ENSCAFG00845020760	1.1.1	16774	ENSG00000257322	n.1.1	74059	one_to_one
ENSCAFG00845003441	lincSS.up	ENSG00000103479	lincSS.up	ENSCAFG00845003450	1.1.1	6897	ENSG00000262714	1.1.1	44892	one_to_one
ENSCAFG00845010745	lincSS.up	ENSG00000106070	lincSS.up	ENSCAFG00845010887	1.1.1	20860	ENSG00000236046	1.1.1	45901	one_to_one
ENSCAFG00845013780	lincSS.up	ENSG00000111554	lincSS.up	ENSCAFG00845013863	1.1.1	29503	ENSG00000273824	1.1.1	93950	one_to_one
ENSCAFG00845016633	lincSS.up	ENSG00000112242	lincSS.up	ENSCAFG00845016554	1.1.1	55119	ENSG00000286590	1.1.1	68686	one_to_one
ENSCAFG00845004882	lincSS.up	ENSG00000112494	lincSS.up	ENSCAFG00845004902	1.1.1	90976	ENSG00000280707;ENSG00000228648	n.1.1;1.1.1	33652;25253	one_to_many
ENSCAFG00845010033	lincSS.up	ENSG00000114541	lincSS.up	ENSCAFG00845009880;ENSCAFG00845009854	1.1.1;1.1.1	69901;76789	ENSG00000240842	1.1.1	21523	many_to_one
ENSCAFG00845006278	lincSS.up	ENSG00000116882	lincSS.up	ENSCAFG00845006244	1.1.1	25434	ENSG00000232650	n.1.1	12597	one_to_one
ENSCAFG00845015085	lincSS.up	ENSG00000117318	lincSS.up	ENSCAFG00845015067	1.1.1	6933	ENSG00000285802	1.1.1	16935	one_to_one
ENSCAFG00845008994	lincSS.up	ENSG00000118418	lincSS.up	ENSCAFG00845009075;ENSCAFG00845009084	1.1.1;1.1.1	5786;41473	ENSG00000286042	n.1.1	72980	many_to_one
ENSCAFG00845030681	lincSS.up	ENSG00000118971	lincSS.up	ENSCAFG00845030688	1.1.1	7711	ENSG00000289105	1.1.1	60948	one_to_one
ENSCAFG00845029017	lincSS.up	ENSG00000120963	lincSS.up	ENSCAFG00845029043	1.1.1	8991	ENSG00000253679;ENSG00000287479	1.1.1;1.1.1	55348;69232	one_to_many
ENSCAFG00845027134	lincSS.up	ENSG00000125810	lincSS.up	ENSCAFG00845027086;ENSCAFG00845027111;ENSCAFG00845027099	1.1.1;1.1.1;1.1.1	76035;44661;60401	ENSG00000233746	n.1.1	38744	many_to_one
ENSCAFG00845025300	lincSS.up	ENSG00000127955	lincSS.up	ENSCAFG00845025271	1.1.1	8203	ENSG00000287488	1.1.1	93013	one_to_one
ENSCAFG00845013341	lincSS.up	ENSG00000129691	lincSS.up	ENSCAFG00845013455	1.1.1	9513	ENSG00000286677;ENSG00000272128	1.1.1;1.1.1	6205;5562	one_to_many
ENSCAFG00845013721	lincSS.up	ENSG00000130675	lincSS.up	ENSCAFG00845013760	1.1.1	19018	ENSG00000236102	1.1.1	47046	one_to_one
ENSCAFG00845017212	lincSS.up	ENSG00000130700	lincSS.up	ENSCAFG00845017300;ENSCAFG00845017290	1.1.1;1.1.1	35648;23514	ENSG00000260542;ENSG00000174403	1.1.1;n.1.1	37914;68170	many_to_many_strict
ENSCAFG00845000981	lincSS.up	ENSG00000131508	lincSS.up	ENSCAFG00845000967	1.1.1	7311	ENSG00000286403	1.1.1	15057	one_to_one
ENSCAFG00845024946	lincSS.up	ENSG00000133030	lincSS.up	ENSCAFG00845025454	1.1.1	18181	ENSG00000287114	1.1.1	7400	one_to_one
ENSCAFG00845012599	lincSS.up	ENSG00000134504	lincSS.up	ENSCAFG00845012467;ENSCAFG00845012457;ENSCAFG00845012482;ENSCAFG00845012579	1.1.1;1.1.1;1.1.1;1.1.1	69205;83821;41118;23143	ENSG00000265369	1.1.1	30220	many_to_one
ENSCAFG00845009872	lincSS.up	ENSG00000136011	lincSS.up	ENSCAFG00845009782;ENSCAFG00845009800	1.1.1;1.1.1	60461;44066	ENSG00000257762	n.1.1	12835	many_to_one
ENSCAFG00845019258	lincSS.up	ENSG00000136574	lincSS.up	ENSCAFG00845019338	1.1.1	15734	ENSG00000286985	n.1.1	27626	one_to_one
ENSCAFG00845015420	lincSS.up	ENSG00000137166	lincSS.up	ENSCAFG00845015379	1.1.1	10611	ENSG00000226917	n.1.1	26529	one_to_one
ENSCAFG00845030270	lincSS.up	ENSG00000139174	lincSS.up	ENSCAFG00845030257;ENSCAFG00845030262	1.1.1;1.1.1	94063;40483	ENSG00000257510	n.1.1	24866	many_to_one
ENSCAFG00845019341	lincSS.up	ENSG00000139734	lincSS.up	ENSCAFG00845019997	1.1.1	5044	ENSG00000227336	1.1.1	50424	one_to_one
ENSCAFG00845000295	lincSS.up	ENSG00000140519	lincSS.up	ENSCAFG00845000314	1.1.1	23225	ENSG00000259218	n.1.1	17999	one_to_one
ENSCAFG00845004161	lincSS.up	ENSG00000140521	lincSS.up	ENSCAFG00845000235;ENSCAFG00845000244	1.1.1;1.1.1	42527;52404	ENSG00000287717	1.1.1	26296	many_to_one
ENSCAFG00845023673	lincSS.up	ENSG00000142186	lincSS.up	ENSCAFG00845024046;ENSCAFG00845024060	1.1.1;1.1.1	23078;26522	ENSG00000251562;ENSG00000286756	n.1.1;n.1.1	18561;36181	many_to_many_strict
ENSCAFG00845017033	lincSS.up	ENSG00000143032	lincSS.up	ENSCAFG00845016970	n.n.n	38217	ENSG00000233593	n.n.n	51784	one_to_one
ENSCAFG00845009185	lincSS.up	ENSG00000144057	lincSS.up	ENSCAFG00845009160;ENSCAFG00845009065;ENSCAFG00845009167	1.1.1;1.1.1;1.1.1	32128;36970;10528	ENSG00000286218	n.1.1	46631	many_to_one
ENSCAFG00845012014	lincSS.up	ENSG00000145321	lincSS.up	ENSCAFG00845012181	1.1.1	82284	ENSG00000248567	1.1.1	17264	one_to_one
ENSCAFG00845001601	lincSS.up	ENSG00000145730	lincSS.up	ENSCAFG00845001764;ENSCAFG00845001784;ENSCAFG00845001863;ENSCAFG00845001787;ENSCAFG00845001826;ENSCAFG00845001844;ENSCAFG00845001834;ENSCAFG00845001804	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	7525;27993;86863;32271;59229;74377;65672;45459	ENSG00000286338	1.1.1	27383	many_to_one
ENSCAFG00845010369	lincSS.up	ENSG00000148516	lincSS.up	ENSCAFG00845010484;ENSCAFG00845010519;ENSCAFG00845010508;ENSCAFG00845010528;ENSCAFG00845010497	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	23574;69469;55856;96787;41461	ENSG00000272381	n.1.1	56585	many_to_one
ENSCAFG00845018800	lincSS.up	ENSG00000150630	lincSS.up	ENSCAFG00845018706;ENSCAFG00845018756;ENSCAFG00845018769;ENSCAFG00845018780	1.1.1;1.1.1;1.1.1;1.1.1	90486;65442;27502;19829	ENSG00000249458	1.1.1	73692	many_to_one
ENSCAFG00845026437	lincSS.up	ENSG00000153707	lincSS.up	ENSCAFG00845027832;ENSCAFG00845027861;ENSCAFG00845027934;ENSCAFG00845027894;ENSCAFG00845027876;ENSCAFG00845027918	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	11138;33583;94694;64054;46853;71319	ENSG00000232035	1.1.1	18748	many_to_one
ENSCAFG00845005421	lincSS.up	ENSG00000153822	lincSS.up	ENSCAFG00845005407;ENSCAFG00845005413;ENSCAFG00845005399	1.1.1;1.1.1;n.1.1	65457;51959;80617	ENSG00000237560	n.1.1	58584	many_to_one
ENSCAFG00845026635	lincSS.up	ENSG00000157445	lincSS.up	ENSCAFG00845027164	1.1.1	25687	ENSG00000288029	1.1.1	63683	one_to_one
ENSCAFG00845010883	lincSS.up	ENSG00000157637	lincSS.up	ENSCAFG00845010832	1.1.1	33738	ENSG00000287431;ENSG00000185332;ENSG00000185168	1.1.1;n.1.1;n.1.1	43636;15723;8224	one_to_many
ENSCAFG00845025778	lincSS.up	ENSG00000159197	lincSS.up	ENSCAFG00845025769;ENSCAFG00845025747	1.1.1;1.1.1	7050;12248	ENSG00000214955	1.1.1	38972	many_to_one
ENSCAFG00845027623	lincSS.up	ENSG00000159261	lincSS.up	ENSCAFG00845027630	1.1.1	22368	ENSG00000231324	1.1.1	56112	one_to_one
ENSCAFG00845002794	lincSS.up	ENSG00000162618	lincSS.up	ENSCAFG00845002707	1.1.1	56193	ENSG00000282898	1.1.1	41645	one_to_one
ENSCAFG00845028198	lincSS.up	ENSG00000163393	lincSS.up	ENSCAFG00845028158	1.1.1	41910	ENSG00000228127	n.1.1	44897	one_to_one
ENSCAFG00845010679	lincSS.up	ENSG00000164442	lincSS.up	ENSCAFG00845010700	1.1.1	5335	ENSG00000238099	n.1.1	60988	one_to_one
ENSCAFG00845014465	lincSS.up	ENSG00000164506	lincSS.up	ENSCAFG00845013964	1.1.1	87885	ENSG00000196634	1.1.1	23188	one_to_one
ENSCAFG00845028592	lincSS.up	ENSG00000164512	lincSS.up	ENSCAFG00845028636	1.1.1	39745	ENSG00000249697	1.1.1	80575	one_to_one
ENSCAFG00845027576	lincSS.up	ENSG00000168769	lincSS.up	ENSCAFG00845027473	n.1.1	40326	ENSG00000248373	n.1.1	25875	one_to_one
ENSCAFG00845013162	lincSS.up	ENSG00000170485	lincSS.up	ENSCAFG00845016003;ENSCAFG00845016020	1.1.1;1.1.1	11666;27678	ENSG00000286737	1.1.1	72748	many_to_one
ENSCAFG00845008598	lincSS.up	ENSG00000170961	lincSS.up	ENSCAFG00845008636	1.1.1	5433	ENSG00000254209	n.1.1	27494	one_to_one
ENSCAFG00845028771	lincSS.up	ENSG00000171316	lincSS.up	ENSCAFG00845028686	n.1.1	23094	ENSG00000255289	1.1.1	14210	one_to_one
ENSCAFG00845029549	lincSS.up	ENSG00000179361	lincSS.up	ENSCAFG00845029510	1.1.1	11995	ENSG00000261775	1.1.1	24247	one_to_one
ENSCAFG00845012097	lincSS.up	ENSG00000179776	lincSS.up	ENSCAFG00845012148	1.1.1	15327	ENSG00000286928	1.1.1	31484	one_to_one
ENSCAFG00845004496	lincSS.up	ENSG00000182985	lincSS.up	ENSCAFG00845004463;ENSCAFG00845004406;ENSCAFG00845004445;ENSCAFG00845004460	1.1.1;n.1.1;1.1.1;1.1.1	10748;73424;64348;19383	ENSG00000256281	1.1.1	27365	many_to_one
ENSCAFG00845024998	lincSS.up	ENSG00000183023	lincSS.up	ENSCAFG00845025315;ENSCAFG00845025421	1.1.1;1.1.1	10976;75364	ENSG00000287468	1.1.1	9614	many_to_one
ENSCAFG00845013576	lincSS.up	ENSG00000183454	lincSS.up	ENSCAFG00845013541	1.1.1	28177	ENSG00000285543	1.1.1	31856	one_to_one
ENSCAFG00845026412	lincSS.up	ENSG00000184221	lincSS.up	ENSCAFG00845026388	1.1.1	5070	ENSG00000232539	1.1.1	5158	one_to_one
ENSCAFG00845002371	lincSS.up	ENSG00000184371	lincSS.up	ENSCAFG00845002398	1.1.1	32089	ENSG00000228420;ENSG00000261055	1.1.1;1.1.1	38806;12381	one_to_many
ENSCAFG00845003905	lincSS.up	ENSG00000185920	lincSS.up	ENSCAFG00845003835	1.1.1	8811	ENSG00000229345	n.1.1	82381	one_to_one
ENSCAFG00845006844	lincSS.up	ENSG00000186496	lincSS.up	ENSCAFG00845004860	1.1.1	5336	ENSG00000275512	1.1.1	26659	one_to_one
ENSCAFG00845019243	lincSS.up	ENSG00000187634	lincSS.up	ENSCAFG00845019165;ENSCAFG00845019155;ENSCAFG00845019136	1.1.1;1.1.1;1.1.1	5319;17216;28497	ENSG00000228794;ENSG00000241180;ENSG00000272438;ENSG00000288531;ENSG00000230699	n.1.1;1.1.1;1.1.1;n.1.1;1.1.1	64477;8952;7947;55721;8975	many_to_many
ENSCAFG00845022921	lincSS.up	ENSG00000187821	lincSS.up	ENSCAFG00845023011	1.1.1	69451	ENSG00000248517	1.1.1	13304	one_to_one
ENSCAFG00845002881	lincSS.up	ENSG00000187824	lincSS.up	ENSCAFG00845002911	1.1.1	22131	ENSG00000264016	n.n.n	11234	one_to_one
ENSCAFG00845020350	lincSS.up	ENSG00000197329	lincSS.up	ENSCAFG00845020422	1.1.1	52313	ENSG00000230923	n.1.1	40658	one_to_one
ENSCAFG00845006185	lincSS.up	ENSG00000198894	lincSS.up	ENSCAFG00845006096;ENSCAFG00845006141;ENSCAFG00845006121;ENSCAFG00845006110	1.1.1;n.1.1;n.1.1;1.1.1	62337;26816;51105;61009	ENSG00000287004	1.1.1	12149	many_to_one
ENSCAFG00845026309	lincSS.up	ENSG00000205929	lincSS.up	ENSCAFG00845026338	1.1.1	10107	ENSG00000232360	1.1.1	30624	one_to_one
ENSCAFG00845010723	lincSS.up	ENSG00000266074	lincSS.up	ENSCAFG00845010811	1.1.1	16661	ENSG00000263154;ENSG00000274833	1.1.1;1.1.1	21243;7691	one_to_many
ENSCAFG00845025032	lncgConv	ENSG00000005108	lncgConv	ENSCAFG00845025005	1.1.1	734	ENSG00000230333	n.n.n	0	one_to_one
ENSCAFG00845009366	lncgConv	ENSG00000017427	lncgConv	ENSCAFG00845009290	1.1.1	2237	ENSG00000283052;ENSG00000281344	n.n.1;1.1.1	0;0	one_to_many
ENSCAFG00845024620	lncgConv	ENSG00000029153	lncgConv	ENSCAFG00845024548	1.1.1	2386	ENSG00000245311	1.1.1	0	one_to_one
ENSCAFG00845018674	lncgConv	ENSG00000032219	lncgConv	ENSCAFG00845018911	1.1.1	2263	ENSG00000258658	1.1.1	0	one_to_one
ENSCAFG00845002309	lncgConv	ENSG00000070770	lncgConv	ENSCAFG00845002343	1.1.1	1211	ENSG00000260927	n.1.1	0	one_to_one
ENSCAFG00845019379	lncgConv	ENSG00000091732	lncgConv	ENSCAFG00845019635	1.1.1	2129	ENSG00000244036	n.1.1	0	one_to_one
ENSCAFG00845004801	lncgConv	ENSG00000109790	lncgConv	ENSCAFG00845004766	1.1.1	439	ENSG00000249207	n.n.1	0	one_to_one
ENSCAFG00845007185	lncgConv	ENSG00000110075	lncgConv	ENSCAFG00845006895	1.1.1	396	ENSG00000260808	n.n.1	0	one_to_one
ENSCAFG00845002912	lncgConv	ENSG00000113209	lncgConv	ENSCAFG00845002920	1.1.1	3422	ENSG00000280029	n.n.n	0	one_to_one
ENSCAFG00845014238	lncgConv	ENSG00000117602	lncgConv	ENSCAFG00845014174	1.1.1	2488	ENSG00000264443	1.1.1	0	one_to_one
ENSCAFG00845024890	lncgConv	ENSG00000118939	lncgConv	ENSCAFG00845025053	1.1.1	1564	ENSG00000261105	n.1.n	0	one_to_one
ENSCAFG00845027360	lncgConv	ENSG00000121068	lncgConv	ENSCAFG00845027339	1.1.1	1481	ENSG00000267280	n.n.n	0	one_to_one
ENSCAFG00845001755	lncgConv	ENSG00000121931	lncgConv	ENSCAFG00845001767	1.1.1	339	ENSG00000232811	1.1.1	0	one_to_one
ENSCAFG00845015522	lncgConv	ENSG00000124613	lncgConv	ENSCAFG00845015541	1.1.1	891	ENSG00000271755	1.1.1	102	one_to_one
ENSCAFG00845018313	lncgConv	ENSG00000124786	lncgConv	ENSCAFG00845018186	1.1.1	601	ENSG00000285216	1.1.1	0	one_to_one
ENSCAFG00845013634	lncgConv	ENSG00000127334	lncgConv	ENSCAFG00845013660	1.1.1	1781	ENSG00000235872	1.1.1	0	one_to_one
ENSCAFG00845012083	lncgConv	ENSG00000128052	lncgConv	ENSCAFG00845012013	1.1.1	38	ENSG00000250646	1.1.1	0	one_to_one
ENSCAFG00845025407	lncgConv	ENSG00000131061	lncgConv	ENSCAFG00845025537	1.1.1	437	ENSG00000230753	n.1.1	0	one_to_one
ENSCAFG00845003745	lncgConv	ENSG00000134986	lncgConv	ENSCAFG00845003755	1.1.1	4950	ENSG00000246859	n.n.1	0	one_to_one
ENSCAFG00845022666	lncgConv	ENSG00000136478	lncgConv	ENSCAFG00845022560	n.1.1	781	ENSG00000266402	n.1.1	751	one_to_one
ENSCAFG00845001961	lncgConv	ENSG00000137449	lncgConv	ENSCAFG00845001762	n.1.1	3353	ENSG00000249252	n.n.1	0	one_to_one
ENSCAFG00845016504	lncgConv	ENSG00000139946	lncgConv	ENSCAFG00845016551	1.1.1	366	ENSG00000259483	1.1.1	1966	one_to_one
ENSCAFG00845000843	lncgConv	ENSG00000140548	lncgConv	ENSCAFG00845000864	1.1.1	263	ENSG00000259291	n.1.1	0	one_to_one
ENSCAFG00845003872	lncgConv	ENSG00000145777	lncgConv	ENSCAFG00845003869	1.1.1	1130	ENSG00000253613	1.1.1	0	one_to_one
ENSCAFG00845014364	lncgConv	ENSG00000150471	lncgConv	ENSCAFG00845005520	1.1.1	498	ENSG00000248692	n.n.1	0	one_to_one
ENSCAFG00845030375	lncgConv	ENSG00000151067	lncgConv	ENSCAFG00845030545	1.1.1	1368	ENSG00000256150	n.1.n	0	one_to_one
