PCG.Mus_musculus	conf.Mus_musculus	PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	lncRNA.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	orthology_type.Mus_musculus-Canis_lupus_familiaris
ENSMUSG00000045867	lincSS.dw	ENSCAFG00845021328	lincSS.dw	ENSMUSG00000112481;ENSMUSG00000112501	n.1.1;1.1.1	28888;37872	ENSCAFG00845021449	n.1.1	16408	many_to_one
ENSMUSG00000050954	lincSS.dw	ENSCAFG00845021431	lincSS.dw	ENSMUSG00000114695	1.1.1	79135	ENSCAFG00845021384	1.1.1	14459	one_to_one
ENSMUSG00000055963	lincSS.dw	ENSCAFG00845021945	lincSS.dw	ENSMUSG00000086227	1.1.1	92587	ENSCAFG00845021889	1.1.1	79449	one_to_one
ENSMUSG00000005069	lincSS.dw	ENSCAFG00845024224	lincSS.dw	ENSMUSG00000107737	1.1.1	32297	ENSCAFG00845024131	1.1.1	5386	one_to_one
ENSMUSG00000032615	lincSS.dw	ENSCAFG00845024249	lincSS.dw	ENSMUSG00000084766	1.1.1	17406	ENSCAFG00845024153;ENSCAFG00845024165	1.1.1;1.1.1	29180;10913	one_to_many
ENSMUSG00000024135	lincSS.dw	ENSCAFG00845027248	lincSS.dw	ENSMUSG00000117501	n.1.1	56058	ENSCAFG00845027133;ENSCAFG00845027119	1.1.1;1.1.1	28850;96169	one_to_many
ENSMUSG00000044337	lincSS.dw	ENSCAFG00845027671	lincSS.dw	ENSMUSG00000101028	1.1.1	63707	ENSCAFG00845027767;ENSCAFG00845027697	n.1.1;1.1.1	51178;11883	one_to_many
ENSMUSG00000039239	lincSS.dw	ENSCAFG00845028176	lincSS.dw	ENSMUSG00000103690	n.1.1	64111	ENSCAFG00845028269;ENSCAFG00845028245	n.1.1;n.1.1	50291;20053	one_to_many
ENSMUSG00000031647	lincSS.dw	ENSCAFG00845028385	lincSS.dw	ENSMUSG00000109992	1.1.1	42562	ENSCAFG00845028348	1.1.1	11550	one_to_one
ENSMUSG00000067787	lincSS.dw	ENSCAFG00845028425	lincSS.dw	ENSMUSG00000087445	1.1.1	10893	ENSCAFG00845028402	1.1.1	17692	one_to_one
ENSMUSG00000026311	lincSS.dw	ENSCAFG00845030187	lincSS.dw	ENSMUSG00000101705	1.1.1	51817	ENSCAFG00845030248;ENSCAFG00845030241	1.1.1;1.1.1	87330;40730	one_to_many
ENSMUSG00000047434	lincSS.dw	ENSCAFG00845030777	lincSS.dw	ENSMUSG00000116951;ENSMUSG00000116581	n.1.1;n.1.1	84420;19515	ENSCAFG00845030811;ENSCAFG00845030781;ENSCAFG00845030804	1.1.1;1.1.1;1.1.1	98310;13818;35093	many_to_many
ENSMUSG00000025086	lincSS.dw	ENSCAFG00845030859	lincSS.dw	ENSMUSG00000118178;ENSMUSG00000117655	1.1.1;n.1.1	31252;17559	ENSCAFG00845030880;ENSCAFG00845030878	1.1.1;1.1.1	16899;6255	many_to_many_strict
ENSMUSG00000053950	lincSS.up	ENSCAFG00845000021	lincSS.up	ENSMUSG00000118373	1.1.1	6439	ENSCAFG00845000022	1.1.1	13715	one_to_one
ENSMUSG00000024750	lincSS.up	ENSCAFG00845000056	lincSS.up	ENSMUSG00000118090	1.1.1	60305	ENSCAFG00845000051	1.1.1	63482	one_to_one
ENSMUSG00000058881	lincSS.up	ENSCAFG00845000590	lincSS.up	ENSMUSG00000097738	n.1.1	40059	ENSCAFG00845000562	1.1.1	16973	one_to_one
ENSMUSG00000006169	lincSS.up	ENSCAFG00845001528	lincSS.up	ENSMUSG00000086686	1.1.1	10793	ENSCAFG00845001502	n.1.1	83022	one_to_one
ENSMUSG00000050270	lincSS.up	ENSCAFG00845002881	lincSS.up	ENSMUSG00000085926	1.1.1	13529	ENSCAFG00845002911	1.1.1	22131	one_to_one
ENSMUSG00000048285	lincSS.up	ENSCAFG00845003527	lincSS.up	ENSMUSG00000114005	n.1.1	76665	ENSCAFG00845003481	n.1.1	18893	one_to_one
ENSMUSG00000021466	lincSS.up	ENSCAFG00845003905	lincSS.up	ENSMUSG00000113453	n.1.1	47902	ENSCAFG00845003835	1.1.1	8811	one_to_one
ENSMUSG00000011154	lincSS.up	ENSCAFG00845004797	lincSS.up	ENSMUSG00000109248	1.1.1	5542	ENSCAFG00845004813	1.1.1	12055	one_to_one
ENSMUSG00000005371	lincSS.up	ENSCAFG00845005550	lincSS.up	ENSMUSG00000097676	1.1.1	80793	ENSCAFG00845005579	1.1.1	6469	one_to_one
ENSMUSG00000027870	lincSS.up	ENSCAFG00845006278	lincSS.up	ENSMUSG00000085121	1.1.1	44410	ENSCAFG00845006244	1.1.1	25434	one_to_one
ENSMUSG00000026735	lincSS.up	ENSCAFG00845006739	lincSS.up	ENSMUSG00000109733	1.1.1	15220	ENSCAFG00845006763	1.1.1	13725	one_to_one
ENSMUSG00000049690	lincSS.up	ENSCAFG00845007269	lincSS.up	ENSMUSG00000101600	n.1.1	41404	ENSCAFG00845007888;ENSCAFG00845007872	1.1.1;1.1.1	77313;42370	one_to_many
ENSMUSG00000038151	lincSS.up	ENSCAFG00845007842	lincSS.up	ENSMUSG00000111116;ENSMUSG00000111463	1.1.1;1.1.1	69388;52016	ENSCAFG00845007810	1.1.1	85210	many_to_one
ENSMUSG00000040850	lincSS.up	ENSCAFG00845008342	lincSS.up	ENSMUSG00000087474	1.1.1	15579	ENSCAFG00845009021;ENSCAFG00845009026;ENSCAFG00845009013;ENSCAFG00845009031	1.1.1;1.1.1;1.1.1;1.1.1	16847;30855;7010;34980	one_to_many
ENSMUSG00000038872	lincSS.up	ENSCAFG00845008627	lincSS.up	ENSMUSG00000110625	1.1.1	57633	ENSCAFG00845008701;ENSCAFG00845008709	1.1.1;1.1.1	10228;50375	one_to_many
ENSMUSG00000025929	lincSS.up	ENSCAFG00845008776	lincSS.up	ENSMUSG00000099906	n.1.1	46607	ENSCAFG00845008716	n.1.1	47993	one_to_one
ENSMUSG00000066456	lincSS.up	ENSCAFG00845008994	lincSS.up	ENSMUSG00000098747	n.1.1	93787	ENSCAFG00845009075;ENSCAFG00845009084	1.1.1;1.1.1	5786;41473	one_to_many
ENSMUSG00000063446	lincSS.up	ENSCAFG00845009012	lincSS.up	ENSMUSG00000084787	1.1.1	96036	ENSCAFG00845008991	1.1.1	23736	one_to_one
ENSMUSG00000032036	lincSS.up	ENSCAFG00845009016	lincSS.up	ENSMUSG00000110925	1.1.1	8838	ENSCAFG00845008967	1.1.1	21961	one_to_one
ENSMUSG00000020123	lincSS.up	ENSCAFG00845009998	lincSS.up	ENSMUSG00000112774	n.1.1	13466	ENSCAFG00845010028;ENSCAFG00845010040	1.1.1;n.1.1	49690;65104	one_to_many
ENSMUSG00000029822	lincSS.up	ENSCAFG00845010396	lincSS.up	ENSMUSG00000121037	n.1.1	43348	ENSCAFG00845010698	1.1.1	16303	one_to_one
ENSMUSG00000021709	lincSS.up	ENSCAFG00845010758	lincSS.up	ENSMUSG00000114276	1.1.1	25414	ENSCAFG00845010488;ENSCAFG00845010460;ENSCAFG00845010467;ENSCAFG00845010522	1.1.1;1.1.1;1.1.1;1.1.1	16069;35766;30493;8864	one_to_many
ENSMUSG00000061306	lincSS.up	ENSCAFG00845010883	lincSS.up	ENSMUSG00000075389	n.1.1	34054	ENSCAFG00845010832	1.1.1	33738	one_to_one
ENSMUSG00000022332	lincSS.up	ENSCAFG00845011046	lincSS.up	ENSMUSG00000069996	n.1.1	44844	ENSCAFG00845010957	n.1.1	27780	one_to_one
ENSMUSG00000033960	lincSS.up	ENSCAFG00845011470	lincSS.up	ENSMUSG00000117521	1.1.1	18814	ENSCAFG00845011525;ENSCAFG00845011508;ENSCAFG00845011489	1.1.1;1.1.1;1.1.1	21217;18237;12468	one_to_many
ENSMUSG00000035133	lincSS.up	ENSCAFG00845012045	lincSS.up	ENSMUSG00000120607	1.1.1	56101	ENSCAFG00845012010	1.1.1	10365	one_to_one
ENSMUSG00000038733	lincSS.up	ENSCAFG00845012382	lincSS.up	ENSMUSG00000120933;ENSMUSG00000121026	n.1.1;1.1.1	42236;21418	ENSCAFG00845012320;ENSCAFG00845012331	1.1.1;1.1.1	47501;13527	many_to_many_strict
ENSMUSG00000036225	lincSS.up	ENSCAFG00845012599	lincSS.up	ENSMUSG00000117404	1.1.1	49666	ENSCAFG00845012467;ENSCAFG00845012457;ENSCAFG00845012482;ENSCAFG00845012579	1.1.1;1.1.1;1.1.1;1.1.1	69205;83821;41118;23143	one_to_many
ENSMUSG00000029111	lincSS.up	ENSCAFG00845012841	lincSS.up	ENSMUSG00000106688	1.1.1	11167	ENSCAFG00845012817	1.1.1	8638	one_to_one
ENSMUSG00000020212	lincSS.up	ENSCAFG00845013780	lincSS.up	ENSMUSG00000112470	1.1.1	17717	ENSCAFG00845013863	1.1.1	29503	one_to_one
ENSMUSG00000030279	lincSS.up	ENSCAFG00845013960	lincSS.up	ENSMUSG00000108094	1.1.1	9073	ENSCAFG00845013844	1.1.1	10230	one_to_one
ENSMUSG00000039683	lincSS.up	ENSCAFG00845014480	lincSS.up	ENSMUSG00000120072	n.1.1	81398	ENSCAFG00845014957	1.1.1	35113	one_to_one
ENSMUSG00000022587	lincSS.up	ENSCAFG00845014604	lincSS.up	ENSMUSG00000116380	1.1.1	18735	ENSCAFG00845014572	n.1.1	10992	one_to_one
ENSMUSG00000020823	lincSS.up	ENSCAFG00845015759	lincSS.up	ENSMUSG00000086859;ENSMUSG00000085104	n.1.1;1.1.1	36204;54900	ENSCAFG00845015826;ENSCAFG00845015799	1.1.1;1.1.1	61720;32035	many_to_many_strict
ENSMUSG00000038069	lincSS.up	ENSCAFG00845016463	lincSS.up	ENSMUSG00000110665;ENSMUSG00000110604	n.1.1;1.1.1	30780;50122	ENSCAFG00845016501	1.1.1	6271	many_to_one
ENSMUSG00000034384	lincSS.up	ENSCAFG00845017033	lincSS.up	ENSMUSG00000097018	1.1.1	7634	ENSCAFG00845016970	n.n.n	38217	one_to_one
ENSMUSG00000015627	lincSS.up	ENSCAFG00845017212	lincSS.up	ENSMUSG00000084843	1.1.1	35792	ENSCAFG00845017300;ENSCAFG00845017290	1.1.1;1.1.1	35648;23514	one_to_many
ENSMUSG00000044646	lincSS.up	ENSCAFG00845017703	lincSS.up	ENSMUSG00000097302	1.1.1	37875	ENSCAFG00845017643;ENSCAFG00845017654	1.1.1;n.1.1	45209;10566	one_to_many
ENSMUSG00000026012	lincSS.up	ENSCAFG00845018097	lincSS.up	ENSMUSG00000120928	1.1.1	11462	ENSCAFG00845018024	1.1.1	44964	one_to_one
ENSMUSG00000041324	lincSS.up	ENSCAFG00845018632	lincSS.up	ENSMUSG00000114057	1.1.1	77170	ENSCAFG00845018566	1.1.1	22914	one_to_one
ENSMUSG00000032009	lincSS.up	ENSCAFG00845018942	lincSS.up	ENSMUSG00000111803	1.1.1	56884	ENSCAFG00845018902	1.1.1	28374	one_to_one
ENSMUSG00000059005	lincSS.up	ENSCAFG00845019864	lincSS.up	ENSMUSG00000121212	n.1.1	24484	ENSCAFG00845019631;ENSCAFG00845019779	1.1.1;1.1.1	97293;70184	one_to_many
ENSMUSG00000036499	lincSS.up	ENSCAFG00845020208	lincSS.up	ENSMUSG00000112400;ENSMUSG00000112599	n.1.1;1.1.1	43276;91532	ENSCAFG00845020760	1.1.1	16774	many_to_one
ENSMUSG00000006800	lincSS.up	ENSCAFG00845022596	lincSS.up	ENSMUSG00000085046;ENSMUSG00000085618	1.1.1;1.1.1	51567;34130	ENSCAFG00845022844	1.1.1	27808	many_to_one
ENSMUSG00000047171	lincSS.up	ENSCAFG00845022921	lincSS.up	ENSMUSG00000109612	1.1.1	77435	ENSCAFG00845023011	1.1.1	69451	one_to_one
ENSMUSG00000024941	lincSS.up	ENSCAFG00845023673	lincSS.up	ENSMUSG00000092341	n.1.1	24270	ENSCAFG00845024046;ENSCAFG00845024060	1.1.1;1.1.1	23078;26522	one_to_many
ENSMUSG00000020019	lincSS.up	ENSCAFG00845023731	lincSS.up	ENSMUSG00000111366	1.1.1	6358	ENSCAFG00845023880;ENSCAFG00845023906	1.1.1;1.1.1	11618;18407	one_to_many
ENSMUSG00000022106	lincSS.up	ENSCAFG00845025268	lincSS.up	ENSMUSG00000120611	1.1.1	15132	ENSCAFG00845025224	1.1.1	5645	one_to_one
ENSMUSG00000039851	lincSS.up	ENSCAFG00845026309	lincSS.up	ENSMUSG00000116763	1.1.1	43333	ENSCAFG00845026338	1.1.1	10107	one_to_one
ENSMUSG00000021991	lincSS.up	ENSCAFG00845026635	lincSS.up	ENSMUSG00000114570;ENSMUSG00000114774	1.1.1;n.1.1	10502;64964	ENSCAFG00845027164	1.1.1	25687	many_to_one
ENSMUSG00000022967	lincSS.up	ENSCAFG00845026778	lincSS.up	ENSMUSG00000084866	n.1.1	15110	ENSCAFG00845026718	1.1.1	11886	one_to_one
ENSMUSG00000028967	lincSS.up	ENSCAFG00845027497	lincSS.up	ENSMUSG00000085097	1.1.1	14344	ENSCAFG00845027520	n.1.1	44268	one_to_one
ENSMUSG00000049985	lincSS.up	ENSCAFG00845028592	lincSS.up	ENSMUSG00000120592	1.1.1	98911	ENSCAFG00845028636	1.1.1	39745	one_to_one
ENSMUSG00000027111	lincSS.up	ENSCAFG00845028626	lincSS.up	ENSMUSG00000064263	n.1.1	14640	ENSCAFG00845028545;ENSCAFG00845028553	1.1.1;1.1.1	36084;6701	one_to_many
ENSMUSG00000051076	lincSS.up	ENSCAFG00845029358	lincSS.up	ENSMUSG00000120363	n.1.1	38967	ENSCAFG00845029454	1.1.1	7179	one_to_one
ENSMUSG00000075028	lincSS.up	ENSCAFG00845029718	lincSS.up	ENSMUSG00000087559	1.1.1	39775	ENSCAFG00845005873	1.1.1	28403	one_to_one
ENSMUSG00000035000	lincSS.up	ENSCAFG00845030056	lincSS.up	ENSMUSG00000087681	1.1.1	24649	ENSCAFG00845030193	1.1.1	6478	one_to_one
ENSMUSG00000045534	lincSS.up	ENSCAFG00845030339	lincSS.up	ENSMUSG00000110390	1.1.1	14457	ENSCAFG00845030349;ENSCAFG00845030360	1.1.1;1.1.1	19446;26415	one_to_many
ENSMUSG00000000184	lincSS.up	ENSCAFG00845030681	lincSS.up	ENSMUSG00000107013	1.1.1	99445	ENSCAFG00845030688	1.1.1	7711	one_to_one
ENSMUSG00000056812	lncgConv	ENSCAFG00845001921	lncgConv	ENSMUSG00000086128	n.n.1	0	ENSCAFG00845001910	1.1.1	781	one_to_one
ENSMUSG00000016494	lncgConv	ENSCAFG00845002498	lncgConv	ENSMUSG00000097325	1.1.1	0	ENSCAFG00845002478	1.1.1	422	one_to_one
ENSMUSG00000024376	lncgConv	ENSCAFG00845003607	lncgConv	ENSMUSG00000087590	n.1.1	330	ENSCAFG00845003724	1.1.1	4296	one_to_one
ENSMUSG00000030610	lncgConv	ENSCAFG00845003631	lncgConv	ENSMUSG00000108603	1.1.1	884	ENSCAFG00845003620	1.1.1	132	one_to_one
ENSMUSG00000038663	lncgConv	ENSCAFG00845003925	lncgConv	ENSMUSG00000097277	n.1.1	1802	ENSCAFG00845003886	1.1.1	1575	one_to_one
ENSMUSG00000021838	lncgConv	ENSCAFG00845004567	lncgConv	ENSMUSG00000072589	n.n.1	0	ENSCAFG00845014683	1.1.1	2040	one_to_one
ENSMUSG00000047412	lncgConv	ENSCAFG00845006412	lncgConv	ENSMUSG00000097701	1.1.1	4732	ENSCAFG00845006429	1.1.1	1338	one_to_one
ENSMUSG00000028911	lncgConv	ENSCAFG00845008307	lncgConv	ENSMUSG00000085667	n.n.n	0	ENSCAFG00845008353	1.1.1	4766	one_to_one
ENSMUSG00000054074	lncgConv	ENSCAFG00845008698	lncgConv	ENSMUSG00000085319	1.1.1	1043	ENSCAFG00845008731	1.1.1	179	one_to_one
ENSMUSG00000048799	lncgConv	ENSCAFG00845008875	lncgConv	ENSMUSG00000118362	n.1.1	0	ENSCAFG00845008813	1.1.1	3340	one_to_one
ENSMUSG00000001419	lncgConv	ENSCAFG00845009027	lncgConv	ENSMUSG00000096935	n.n.1	0	ENSCAFG00845009073	1.1.1	943	one_to_one
ENSMUSG00000028898	lncgConv	ENSCAFG00845009934	lncgConv	ENSMUSG00000086290	n.1.1	312	ENSCAFG00845009830	1.1.1	27	one_to_one
ENSMUSG00000045515	lncgConv	ENSCAFG00845009979	lncgConv	ENSMUSG00000097063	n.1.1	3870	ENSCAFG00845009940	1.1.1	266	one_to_one
ENSMUSG00000021010	lncgConv	ENSCAFG00845012355	lncgConv	ENSMUSG00000099407	1.1.1	0	ENSCAFG00845012553	1.1.1	1024	one_to_one
ENSMUSG00000030283	lncgConv	ENSCAFG00845014219	lncgConv	ENSMUSG00000072683	n.n.1	0	ENSCAFG00845014259	1.1.1	2323	one_to_one
ENSMUSG00000031077	lncgConv	ENSCAFG00845014582	lncgConv	ENSMUSG00000073778	1.1.1	0	ENSCAFG00845014571	1.1.1	2589	one_to_one
ENSMUSG00000047804	lncgConv	ENSCAFG00845016056	lncgConv	ENSMUSG00000098196	1.1.1	3668	ENSCAFG00845016240	1.1.1	2134	one_to_one
ENSMUSG00000056602	lncgConv	ENSCAFG00845016949	lncgConv	ENSMUSG00000106738	n.1.1	1994	ENSCAFG00845015730	1.1.1	1688	one_to_one
ENSMUSG00000057286	lncgConv	ENSCAFG00845016971	lncgConv	ENSMUSG00000020812	n.n.1	0	ENSCAFG00845017031	1.1.1	1464	one_to_one
ENSMUSG00000024335	lncgConv	ENSCAFG00845018726	lncgConv	ENSMUSG00000117772	1.1.1	2200	ENSCAFG00845018903	1.1.1	3207	one_to_one
ENSMUSG00000000823	lncgConv	ENSCAFG00845018997	lncgConv	ENSMUSG00000010492	n.n.n	0	ENSCAFG00845018871	1.1.1	3592	one_to_one
ENSMUSG00000020485	lncgConv	ENSCAFG00845020393	lncgConv	ENSMUSG00000120559	1.1.1	3910	ENSCAFG00845020376	1.1.1	1598	one_to_one
ENSMUSG00000075224	lncgConv	ENSCAFG00845022276	lncgConv	ENSMUSG00000085135	n.n.1	0	ENSCAFG00845022254	1.1.1	562	one_to_one
ENSMUSG00000040548	lncgConv	ENSCAFG00845022666	lncgConv	ENSMUSG00000120012	n.n.1	0	ENSCAFG00845022560	n.1.1	781	one_to_one
ENSMUSG00000038168	lncgConv	ENSCAFG00845023995	lncgConv	ENSMUSG00000090257	1.1.1	0	ENSCAFG00845023933;ENSCAFG00845023910	1.1.1;1.1.1	750;2712	one_to_many
ENSMUSG00000079184	lncgConv	ENSCAFG00845024005	lncgConv	ENSMUSG00000097743	n.1.1	0	ENSCAFG00845023964	1.1.1	4198	one_to_one
ENSMUSG00000032178	lncgConv	ENSCAFG00845024192	lncgConv	ENSMUSG00000097665	1.1.1	0	ENSCAFG00845024033	1.1.1	148	one_to_one
ENSMUSG00000035694	lncgConv	ENSCAFG00845025159	lncgConv	ENSMUSG00000112564	1.1.1	0	ENSCAFG00845025039	1.1.1	479	one_to_one
ENSMUSG00000000093	lncgConv	ENSCAFG00845027360	lncgConv	ENSMUSG00000069785	1.1.1	4842	ENSCAFG00845027339	1.1.1	1481	one_to_one
ENSMUSG00000020564	lncgConv	ENSCAFG00845027389	lncgConv	ENSMUSG00000085664	1.1.1	0	ENSCAFG00845027513	1.1.1	566	one_to_one
ENSMUSG00000022898	lncgConv	ENSCAFG00845028583	lncgConv	ENSMUSG00000116589	1.1.1	0	ENSCAFG00845028522	1.1.1	366	one_to_one
ENSMUSG00000028988	lncgConv	ENSCAFG00845029139	lncgConv	ENSMUSG00000086949	1.1.1	0	ENSCAFG00845029115	1.1.1	256	one_to_one
ENSMUSG00000027978	lncgConv	ENSCAFG00845029625	lncgConv	ENSMUSG00000104960	n.1.1	948	ENSCAFG00845029601	1.1.1	435	one_to_one
ENSMUSG00000033323	lncgDivg	ENSCAFG00845000045	lncgDivg	ENSMUSG00000120406;ENSMUSG00000118070	1.1.1;1.1.1	429;0	ENSCAFG00845000055	1.1.1	631	many_to_one
ENSMUSG00000050840	lncgDivg	ENSCAFG00845000129	lncgDivg	ENSMUSG00000089866	1.1.1	0	ENSCAFG00845000144	1.1.1	1736	one_to_one
ENSMUSG00000024565	lncgDivg	ENSCAFG00845000191	lncgDivg	ENSMUSG00000098720	1.1.1	685	ENSCAFG00845000262	1.1.1	1739	one_to_one
ENSMUSG00000058881	lncgDivg	ENSCAFG00845000590	lncgDivg	ENSMUSG00000118339	n.1.1	0	ENSCAFG00845000571;ENSCAFG00845000566	1.1.1;1.1.1	575;3911	one_to_many
ENSMUSG00000032098	lncgDivg	ENSCAFG00845001261	lncgDivg	ENSMUSG00000110755	n.1.1	967	ENSCAFG00845001229	1.1.1	164	one_to_one
ENSMUSG00000027931	lncgDivg	ENSCAFG00845001483	lncgDivg	ENSMUSG00000087411	1.1.1	0	ENSCAFG00845001682	1.1.1	1228	one_to_one
ENSMUSG00000010175	lncgDivg	ENSCAFG00845001606	lncgDivg	ENSMUSG00000119953;ENSMUSG00000079045;ENSMUSG00000099404	n.n.1;n.1.1;1.1.1	0;0;0	ENSCAFG00845001588	n.1.1	283	many_to_one
ENSMUSG00000056260	lncgDivg	ENSCAFG00845001755	lncgDivg	ENSMUSG00000120716	1.1.1	68	ENSCAFG00845001745	1.1.1	129	one_to_one
ENSMUSG00000005980	lncgDivg	ENSCAFG00845002013	lncgDivg	ENSMUSG00000084790	n.1.1	0	ENSCAFG00845002048	1.1.1	238	one_to_one
ENSMUSG00000024921	lncgDivg	ENSCAFG00845002161	lncgDivg	ENSMUSG00000093628	n.1.1	0	ENSCAFG00845002071	1.1.1	1811	one_to_one
ENSMUSG00000033722	lncgDivg	ENSCAFG00845002551	lncgDivg	ENSMUSG00000120842;ENSMUSG00000103670	1.1.1;1.1.1	138;0	ENSCAFG00845002528	1.1.1	1635	many_to_one
ENSMUSG00000033102	lncgDivg	ENSCAFG00845003296	lncgDivg	ENSMUSG00000097101	n.n.1	0	ENSCAFG00845003214	n.1.1	433	one_to_one
ENSMUSG00000045763	lncgDivg	ENSCAFG00845003311	lncgDivg	ENSMUSG00000115729;ENSMUSG00000056089	n.1.1;n.1.1	1258;392	ENSCAFG00845003316	1.1.1	1192	many_to_one
ENSMUSG00000056608	lncgDivg	ENSCAFG00845003529	lncgDivg	ENSMUSG00000110166	1.1.1	0	ENSCAFG00845003649	1.1.1	2055	one_to_one
ENSMUSG00000049336	lncgDivg	ENSCAFG00845003624	lncgDivg	ENSMUSG00000086375;ENSMUSG00000087245	1.1.1;1.1.1	0;0	ENSCAFG00845004019	1.1.1	2032	many_to_one
ENSMUSG00000043556	lncgDivg	ENSCAFG00845003787	lncgDivg	ENSMUSG00000115433	1.1.1	0	ENSCAFG00845003795	1.1.1	402	one_to_one
ENSMUSG00000021466	lncgDivg	ENSCAFG00845003905	lncgDivg	ENSMUSG00000113459	n.1.1	1453	ENSCAFG00845003833	1.1.1	3509	one_to_one
ENSMUSG00000024085	lncgDivg	ENSCAFG00845004163	lncgDivg	ENSMUSG00000091160	1.1.1	0	ENSCAFG00845000171	n.n.n	903	one_to_one
ENSMUSG00000024268	lncgDivg	ENSCAFG00845004209	lncgDivg	ENSMUSG00000114511;ENSMUSG00000114306;ENSMUSG00000120137	1.1.1;1.1.1;n.1.1	0;0;227	ENSCAFG00845004142	n.1.1	1550	many_to_one
ENSMUSG00000015165	lncgDivg	ENSCAFG00845004919	lncgDivg	ENSMUSG00000109420;ENSMUSG00000121222	1.1.1;1.1.1	0;0	ENSCAFG00845004914	1.1.1	1707	many_to_one
ENSMUSG00000015709	lncgDivg	ENSCAFG00845004996	lncgDivg	ENSMUSG00000109341	1.1.1	0	ENSCAFG00845004944	n.1.1	1526	one_to_one
ENSMUSG00000030629	lncgDivg	ENSCAFG00845005002	lncgDivg	ENSMUSG00000085236	n.n.n	0	ENSCAFG00845005014	1.1.1	4544	one_to_one
ENSMUSG00000019986	lncgDivg	ENSCAFG00845005265	lncgDivg	ENSMUSG00000111227	1.1.1	0	ENSCAFG00845005394	n.1.1	235	one_to_one
ENSMUSG00000033006	lncgDivg	ENSCAFG00845005267	lncgDivg	ENSMUSG00000075555	n.n.n	7480	ENSCAFG00845005255	1.1.1	1473	one_to_one
ENSMUSG00000020032	lncgDivg	ENSCAFG00845005700	lncgDivg	ENSMUSG00000111583	n.1.1	182	ENSCAFG00845005687	1.1.1	786	one_to_one
ENSMUSG00000044468	lncgDivg	ENSCAFG00845005783	lncgDivg	ENSMUSG00000053957	n.1.1	165	ENSCAFG00845029579	n.1.1	258	one_to_one
ENSMUSG00000041408	lncgDivg	ENSCAFG00845006393	lncgDivg	ENSMUSG00000115007	1.1.1	143	ENSCAFG00845006535	1.1.1	2546	one_to_one
ENSMUSG00000033214	lncgDivg	ENSCAFG00845006790	lncgDivg	ENSMUSG00000120285	n.1.1	262	ENSCAFG00845006662	n.1.1	336	one_to_one
ENSMUSG00000008305	lncgDivg	ENSCAFG00845007046	lncgDivg	ENSMUSG00000084910;ENSMUSG00000086027	n.1.1;1.1.1	325;0	ENSCAFG00845006899;ENSCAFG00845006972	n.n.n;1.1.1	1456;78	many_to_many_strict
ENSMUSG00000036644	lncgDivg	ENSCAFG00845007248	lncgDivg	ENSMUSG00000085192	1.1.1	0	ENSCAFG00845007159	1.1.1	2765	one_to_one
ENSMUSG00000020102	lncgDivg	ENSCAFG00845007615	lncgDivg	ENSMUSG00000109803	1.1.1	0	ENSCAFG00845007560	1.1.1	4492	one_to_one
ENSMUSG00000033287	lncgDivg	ENSCAFG00845007741	lncgDivg	ENSMUSG00000115854	1.1.1	4371	ENSCAFG00845007826	1.1.1	261	one_to_one
ENSMUSG00000026766	lncgDivg	ENSCAFG00845007815	lncgDivg	ENSMUSG00000085862	n.1.1	104	ENSCAFG00845007905	1.1.1	138	one_to_one
ENSMUSG00000034522	lncgDivg	ENSCAFG00845008517	lncgDivg	ENSMUSG00000114357	1.1.1	0	ENSCAFG00845008404	1.1.1	2433	one_to_one
ENSMUSG00000032036	lncgDivg	ENSCAFG00845009016	lncgDivg	ENSMUSG00000053889	1.1.1	0	ENSCAFG00845008952	n.1.1	2698	one_to_one
ENSMUSG00000020950	lncgDivg	ENSCAFG00845009198	lncgDivg	ENSMUSG00000112763	n.1.1	775	ENSCAFG00845009182	1.1.1	1865	one_to_one
ENSMUSG00000030269	lncgDivg	ENSCAFG00845009554	lncgDivg	ENSMUSG00000090194	1.1.1	0	ENSCAFG00845009640	1.1.1	222	one_to_one
ENSMUSG00000020315	lncgDivg	ENSCAFG00845009556	lncgDivg	ENSMUSG00000119981;ENSMUSG00000101872;ENSMUSG00000073073	n.1.1;1.1.1;1.1.1	128;0;0	ENSCAFG00845009426	1.1.1	981	many_to_one
ENSMUSG00000034792	lncgDivg	ENSCAFG00845010390	lncgDivg	ENSMUSG00000112350	1.1.1	1186	ENSCAFG00845010438	1.1.1	699	one_to_one
ENSMUSG00000035274	lncgDivg	ENSCAFG00845010452	lncgDivg	ENSMUSG00000056031	n.n.1	0	ENSCAFG00845010409	1.1.1	589	one_to_one
ENSMUSG00000022546	lncgDivg	ENSCAFG00845011384	lncgDivg	ENSMUSG00000120401	1.1.1	0	ENSCAFG00845011361	1.1.1	1658	one_to_one
ENSMUSG00000043670	lncgDivg	ENSCAFG00845011531	lncgDivg	ENSMUSG00000087114	n.1.1	0	ENSCAFG00845011510	1.1.1	2275	one_to_one
ENSMUSG00000035314	lncgDivg	ENSCAFG00845011562	lncgDivg	ENSMUSG00000121235	1.1.1	0	ENSCAFG00845011442	1.1.1	3099	one_to_one
