PCG.Homo_sapiens	conf.Homo_sapiens	PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	orthology_type.Homo_sapiens-Canis_lupus_familiaris
ENSG00000119900	lincSS.dw	ENSCAFG00845010164	lincSS.dw	ENSG00000230597	1.1.1	19883	ENSCAFG00845010257;ENSCAFG00845010245;ENSCAFG00845010224;ENSCAFG00845010279;ENSCAFG00845010265;ENSCAFG00845010213;ENSCAFG00845010228	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	66802;43961;32174;96713;81093;22661;39287	one_to_many
ENSG00000150540	lincSS.dw	ENSCAFG00845010412	lincSS.dw	ENSG00000224231	1.1.1	85514	ENSCAFG00845010450;ENSCAFG00845010463	1.1.1;1.1.1	7434;49013	one_to_many
ENSG00000130638	lincSS.dw	ENSCAFG00845010727	lincSS.dw	ENSG00000279954	1.1.1	30625	ENSCAFG00845010686	1.1.1	10093	one_to_one
ENSG00000179104	lincSS.dw	ENSCAFG00845011393	lincSS.dw	ENSG00000258338	1.1.1	36720	ENSCAFG00845011476	n.1.1	26853	one_to_one
ENSG00000196090	lincSS.dw	ENSCAFG00845011487	lincSS.dw	ENSG00000228959	1.1.1	57274	ENSCAFG00845011168;ENSCAFG00845011159	1.1.1;1.1.1	39576;82356	one_to_many
ENSG00000133627	lincSS.dw	ENSCAFG00845011785	lincSS.dw	ENSG00000286565	1.1.1	69855	ENSCAFG00845011883;ENSCAFG00845011950	1.1.1;1.1.1	35230;37332	one_to_many
ENSG00000151413	lincSS.dw	ENSCAFG00845011856	lincSS.dw	ENSG00000258474	1.1.1	83629	ENSCAFG00845011990;ENSCAFG00845011974	1.1.1;1.1.1	45565;8333	one_to_many
ENSG00000136997	lincSS.dw	ENSCAFG00845012475	lincSS.dw	ENSG00000249859	n.1.1	51575	ENSCAFG00845012649;ENSCAFG00845012589	1.1.1;n.1.1	47755;45154	one_to_many
ENSG00000171246	lincSS.dw	ENSCAFG00845012691	lincSS.dw	ENSG00000260369	1.1.1	12105	ENSCAFG00845012730	1.1.1	10696	one_to_one
ENSG00000075884	lincSS.dw	ENSCAFG00845013638	lincSS.dw	ENSG00000236356	1.1.1	31115	ENSCAFG00845013756	1.1.1	10436	one_to_one
ENSG00000171045	lincSS.dw	ENSCAFG00845013724	lincSS.dw	ENSG00000287332	1.1.1	26553	ENSCAFG00845013609	1.1.1	31291	one_to_one
ENSG00000118492	lincSS.dw	ENSCAFG00845013765	lincSS.dw	ENSG00000227748	n.1.1	39521	ENSCAFG00845013941	n.1.1	59587	one_to_one
ENSG00000113648	lincSS.dw	ENSCAFG00845013920	lincSS.dw	ENSG00000249647	n.1.1	86202	ENSCAFG00845013909	1.1.1	13127	one_to_one
ENSG00000156687	lincSS.dw	ENSCAFG00845014187	lincSS.dw	ENSG00000253452	n.1.1	65573	ENSCAFG00845014068	n.1.1	25718	one_to_one
ENSG00000150471	lincSS.dw	ENSCAFG00845014364	lincSS.dw	ENSG00000288659	n.1.1	55431	ENSCAFG00845005529	1.1.1	6596	one_to_one
ENSG00000235568	lincSS.dw	ENSCAFG00845014831	lincSS.dw	ENSG00000229891	n.1.1	11117	ENSCAFG00845014849	n.1.1	11343	one_to_one
ENSG00000144847	lincSS.dw	ENSCAFG00845015743	lincSS.dw	ENSG00000243276	n.1.1	89721	ENSCAFG00845015643	1.1.1	11484	one_to_one
ENSG00000137834	lincSS.dw	ENSCAFG00845016415	lincSS.dw	ENSG00000277152	1.1.1	77454	ENSCAFG00845016520	1.1.1	68904	one_to_one
ENSG00000122482	lincSS.dw	ENSCAFG00845016789	lincSS.dw	ENSG00000272094	1.1.1	52378	ENSCAFG00845016890	1.1.1	14487	one_to_one
ENSG00000081189	lincSS.dw	ENSCAFG00845017289	lincSS.dw	ENSG00000250377;ENSG00000245526	n.1.1;n.1.1	22076;26060	ENSCAFG00845017914	n.1.1	31504	many_to_one
ENSG00000164117	lincSS.dw	ENSCAFG00845017782	lincSS.dw	ENSG00000248174;ENSG00000250957;ENSG00000251213;ENSG00000289179	n.1.1;1.1.1;1.1.1;1.1.1	16260;82021;67745;22184	ENSCAFG00845017753;ENSCAFG00845017740	1.1.1;1.1.1	7673;39644	many_to_many
ENSG00000166265	lincSS.dw	ENSCAFG00845017785	lincSS.dw	ENSG00000273115	1.1.1	5995	ENSCAFG00845017712	1.1.1	22849	one_to_one
ENSG00000121871	lincSS.dw	ENSCAFG00845018138	lincSS.dw	ENSG00000239205	1.1.1	28658	ENSCAFG00845018092	1.1.1	10958	one_to_one
ENSG00000164056	lincSS.dw	ENSCAFG00845019042	lincSS.dw	ENSG00000249125	n.1.1	86482	ENSCAFG00845018950	n.n.n	58017	one_to_one
ENSG00000128607	lincSS.dw	ENSCAFG00845019195	lincSS.dw	ENSG00000229196	n.1.1	6002	ENSCAFG00845019142	1.1.1	6635	one_to_one
ENSG00000030419	lincSS.dw	ENSCAFG00845019777	lincSS.dw	ENSG00000286965	1.1.1	62171	ENSCAFG00845019690	n.1.1	59389	one_to_one
ENSG00000184571	lincSS.dw	ENSCAFG00845020348	lincSS.dw	ENSG00000282012	1.1.1	23015	ENSCAFG00845020254	1.1.1	21568	one_to_one
ENSG00000119787	lincSS.dw	ENSCAFG00845020596	lincSS.dw	ENSG00000227292	1.1.1	54364	ENSCAFG00845020505	n.n.n	21942	one_to_one
ENSG00000182950	lincSS.dw	ENSCAFG00845021019	lincSS.dw	ENSG00000260288;ENSG00000291009	n.1.1;1.1.1	10132;47865	ENSCAFG00845021070	n.n.n	27588	many_to_one
ENSG00000169372	lincSS.dw	ENSCAFG00845021328	lincSS.dw	ENSG00000271382	1.1.1	50201	ENSCAFG00845021449	n.1.1	16408	one_to_one
ENSG00000102781	lincSS.dw	ENSCAFG00845022093	lincSS.dw	ENSG00000224511;ENSG00000232117	n.1.1;n.1.1	93735;43009	ENSCAFG00845022182	1.1.1	21135	many_to_one
ENSG00000176887	lincSS.dw	ENSCAFG00845022195	lincSS.dw	ENSG00000236106	n.1.1	24868	ENSCAFG00845022249	1.1.1	5272	one_to_one
ENSG00000164654	lincSS.dw	ENSCAFG00845022762	lincSS.dw	ENSG00000272745	1.1.1	10940	ENSCAFG00845022986	1.1.1	7900	one_to_one
ENSG00000150907	lincSS.dw	ENSCAFG00845024108	lincSS.dw	ENSG00000215483	n.1.1	19860	ENSCAFG00845024155	1.1.1	35249	one_to_one
ENSG00000205309	lincSS.dw	ENSCAFG00845024249	lincSS.dw	ENSG00000290056	1.1.1	44153	ENSCAFG00845024153;ENSCAFG00845024165	1.1.1;1.1.1	29180;10913	one_to_many
ENSG00000134371	lincSS.dw	ENSCAFG00845024422	lincSS.dw	ENSG00000232077	n.1.1	49930	ENSCAFG00845024312	n.1.1	19480	one_to_one
ENSG00000243927	lincSS.dw	ENSCAFG00845025650	lincSS.dw	ENSG00000227456	n.1.1	14690	ENSCAFG00845025720	1.1.1	15352	one_to_one
ENSG00000178695	lincSS.dw	ENSCAFG00845026049	lincSS.dw	ENSG00000285572	n.1.1	33651	ENSCAFG00845026033	1.1.1	17745	one_to_one
ENSG00000170035	lincSS.dw	ENSCAFG00845026988	lincSS.dw	ENSG00000234663	n.n.n	25347	ENSCAFG00845027092	n.1.1	98363	one_to_one
ENSG00000068784	lincSS.dw	ENSCAFG00845027248	lincSS.dw	ENSG00000205054	n.1.1	65283	ENSCAFG00845027133;ENSCAFG00845027119	1.1.1;1.1.1	28850;96169	one_to_many
ENSG00000115998	lincSS.dw	ENSCAFG00845027249	lincSS.dw	ENSG00000231327	n.1.1	16962	ENSCAFG00845027211	n.1.1	14290	one_to_one
ENSG00000162814	lincSS.dw	ENSCAFG00845027919	lincSS.dw	ENSG00000231814	n.1.1	21204	ENSCAFG00845028096	1.1.1	9668	one_to_one
ENSG00000171150	lincSS.dw	ENSCAFG00845028095	lincSS.dw	ENSG00000239332	n.n.n	36452	ENSCAFG00845028153	1.1.1	30688	one_to_one
ENSG00000092969	lincSS.dw	ENSCAFG00845028176	lincSS.dw	ENSG00000228208	n.1.1	14646	ENSCAFG00845028269;ENSCAFG00845028245	n.1.1;n.1.1	50291;20053	one_to_many
ENSG00000173212	lincSS.dw	ENSCAFG00845028265	lincSS.dw	ENSG00000235933	1.1.1	26060	ENSCAFG00845028306	1.1.1	20274	one_to_one
ENSG00000143353	lincSS.dw	ENSCAFG00845028347	lincSS.dw	ENSG00000287676;ENSG00000277007	1.1.1;1.1.1	82117;57909	ENSCAFG00845028380	1.1.1	47581	many_to_one
ENSG00000198948	lincSS.dw	ENSCAFG00845028385	lincSS.dw	ENSG00000248319	n.1.1	10644	ENSCAFG00845028348	1.1.1	11550	one_to_one
ENSG00000111452	lincSS.dw	ENSCAFG00845029309	lincSS.dw	ENSG00000204603	n.1.1	23542	ENSCAFG00845029182	1.1.1	49769	one_to_one
ENSG00000091656	lincSS.dw	ENSCAFG00845029408	lincSS.dw	ENSG00000253416	1.1.1	37310	ENSCAFG00845029487	1.1.1	40993	one_to_one
ENSG00000165832	lincSS.dw	ENSCAFG00845030859	lincSS.dw	ENSG00000236799	1.1.1	16981	ENSCAFG00845030880;ENSCAFG00845030878	1.1.1;1.1.1	16899;6255	one_to_many
ENSG00000060069	lincSS.up	ENSCAFG00845000045	lincSS.up	ENSG00000267409	1.1.1	67500	ENSCAFG00845000057	1.1.1	37788	one_to_one
ENSG00000140519	lincSS.up	ENSCAFG00845000295	lincSS.up	ENSG00000259218	n.1.1	17999	ENSCAFG00845000314	1.1.1	23225	one_to_one
ENSG00000007062	lincSS.up	ENSCAFG00845000922	lincSS.up	ENSG00000286280	1.1.1	29855	ENSCAFG00845000781	n.1.1	18958	one_to_one
ENSG00000131508	lincSS.up	ENSCAFG00845000981	lincSS.up	ENSG00000286403	1.1.1	15057	ENSCAFG00845000967	1.1.1	7311	one_to_one
ENSG00000145730	lincSS.up	ENSCAFG00845001601	lincSS.up	ENSG00000286338	1.1.1	27383	ENSCAFG00845001764;ENSCAFG00845001784;ENSCAFG00845001863;ENSCAFG00845001787;ENSCAFG00845001826;ENSCAFG00845001844;ENSCAFG00845001834;ENSCAFG00845001804	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	7525;27993;86863;32271;59229;74377;65672;45459	one_to_many
ENSG00000184371	lincSS.up	ENSCAFG00845002371	lincSS.up	ENSG00000228420;ENSG00000261055	1.1.1;1.1.1	38806;12381	ENSCAFG00845002398	1.1.1	32089	many_to_one
ENSG00000162618	lincSS.up	ENSCAFG00845002794	lincSS.up	ENSG00000282898	1.1.1	41645	ENSCAFG00845002707	1.1.1	56193	one_to_one
ENSG00000187824	lincSS.up	ENSCAFG00845002881	lincSS.up	ENSG00000264016	n.n.n	11234	ENSCAFG00845002911	1.1.1	22131	one_to_one
ENSG00000103479	lincSS.up	ENSCAFG00845003441	lincSS.up	ENSG00000262714	1.1.1	44892	ENSCAFG00845003450	1.1.1	6897	one_to_one
ENSG00000185920	lincSS.up	ENSCAFG00845003905	lincSS.up	ENSG00000229345	n.1.1	82381	ENSCAFG00845003835	1.1.1	8811	one_to_one
ENSG00000140521	lincSS.up	ENSCAFG00845004161	lincSS.up	ENSG00000287717	1.1.1	26296	ENSCAFG00845000235;ENSCAFG00845000244	1.1.1;1.1.1	42527;52404	one_to_many
ENSG00000182985	lincSS.up	ENSCAFG00845004496	lincSS.up	ENSG00000256281	1.1.1	27365	ENSCAFG00845004463;ENSCAFG00845004406;ENSCAFG00845004445;ENSCAFG00845004460	1.1.1;n.1.1;1.1.1;1.1.1	10748;73424;64348;19383	one_to_many
ENSG00000112494	lincSS.up	ENSCAFG00845004882	lincSS.up	ENSG00000280707;ENSG00000228648	n.1.1;1.1.1	33652;25253	ENSCAFG00845004902	1.1.1	90976	many_to_one
ENSG00000153822	lincSS.up	ENSCAFG00845005421	lincSS.up	ENSG00000237560	n.1.1	58584	ENSCAFG00845005407;ENSCAFG00845005413;ENSCAFG00845005399	1.1.1;1.1.1;n.1.1	65457;51959;80617	one_to_many
ENSG00000198894	lincSS.up	ENSCAFG00845006185	lincSS.up	ENSG00000287004	1.1.1	12149	ENSCAFG00845006096;ENSCAFG00845006141;ENSCAFG00845006121;ENSCAFG00845006110	1.1.1;n.1.1;n.1.1;1.1.1	62337;26816;51105;61009	one_to_many
ENSG00000116882	lincSS.up	ENSCAFG00845006278	lincSS.up	ENSG00000232650	n.1.1	12597	ENSCAFG00845006244	1.1.1	25434	one_to_one
ENSG00000186496	lincSS.up	ENSCAFG00845006844	lincSS.up	ENSG00000275512	1.1.1	26659	ENSCAFG00845004860	1.1.1	5336	one_to_one
ENSG00000067715	lincSS.up	ENSCAFG00845007651	lincSS.up	ENSG00000257948	n.1.1	54998	ENSCAFG00845007585	1.1.1	11679	one_to_one
ENSG00000170961	lincSS.up	ENSCAFG00845008598	lincSS.up	ENSG00000254209	n.1.1	27494	ENSCAFG00845008636	1.1.1	5433	one_to_one
ENSG00000118418	lincSS.up	ENSCAFG00845008994	lincSS.up	ENSG00000286042	n.1.1	72980	ENSCAFG00845009075;ENSCAFG00845009084	1.1.1;1.1.1	5786;41473	one_to_many
ENSG00000144057	lincSS.up	ENSCAFG00845009185	lincSS.up	ENSG00000286218	n.1.1	46631	ENSCAFG00845009160;ENSCAFG00845009065;ENSCAFG00845009167	1.1.1;1.1.1;1.1.1	32128;36970;10528	one_to_many
ENSG00000136011	lincSS.up	ENSCAFG00845009872	lincSS.up	ENSG00000257762	n.1.1	12835	ENSCAFG00845009782;ENSCAFG00845009800	1.1.1;1.1.1	60461;44066	one_to_many
ENSG00000114541	lincSS.up	ENSCAFG00845010033	lincSS.up	ENSG00000240842	1.1.1	21523	ENSCAFG00845009880;ENSCAFG00845009854	1.1.1;1.1.1	69901;76789	one_to_many
ENSG00000148516	lincSS.up	ENSCAFG00845010369	lincSS.up	ENSG00000272381	n.1.1	56585	ENSCAFG00845010484;ENSCAFG00845010519;ENSCAFG00845010508;ENSCAFG00845010528;ENSCAFG00845010497	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	23574;69469;55856;96787;41461	one_to_many
ENSG00000164442	lincSS.up	ENSCAFG00845010679	lincSS.up	ENSG00000238099	n.1.1	60988	ENSCAFG00845010700	1.1.1	5335	one_to_one
ENSG00000266074	lincSS.up	ENSCAFG00845010723	lincSS.up	ENSG00000263154;ENSG00000274833	1.1.1;1.1.1	21243;7691	ENSCAFG00845010811	1.1.1	16661	many_to_one
ENSG00000106070	lincSS.up	ENSCAFG00845010745	lincSS.up	ENSG00000236046	1.1.1	45901	ENSCAFG00845010887	1.1.1	20860	one_to_one
ENSG00000157637	lincSS.up	ENSCAFG00845010883	lincSS.up	ENSG00000287431;ENSG00000185332;ENSG00000185168	1.1.1;n.1.1;n.1.1	43636;15723;8224	ENSCAFG00845010832	1.1.1	33738	many_to_one
ENSG00000145321	lincSS.up	ENSCAFG00845012014	lincSS.up	ENSG00000248567	1.1.1	17264	ENSCAFG00845012181	1.1.1	82284	one_to_one
ENSG00000100852	lincSS.up	ENSCAFG00845012045	lincSS.up	ENSG00000258386	1.1.1	57429	ENSCAFG00845012010	1.1.1	10365	one_to_one
ENSG00000179776	lincSS.up	ENSCAFG00845012097	lincSS.up	ENSG00000286928	1.1.1	31484	ENSCAFG00845012148	1.1.1	15327	one_to_one
ENSG00000134504	lincSS.up	ENSCAFG00845012599	lincSS.up	ENSG00000265369	1.1.1	30220	ENSCAFG00845012467;ENSCAFG00845012457;ENSCAFG00845012482;ENSCAFG00845012579	1.1.1;1.1.1;1.1.1;1.1.1	69205;83821;41118;23143	one_to_many
ENSG00000170485	lincSS.up	ENSCAFG00845013162	lincSS.up	ENSG00000286737	1.1.1	72748	ENSCAFG00845016003;ENSCAFG00845016020	1.1.1;1.1.1	11666;27678	one_to_many
ENSG00000129691	lincSS.up	ENSCAFG00845013341	lincSS.up	ENSG00000286677;ENSG00000272128	1.1.1;1.1.1	6205;5562	ENSCAFG00845013455	1.1.1	9513	many_to_one
ENSG00000183454	lincSS.up	ENSCAFG00845013576	lincSS.up	ENSG00000285543	1.1.1	31856	ENSCAFG00845013541	1.1.1	28177	one_to_one
ENSG00000130675	lincSS.up	ENSCAFG00845013721	lincSS.up	ENSG00000236102	1.1.1	47046	ENSCAFG00845013760	1.1.1	19018	one_to_one
ENSG00000111554	lincSS.up	ENSCAFG00845013780	lincSS.up	ENSG00000273824	1.1.1	93950	ENSCAFG00845013863	1.1.1	29503	one_to_one
ENSG00000164506	lincSS.up	ENSCAFG00845014465	lincSS.up	ENSG00000196634	1.1.1	23188	ENSCAFG00845013964	1.1.1	87885	one_to_one
ENSG00000117318	lincSS.up	ENSCAFG00845015085	lincSS.up	ENSG00000285802	1.1.1	16935	ENSCAFG00845015067	1.1.1	6933	one_to_one
ENSG00000137166	lincSS.up	ENSCAFG00845015420	lincSS.up	ENSG00000226917	n.1.1	26529	ENSCAFG00845015379	1.1.1	10611	one_to_one
ENSG00000112242	lincSS.up	ENSCAFG00845016633	lincSS.up	ENSG00000286590	1.1.1	68686	ENSCAFG00845016554	1.1.1	55119	one_to_one
ENSG00000009413	lincSS.up	ENSCAFG00845016962	lincSS.up	ENSG00000286616	1.1.1	21592	ENSCAFG00845017364	1.1.1	21084	one_to_one
ENSG00000143032	lincSS.up	ENSCAFG00845017033	lincSS.up	ENSG00000233593	n.n.n	51784	ENSCAFG00845016970	n.n.n	38217	one_to_one
ENSG00000101665	lincSS.up	ENSCAFG00845017036	lincSS.up	ENSG00000266905	1.1.1	11986	ENSCAFG00845016960	1.1.1	29850	one_to_one
ENSG00000130700	lincSS.up	ENSCAFG00845017212	lincSS.up	ENSG00000260542;ENSG00000174403	1.1.1;n.1.1	37914;68170	ENSCAFG00845017300;ENSCAFG00845017290	1.1.1;1.1.1	35648;23514	many_to_many_strict
ENSG00000101187	lincSS.up	ENSCAFG00845017528	lincSS.up	ENSG00000289634;ENSG00000174407;ENSG00000264490;ENSG00000229882	1.1.1;n.1.1;1.1.1;1.1.1	38114;71736;64996;6641	ENSCAFG00845017394;ENSCAFG00845017436;ENSCAFG00845017477	1.1.1;1.1.1;1.1.1	46643;16922;6368	many_to_many
ENSG00000010810	lincSS.up	ENSCAFG00845017640	lincSS.up	ENSG00000227012	n.1.1	26853	ENSCAFG00845018189;ENSCAFG00845018143	1.1.1;1.1.1	16594;6825	one_to_many
ENSG00000150630	lincSS.up	ENSCAFG00845018800	lincSS.up	ENSG00000249458	1.1.1	73692	ENSCAFG00845018706;ENSCAFG00845018756;ENSCAFG00845018769;ENSCAFG00845018780	1.1.1;1.1.1;1.1.1;1.1.1	90486;65442;27502;19829	one_to_many
ENSG00000187634	lincSS.up	ENSCAFG00845019243	lincSS.up	ENSG00000228794;ENSG00000241180;ENSG00000272438;ENSG00000288531;ENSG00000230699	n.1.1;1.1.1;1.1.1;n.1.1;1.1.1	64477;8952;7947;55721;8975	ENSCAFG00845019165;ENSCAFG00845019155;ENSCAFG00845019136	1.1.1;1.1.1;1.1.1	5319;17216;28497	many_to_many
ENSG00000136574	lincSS.up	ENSCAFG00845019258	lincSS.up	ENSG00000286985	n.1.1	27626	ENSCAFG00845019338	1.1.1	15734	one_to_one
ENSG00000139734	lincSS.up	ENSCAFG00845019341	lincSS.up	ENSG00000227336	1.1.1	50424	ENSCAFG00845019997	1.1.1	5044	one_to_one
ENSG00000011465	lincSS.up	ENSCAFG00845019761	lincSS.up	ENSG00000289605	1.1.1	93024	ENSCAFG00845019994	n.1.1	9627	one_to_one
ENSG00000102189	lincSS.up	ENSCAFG00845020208	lincSS.up	ENSG00000257322	n.1.1	74059	ENSCAFG00845020760	1.1.1	16774	one_to_one
ENSG00000197329	lincSS.up	ENSCAFG00845020350	lincSS.up	ENSG00000230923	n.1.1	40658	ENSCAFG00845020422	1.1.1	52313	one_to_one
ENSG00000187821	lincSS.up	ENSCAFG00845022921	lincSS.up	ENSG00000248517	1.1.1	13304	ENSCAFG00845023011	1.1.1	69451	one_to_one
ENSG00000142186	lincSS.up	ENSCAFG00845023673	lincSS.up	ENSG00000251562;ENSG00000286756	n.1.1;n.1.1	18561;36181	ENSCAFG00845024046;ENSCAFG00845024060	1.1.1;1.1.1	23078;26522	many_to_many_strict
ENSG00000133030	lincSS.up	ENSCAFG00845024946	lincSS.up	ENSG00000287114	1.1.1	7400	ENSCAFG00845025454	1.1.1	18181	one_to_one
ENSG00000183023	lincSS.up	ENSCAFG00845024998	lincSS.up	ENSG00000287468	1.1.1	9614	ENSCAFG00845025421;ENSCAFG00845025315	1.1.1;1.1.1	75364;10976	one_to_many
ENSG00000127955	lincSS.up	ENSCAFG00845025300	lincSS.up	ENSG00000287488	1.1.1	93013	ENSCAFG00845025271	1.1.1	8203	one_to_one
ENSG00000159197	lincSS.up	ENSCAFG00845025778	lincSS.up	ENSG00000214955	1.1.1	38972	ENSCAFG00845025769;ENSCAFG00845025747	1.1.1;1.1.1	7050;12248	one_to_many
ENSG00000205929	lincSS.up	ENSCAFG00845026309	lincSS.up	ENSG00000232360	1.1.1	30624	ENSCAFG00845026338	1.1.1	10107	one_to_one
ENSG00000184221	lincSS.up	ENSCAFG00845026412	lincSS.up	ENSG00000232539	1.1.1	5158	ENSCAFG00845026388	1.1.1	5070	one_to_one
ENSG00000153707	lincSS.up	ENSCAFG00845026437	lincSS.up	ENSG00000232035	1.1.1	18748	ENSCAFG00845027832;ENSCAFG00845027861;ENSCAFG00845027894;ENSCAFG00845027876;ENSCAFG00845027934;ENSCAFG00845027918	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	11138;33583;64054;46853;94694;71319	one_to_many
ENSG00000157445	lincSS.up	ENSCAFG00845026635	lincSS.up	ENSG00000288029	1.1.1	63683	ENSCAFG00845027164	1.1.1	25687	one_to_one
ENSG00000125810	lincSS.up	ENSCAFG00845027134	lincSS.up	ENSG00000233746	n.1.1	38744	ENSCAFG00845027086;ENSCAFG00845027111;ENSCAFG00845027099	1.1.1;1.1.1;1.1.1	76035;44661;60401	one_to_many
ENSG00000168769	lincSS.up	ENSCAFG00845027576	lincSS.up	ENSG00000248373	n.1.1	25875	ENSCAFG00845027473	n.1.1	40326	one_to_one
ENSG00000159261	lincSS.up	ENSCAFG00845027623	lincSS.up	ENSG00000231324	1.1.1	56112	ENSCAFG00845027630	1.1.1	22368	one_to_one
ENSG00000163393	lincSS.up	ENSCAFG00845028198	lincSS.up	ENSG00000228127	n.1.1	44897	ENSCAFG00845028158	1.1.1	41910	one_to_one
ENSG00000164512	lincSS.up	ENSCAFG00845028592	lincSS.up	ENSG00000249697	1.1.1	80575	ENSCAFG00845028636	1.1.1	39745	one_to_one
ENSG00000171316	lincSS.up	ENSCAFG00845028771	lincSS.up	ENSG00000255289	1.1.1	14210	ENSCAFG00845028686	n.1.1	23094	one_to_one
ENSG00000120963	lincSS.up	ENSCAFG00845029017	lincSS.up	ENSG00000253679;ENSG00000287479	1.1.1;1.1.1	55348;69232	ENSCAFG00845029043	1.1.1	8991	many_to_one
ENSG00000179361	lincSS.up	ENSCAFG00845029549	lincSS.up	ENSG00000261775	1.1.1	24247	ENSCAFG00845029510	1.1.1	11995	one_to_one
ENSG00000019485	lincSS.up	ENSCAFG00845029718	lincSS.up	ENSG00000287984	1.1.1	51753	ENSCAFG00845005873	1.1.1	28403	one_to_one
ENSG00000139174	lincSS.up	ENSCAFG00845030270	lincSS.up	ENSG00000257510	n.1.1	24866	ENSCAFG00845030257;ENSCAFG00845030262	1.1.1;1.1.1	94063;40483	one_to_many
ENSG00000118971	lincSS.up	ENSCAFG00845030681	lincSS.up	ENSG00000289105	1.1.1	60948	ENSCAFG00845030688	1.1.1	7711	one_to_one
ENSG00000186020	lncgConv	ENSCAFG00845000113	lncgConv	ENSG00000228629	1.1.1	0	ENSCAFG00845000094	1.1.1	1404	one_to_one
ENSG00000151468	lncgConv	ENSCAFG00845000166	lncgConv	ENSG00000285520	1.1.1	0	ENSCAFG00845000176	1.1.1	1239	one_to_one
ENSG00000152475	lncgConv	ENSCAFG00845000654	lncgConv	ENSG00000269054	n.1.n	0	ENSCAFG00845000661	1.1.1	630	one_to_one
ENSG00000215421	lncgConv	ENSCAFG00845000698	lncgConv	ENSG00000278607	n.1.1	4521	ENSCAFG00845000678	1.1.1	1438	one_to_one
ENSG00000169744	lncgConv	ENSCAFG00845000708	lncgConv	ENSG00000248138	n.n.1	0	ENSCAFG00845000739	1.1.1	2369	one_to_one
ENSG00000140548	lncgConv	ENSCAFG00845000843	lncgConv	ENSG00000259291	n.1.1	0	ENSCAFG00845000864	1.1.1	263	one_to_one
ENSG00000121931	lncgConv	ENSCAFG00845001755	lncgConv	ENSG00000232811	1.1.1	0	ENSCAFG00845001767	1.1.1	339	one_to_one
ENSG00000137449	lncgConv	ENSCAFG00845001961	lncgConv	ENSG00000249252	n.n.1	0	ENSCAFG00845001762	n.1.1	3353	one_to_one
ENSG00000070770	lncgConv	ENSCAFG00845002309	lncgConv	ENSG00000260927	n.1.1	0	ENSCAFG00845002343	1.1.1	1211	one_to_one
ENSG00000158816	lncgConv	ENSCAFG00845002735	lncgConv	ENSG00000236963	n.1.1	1061	ENSCAFG00845002702	1.1.1	21	one_to_one
ENSG00000113209	lncgConv	ENSCAFG00845002912	lncgConv	ENSG00000280029	n.n.n	0	ENSCAFG00845002920	1.1.1	3422	one_to_one
ENSG00000185742	lncgConv	ENSCAFG00845003273	lncgConv	ENSG00000255028	n.1.1	0	ENSCAFG00845003223	1.1.1	36	one_to_one
ENSG00000185669	lncgConv	ENSCAFG00845003473	lncgConv	ENSG00000260630	n.n.n	0	ENSCAFG00845003485	1.1.1	1139	one_to_one
ENSG00000134986	lncgConv	ENSCAFG00845003745	lncgConv	ENSG00000246859	n.n.1	0	ENSCAFG00845003755	1.1.1	4950	one_to_one
ENSG00000145777	lncgConv	ENSCAFG00845003872	lncgConv	ENSG00000253613	1.1.1	0	ENSCAFG00845003869	1.1.1	1130	one_to_one
ENSG00000186628	lncgConv	ENSCAFG00845003925	lncgConv	ENSG00000252690;ENSG00000250988	1.1.1;n.n.1	0;0	ENSCAFG00845003886	1.1.1	1575	many_to_one
ENSG00000109790	lncgConv	ENSCAFG00845004801	lncgConv	ENSG00000249207	n.n.1	0	ENSCAFG00845004766	1.1.1	439	one_to_one
ENSG00000182771	lncgConv	ENSCAFG00845006283	lncgConv	ENSG00000234942	n.1.1	0	ENSCAFG00845006263	1.1.1	538	one_to_one
ENSG00000175497	lncgConv	ENSCAFG00845006344	lncgConv	ENSG00000287451	1.1.1	0	ENSCAFG00845006107	1.1.1	3628	one_to_one
ENSG00000110075	lncgConv	ENSCAFG00845007185	lncgConv	ENSG00000260808	n.n.1	0	ENSCAFG00845006895	1.1.1	396	one_to_one
ENSG00000188227	lncgConv	ENSCAFG00845007558	lncgConv	ENSG00000180458	1.1.1	0	ENSCAFG00845007584	1.1.1	1676	one_to_one
ENSG00000257727	lncgConv	ENSCAFG00845007911	lncgConv	ENSG00000257303	n.1.n	0	ENSCAFG00845007886	1.1.1	2009	one_to_one
ENSG00000164932	lncgConv	ENSCAFG00845008553	lncgConv	ENSG00000266289	1.1.1	89	ENSCAFG00845008574	1.1.1	1750	one_to_one
ENSG00000017427	lncgConv	ENSCAFG00845009366	lncgConv	ENSG00000283052;ENSG00000281344	n.n.1;1.1.1	0;0	ENSCAFG00845009290	1.1.1	2237	many_to_one
