lncRNAid_Mus_musculus	isTable_1_Canis_lupus_familiaris	orthology_type_synteny_Canis_lupus_familiaris	lncRNA_synteny_id_Canis_lupus_familiaris	isTable_2_Canis_lupus_familiaris	orthology_type_configuration_Canis_lupus_familiaris	configuration_type_configuration_Canis_lupus_familiaris	lncRNA_configuration_id_Canis_lupus_familiaris	isTable_3_Canis_lupus_familiaris
ENSMUSG00000099599	1	one_to_many	ENSCAFG00845029133;ENSCAFG00845029142	0	NA	NA	NA	0
ENSMUSG00000121050	1	one_to_one	ENSCAFG00845019771	1	one_to_one	lncgSS.dw	ENSCAFG00845019771	1
ENSMUSG00000120772	1	one_to_many	ENSCAFG00845009253;ENSCAFG00845009260;ENSCAFG00845009276	0	NA	NA	NA	1
ENSMUSG00000098294	1	one_to_one	ENSCAFG00845029006	0	NA	NA	NA	0
ENSMUSG00000111058	1	one_to_one	ENSCAFG00845016520	1	one_to_one	lincSS.dw	ENSCAFG00845016520	1
ENSMUSG00000120943	1	one_to_many	ENSCAFG00845019401;ENSCAFG00845019411;ENSCAFG00845019422;ENSCAFG00845019436;ENSCAFG00845019499	0	NA	NA	NA	1
ENSMUSG00000101648	1	one_to_many	ENSCAFG00845019456;ENSCAFG00845019465;ENSCAFG00845019479;ENSCAFG00845019507	0	NA	NA	NA	1
ENSMUSG00000120190	1	one_to_one	ENSCAFG00845014702	1	one_to_one	lncgDivg	ENSCAFG00845014702	1
ENSMUSG00000093673	1	one_to_one	ENSCAFG00845012720	0	NA	NA	NA	1
ENSMUSG00000084766	1	many_to_many_sameNumber	ENSCAFG00845024153;ENSCAFG00845024165	1	one_to_many	lincSS.dw	ENSCAFG00845024153;ENSCAFG00845024165	1
ENSMUSG00000085551	1	many_to_many_sameNumber	ENSCAFG00845024153;ENSCAFG00845024165	0	NA	NA	NA	0
ENSMUSG00000085260	1	one_to_many	ENSCAFG00845024179;ENSCAFG00845024199	0	NA	NA	NA	1
ENSMUSG00000101872	1	many_to_many_sameNumber	ENSCAFG00845009332;ENSCAFG00845009392;ENSCAFG00845009426	1	many_to_one	lncgDivg	ENSCAFG00845009426	1
ENSMUSG00000073073	1	many_to_many_sameNumber	ENSCAFG00845009332;ENSCAFG00845009392;ENSCAFG00845009426	1	many_to_one	lncgDivg	ENSCAFG00845009426	1
ENSMUSG00000119981	1	many_to_many_sameNumber	ENSCAFG00845009332;ENSCAFG00845009392;ENSCAFG00845009426	1	many_to_one	lncgDivg	ENSCAFG00845009426	1
ENSMUSG00000087474	1	one_to_many	ENSCAFG00845009004;ENSCAFG00845009013;ENSCAFG00845009021;ENSCAFG00845009026;ENSCAFG00845009031;ENSCAFG00845009048;ENSCAFG00845009077	1	one_to_many	lincSS.up	ENSCAFG00845009021;ENSCAFG00845009026;ENSCAFG00845009013;ENSCAFG00845009031	0
ENSMUSG00000119957	1	one_to_many	ENSCAFG00845009043;ENSCAFG00845009063	0	NA	NA	NA	0
ENSMUSG00000085104	1	many_to_many_sameNumber	ENSCAFG00845015799;ENSCAFG00845015826	1	many_to_many_strict	lincSS.up	ENSCAFG00845015826;ENSCAFG00845015799	1
ENSMUSG00000086859	1	many_to_many_sameNumber	ENSCAFG00845015799;ENSCAFG00845015826	1	many_to_many_strict	lincSS.up	ENSCAFG00845015826;ENSCAFG00845015799	1
ENSMUSG00000087057	1	many_to_one	ENSCAFG00845015860	0	NA	NA	NA	1
ENSMUSG00000086902	1	many_to_one	ENSCAFG00845015860	1	one_to_one	lincConv	ENSCAFG00845015860	1
ENSMUSG00000120993	1	many_to_one	ENSCAFG00845015860	0	NA	NA	NA	1
ENSMUSG00000086050	1	many_to_one	ENSCAFG00845015466	0	NA	NA	NA	1
ENSMUSG00000110653	1	many_to_one	ENSCAFG00845015466	0	NA	NA	NA	1
ENSMUSG00000084889	1	one_to_many	ENSCAFG00845001024;ENSCAFG00845001032;ENSCAFG00845001039	1	one_to_one	lincConv	ENSCAFG00845001039	1
ENSMUSG00000085533	1	many_to_one	ENSCAFG00845001020	0	NA	NA	NA	1
ENSMUSG00000086791	1	many_to_one	ENSCAFG00845001020	0	NA	NA	NA	1
ENSMUSG00000086170	1	many_to_one	ENSCAFG00845001020	0	NA	NA	NA	1
ENSMUSG00000087089	1	many_to_one	ENSCAFG00845001502	0	NA	NA	NA	0
ENSMUSG00000086686	1	many_to_one	ENSCAFG00845001502	1	one_to_one	lincSS.up	ENSCAFG00845001502	0
ENSMUSG00000098196	1	one_to_one	ENSCAFG00845016240	1	one_to_one	lncgConv	ENSCAFG00845016240	1
ENSMUSG00000085059	1	one_to_many	ENSCAFG00845014038;ENSCAFG00845014051;ENSCAFG00845014054;ENSCAFG00845014089;ENSCAFG00845014095;ENSCAFG00845014100;ENSCAFG00845014107	0	NA	NA	NA	1
ENSMUSG00000084887	1	one_to_many	ENSCAFG00845014061;ENSCAFG00845014075	0	NA	NA	NA	1
ENSMUSG00000085636	1	many_to_many_DifferentNumber	ENSCAFG00845010811;ENSCAFG00845010820;ENSCAFG00845010842	0	NA	NA	NA	1
ENSMUSG00000120866	1	many_to_many_DifferentNumber	ENSCAFG00845010811;ENSCAFG00845010820;ENSCAFG00845010842	1	one_to_many	lincDivg	ENSCAFG00845010842;ENSCAFG00845010820	1
ENSMUSG00000086750	1	many_to_one	ENSCAFG00845010832	0	NA	NA	NA	1
ENSMUSG00000075389	1	many_to_one	ENSCAFG00845010832	1	one_to_one	lincSS.up	ENSCAFG00845010832	1
ENSMUSG00000043993	1	many_to_one	ENSCAFG00845010832	0	NA	NA	NA	1
ENSMUSG00000084967	1	one_to_one	ENSCAFG00845003019	0	NA	NA	NA	1
ENSMUSG00000085926	1	one_to_one	ENSCAFG00845002911	1	one_to_one	lincSS.up	ENSCAFG00845002911	0
ENSMUSG00000087211	1	one_to_one	ENSCAFG00845029034	0	NA	NA	NA	1
ENSMUSG00000086460	1	many_to_one	ENSCAFG00845005079	0	NA	NA	NA	1
ENSMUSG00000086020	1	many_to_one	ENSCAFG00845005079	0	NA	NA	NA	0
ENSMUSG00000086028	1	one_to_one	ENSCAFG00845005001	1	one_to_one	lincSS.dw	ENSCAFG00845005001	1
ENSMUSG00000084930	1	one_to_one	ENSCAFG00845023898	0	NA	NA	NA	1
ENSMUSG00000084916	1	one_to_one	ENSCAFG00845028199	1	one_to_one	lncgSS.dw	ENSCAFG00845028199	1
ENSMUSG00000086761	1	one_to_many	ENSCAFG00845028462;ENSCAFG00845028477	0	NA	NA	NA	1
ENSMUSG00000085985	1	one_to_many	ENSCAFG00845005399;ENSCAFG00845005407;ENSCAFG00845005413	0	NA	NA	NA	1
ENSMUSG00000085501	1	one_to_one	ENSCAFG00845010677	0	NA	NA	NA	1
ENSMUSG00000120006	1	one_to_one	ENSCAFG00845028861	0	NA	NA	NA	0
ENSMUSG00000120559	1	one_to_one	ENSCAFG00845020376	1	one_to_one	lncgConv	ENSCAFG00845020376	1
ENSMUSG00000120888	1	many_to_one	ENSCAFG00845009975	0	NA	NA	NA	1
ENSMUSG00000078706	1	many_to_one	ENSCAFG00845009975	0	NA	NA	NA	1
ENSMUSG00000120012	1	one_to_one	ENSCAFG00845022560	1	one_to_one	lncgConv	ENSCAFG00845022560	0
ENSMUSG00000121496	1	one_to_one	ENSCAFG00845006696	0	NA	NA	NA	1
ENSMUSG00000020812	1	one_to_one	ENSCAFG00845017031	1	one_to_one	lncgConv	ENSCAFG00845017031	0
ENSMUSG00000120364	1	one_to_one	ENSCAFG00845000583	0	NA	NA	NA	0
ENSMUSG00000110618	1	one_to_one	ENSCAFG00845012962	0	NA	NA	NA	1
ENSMUSG00000097373	1	many_to_one	ENSCAFG00845020833	0	NA	NA	NA	1
ENSMUSG00000114914	1	many_to_one	ENSCAFG00845020833	0	NA	NA	NA	1
ENSMUSG00000114552	1	many_to_one	ENSCAFG00845020833	0	NA	NA	NA	1
ENSMUSG00000114585	1	many_to_one	ENSCAFG00845020833	0	NA	NA	NA	1
ENSMUSG00000085759	1	many_to_one	ENSCAFG00845021056	0	NA	NA	NA	0
ENSMUSG00000099672	1	many_to_one	ENSCAFG00845021056	0	NA	NA	NA	0
ENSMUSG00000100071	1	many_to_one	ENSCAFG00845021056	0	NA	NA	NA	0
ENSMUSG00000113856	1	many_to_one	ENSCAFG00845021056	0	NA	NA	NA	0
ENSMUSG00000114458	1	one_to_one	ENSCAFG00845000465	0	NA	NA	NA	1
ENSMUSG00000114121	1	many_to_one	ENSCAFG00845023137	0	NA	NA	NA	1
ENSMUSG00000110016	1	many_to_one	ENSCAFG00845023137	0	NA	NA	NA	1
ENSMUSG00000100410	1	one_to_one	ENSCAFG00845000396	0	NA	NA	NA	1
ENSMUSG00000114752	1	one_to_one	ENSCAFG00845024895	0	NA	NA	NA	0
ENSMUSG00000086889	1	one_to_many	ENSCAFG00845022149;ENSCAFG00845022168	1	one_to_one	lncgDivg	ENSCAFG00845022149	1
ENSMUSG00000114846	1	one_to_one	ENSCAFG00845011673	0	NA	NA	NA	0
ENSMUSG00000114276	1	many_to_many_DifferentNumber	ENSCAFG00845010460;ENSCAFG00845010467;ENSCAFG00845010488;ENSCAFG00845010522;ENSCAFG00845010529	1	one_to_many	lincSS.up	ENSCAFG00845010488;ENSCAFG00845010460;ENSCAFG00845010467;ENSCAFG00845010522	1
ENSMUSG00000114637	1	many_to_many_DifferentNumber	ENSCAFG00845010460;ENSCAFG00845010467;ENSCAFG00845010488;ENSCAFG00845010522;ENSCAFG00845010529	0	NA	NA	NA	1
ENSMUSG00000113998	1	many_to_one	ENSCAFG00845018135	0	NA	NA	NA	1
ENSMUSG00000113185	1	many_to_one	ENSCAFG00845018135	0	NA	NA	NA	1
ENSMUSG00000114632	1	many_to_many_DifferentNumber	ENSCAFG00845015649;ENSCAFG00845015672;ENSCAFG00845015971	0	NA	NA	NA	0
ENSMUSG00000114639	1	many_to_many_DifferentNumber	ENSCAFG00845015649;ENSCAFG00845015672;ENSCAFG00845015971	0	NA	NA	NA	0
ENSMUSG00000114522	1	many_to_many_DifferentNumber	ENSCAFG00845015649;ENSCAFG00845015672;ENSCAFG00845015971	0	NA	NA	NA	0
ENSMUSG00000114594	1	many_to_many_DifferentNumber	ENSCAFG00845015649;ENSCAFG00845015672;ENSCAFG00845015971	0	NA	NA	NA	0
ENSMUSG00000101416	1	many_to_many_DifferentNumber	ENSCAFG00845015649;ENSCAFG00845015672;ENSCAFG00845015971	0	NA	NA	NA	0
ENSMUSG00000087143	1	many_to_many_DifferentNumber	ENSCAFG00845015649;ENSCAFG00845015672;ENSCAFG00845015971	1	one_to_one	lncgDivg	ENSCAFG00845015649	1
ENSMUSG00000100168	1	one_to_many	ENSCAFG00845015690;ENSCAFG00845015702;ENSCAFG00845015844;ENSCAFG00845015911	0	NA	NA	NA	0
ENSMUSG00000114534	1	many_to_many_DifferentNumber	ENSCAFG00845008075;ENSCAFG00845008100;ENSCAFG00845008115	0	NA	NA	NA	1
ENSMUSG00000114807	1	many_to_many_DifferentNumber	ENSCAFG00845008075;ENSCAFG00845008100;ENSCAFG00845008115	0	NA	NA	NA	1
ENSMUSG00000113759	1	one_to_one	ENSCAFG00845002847	0	NA	NA	NA	1
ENSMUSG00000113259	1	one_to_one	ENSCAFG00845002850	0	NA	NA	NA	1
ENSMUSG00000090358	1	one_to_one	ENSCAFG00845007568	0	NA	NA	NA	1
ENSMUSG00000114270	1	one_to_one	ENSCAFG00845019052	0	NA	NA	NA	1
ENSMUSG00000114647	1	one_to_one	ENSCAFG00845019046	0	NA	NA	NA	1
ENSMUSG00000114461	1	many_to_one	ENSCAFG00845016888	0	NA	NA	NA	0
ENSMUSG00000114372	1	many_to_one	ENSCAFG00845016888	0	NA	NA	NA	0
ENSMUSG00000113757	1	many_to_many_DifferentNumber	ENSCAFG00845003118;ENSCAFG00845003152	1	many_to_many_strict	lincSS.dw	ENSCAFG00845003152;ENSCAFG00845003118	0
ENSMUSG00000113017	1	many_to_many_DifferentNumber	ENSCAFG00845003118;ENSCAFG00845003152	1	many_to_many_strict	lincSS.dw	ENSCAFG00845003152;ENSCAFG00845003118	0
ENSMUSG00000113765	1	many_to_many_DifferentNumber	ENSCAFG00845003118;ENSCAFG00845003152	0	NA	NA	NA	0
ENSMUSG00000101540	1	many_to_many_DifferentNumber	ENSCAFG00845003118;ENSCAFG00845003152	0	NA	NA	NA	0
ENSMUSG00000113054	1	many_to_one	ENSCAFG00845003150	0	NA	NA	NA	0
ENSMUSG00000113483	1	many_to_one	ENSCAFG00845003150	0	NA	NA	NA	0
ENSMUSG00000114097	1	many_to_one	ENSCAFG00845003150	0	NA	NA	NA	0
ENSMUSG00000114370	1	one_to_one	ENSCAFG00845016765	0	NA	NA	NA	1
ENSMUSG00000109853	1	many_to_many_DifferentNumber	ENSCAFG00845029084;ENSCAFG00845029087	0	NA	NA	NA	0
ENSMUSG00000114775	1	many_to_many_DifferentNumber	ENSCAFG00845029084;ENSCAFG00845029087	0	NA	NA	NA	0
ENSMUSG00000114472	1	many_to_many_DifferentNumber	ENSCAFG00845029084;ENSCAFG00845029087	0	NA	NA	NA	0
ENSMUSG00000114307	1	many_to_many_sameNumber	ENSCAFG00845029078;ENSCAFG00845029082	0	NA	NA	NA	0
ENSMUSG00000114824	1	many_to_many_sameNumber	ENSCAFG00845029078;ENSCAFG00845029082	1	one_to_one	lincDivg	ENSCAFG00845029078	0
ENSMUSG00000085204	1	many_to_many_DifferentNumber	ENSCAFG00845028636;ENSCAFG00845028645	0	NA	NA	NA	1
ENSMUSG00000086057	1	many_to_many_DifferentNumber	ENSCAFG00845028636;ENSCAFG00845028645	0	NA	NA	NA	1
ENSMUSG00000086402	1	many_to_many_DifferentNumber	ENSCAFG00845028636;ENSCAFG00845028645	0	NA	NA	NA	1
ENSMUSG00000086092	1	many_to_many_DifferentNumber	ENSCAFG00845028636;ENSCAFG00845028645	0	NA	NA	NA	1
ENSMUSG00000120592	1	many_to_many_DifferentNumber	ENSCAFG00845028636;ENSCAFG00845028645	1	one_to_one	lincSS.up	ENSCAFG00845028636	1
ENSMUSG00000086111	1	many_to_many_DifferentNumber	ENSCAFG00845028636;ENSCAFG00845028645	0	NA	NA	NA	1
ENSMUSG00000114638	1	many_to_many_sameNumber	ENSCAFG00845018004;ENSCAFG00845018018	0	NA	NA	NA	1
ENSMUSG00000114866	1	many_to_many_sameNumber	ENSCAFG00845018004;ENSCAFG00845018018	0	NA	NA	NA	1
ENSMUSG00000114331	1	one_to_one	ENSCAFG00845017983	0	NA	NA	NA	1
ENSMUSG00000100891	1	many_to_many_DifferentNumber	ENSCAFG00845017914;ENSCAFG00845018034;ENSCAFG00845018068	0	NA	NA	NA	1
ENSMUSG00000050334	1	many_to_many_DifferentNumber	ENSCAFG00845017914;ENSCAFG00845018034;ENSCAFG00845018068	1	one_to_one	lincSS.dw	ENSCAFG00845017914	1
ENSMUSG00000097292	1	many_to_many_DifferentNumber	ENSCAFG00845017881;ENSCAFG00845018016;ENSCAFG00845018054	1	one_to_one	lncgDivg	ENSCAFG00845018054	1
ENSMUSG00000097265	1	many_to_many_DifferentNumber	ENSCAFG00845017881;ENSCAFG00845018016;ENSCAFG00845018054	1	one_to_many	lincConv	ENSCAFG00845017881;ENSCAFG00845018016	1
ENSMUSG00000114379	1	many_to_many_DifferentNumber	ENSCAFG00845017881;ENSCAFG00845018016;ENSCAFG00845018054	0	NA	NA	NA	1
ENSMUSG00000098087	1	many_to_many_DifferentNumber	ENSCAFG00845017881;ENSCAFG00845018016;ENSCAFG00845018054	0	NA	NA	NA	1
ENSMUSG00000114541	1	many_to_one	ENSCAFG00845020702	0	NA	NA	NA	0
ENSMUSG00000114204	1	many_to_one	ENSCAFG00845020702	0	NA	NA	NA	0
ENSMUSG00000100096	1	one_to_one	ENSCAFG00845013909	0	NA	NA	NA	0
ENSMUSG00000113598	1	many_to_one	ENSCAFG00845008696	0	NA	NA	NA	0
ENSMUSG00000112934	1	many_to_one	ENSCAFG00845008696	0	NA	NA	NA	0
ENSMUSG00000113904	1	many_to_one	ENSCAFG00845008696	0	NA	NA	NA	0
ENSMUSG00000114014	1	one_to_one	ENSCAFG00845009076	0	NA	NA	NA	1
ENSMUSG00000090033	1	one_to_many	ENSCAFG00845009817;ENSCAFG00845009829;ENSCAFG00845009844;ENSCAFG00845009859	0	NA	NA	NA	1
ENSMUSG00000114808	1	one_to_one	ENSCAFG00845005404	0	NA	NA	NA	1
ENSMUSG00000114384	1	many_to_many_sameNumber	ENSCAFG00845005409;ENSCAFG00845005412	0	NA	NA	NA	1
ENSMUSG00000114231	1	many_to_many_sameNumber	ENSCAFG00845005409;ENSCAFG00845005412	0	NA	NA	NA	1
ENSMUSG00000113410	1	one_to_one	ENSCAFG00845018111	0	NA	NA	NA	0
ENSMUSG00000097806	1	many_to_one	ENSCAFG00845018119	0	NA	NA	NA	0
ENSMUSG00000097684	1	many_to_one	ENSCAFG00845018119	0	NA	NA	NA	0
ENSMUSG00000113338	1	many_to_many_sameNumber	ENSCAFG00845018566;ENSCAFG00845018607	0	NA	NA	NA	1
ENSMUSG00000114057	1	many_to_many_sameNumber	ENSCAFG00845018566;ENSCAFG00845018607	1	one_to_one	lincSS.up	ENSCAFG00845018566	1
ENSMUSG00000113960	1	one_to_one	ENSCAFG00845018557	0	NA	NA	NA	1
ENSMUSG00000113100	1	one_to_one	ENSCAFG00845019583	0	NA	NA	NA	0
ENSMUSG00000113030	1	one_to_one	ENSCAFG00845019577	1	one_to_one	lncgSS.dw	ENSCAFG00845019577	0
ENSMUSG00000113257	1	many_to_one	ENSCAFG00845004943	0	NA	NA	NA	1
ENSMUSG00000113203	1	many_to_one	ENSCAFG00845004943	0	NA	NA	NA	0
ENSMUSG00000089854	1	one_to_many	ENSCAFG00845004078;ENSCAFG00845004093;ENSCAFG00845004116	0	NA	NA	NA	1
ENSMUSG00000090232	1	one_to_many	ENSCAFG00845004085;ENSCAFG00845004102;ENSCAFG00845004104;ENSCAFG00845004120	0	NA	NA	NA	1
ENSMUSG00000120366	1	one_to_one	ENSCAFG00845022121	0	NA	NA	NA	0
ENSMUSG00000086363	1	one_to_many	ENSCAFG00845017101;ENSCAFG00845017123;ENSCAFG00845017130	1	one_to_many	lincDivg	ENSCAFG00845017101;ENSCAFG00845017123	0
ENSMUSG00000097101	1	one_to_one	ENSCAFG00845003214	1	one_to_one	lncgDivg	ENSCAFG00845003214	1
ENSMUSG00000113543	1	one_to_many	ENSCAFG00845000364;ENSCAFG00845000368	1	one_to_one	lincDivg	ENSCAFG00845000368	0
ENSMUSG00000120607	1	one_to_many	ENSCAFG00845011974;ENSCAFG00845011990;ENSCAFG00845012010	1	one_to_one	lincSS.up	ENSCAFG00845012010	1
ENSMUSG00000112139	1	many_to_many_DifferentNumber	ENSCAFG00845011966;ENSCAFG00845011999	0	NA	NA	NA	1
ENSMUSG00000111982	1	many_to_many_DifferentNumber	ENSCAFG00845011966;ENSCAFG00845011999	0	NA	NA	NA	1
ENSMUSG00000112437	1	many_to_many_DifferentNumber	ENSCAFG00845011966;ENSCAFG00845011999	0	NA	NA	NA	1
ENSMUSG00000113179	1	many_to_one	ENSCAFG00845012553	0	NA	NA	NA	1
ENSMUSG00000099407	1	many_to_one	ENSCAFG00845012553	1	one_to_one	lncgConv	ENSCAFG00845012553	1
ENSMUSG00000112549	1	many_to_one	ENSCAFG00845012553	0	NA	NA	NA	0
ENSMUSG00000113165	1	many_to_one	ENSCAFG00845015385	1	one_to_one	lncgDivg	ENSCAFG00845015385	0
ENSMUSG00000120835	1	many_to_one	ENSCAFG00845015385	0	NA	NA	NA	0
ENSMUSG00000113088	1	one_to_one	ENSCAFG00845020332	0	NA	NA	NA	1
ENSMUSG00000114148	1	one_to_one	ENSCAFG00845022797	0	NA	NA	NA	1
ENSMUSG00000113152	1	one_to_one	ENSCAFG00845004055	0	NA	NA	NA	0
ENSMUSG00000120259	1	many_to_many_sameNumber	ENSCAFG00845022239;ENSCAFG00845022263	0	NA	NA	NA	0
ENSMUSG00000113524	1	many_to_many_sameNumber	ENSCAFG00845022239;ENSCAFG00845022263	0	NA	NA	NA	0
ENSMUSG00000113218	1	many_to_many_DifferentNumber	ENSCAFG00845022230;ENSCAFG00845022249	0	NA	NA	NA	0
ENSMUSG00000094002	1	many_to_many_DifferentNumber	ENSCAFG00845022230;ENSCAFG00845022249	0	NA	NA	NA	0
ENSMUSG00000113628	1	many_to_many_DifferentNumber	ENSCAFG00845022230;ENSCAFG00845022249	0	NA	NA	NA	0
ENSMUSG00000113421	1	many_to_one	ENSCAFG00845022159	0	NA	NA	NA	0
ENSMUSG00000113616	1	many_to_one	ENSCAFG00845022159	0	NA	NA	NA	0
ENSMUSG00000113967	1	many_to_one	ENSCAFG00845022159	0	NA	NA	NA	0
ENSMUSG00000120751	1	many_to_one	ENSCAFG00845022159	1	one_to_one	lncgDivg	ENSCAFG00845022159	0
ENSMUSG00000113235	1	many_to_one	ENSCAFG00845022139	0	NA	NA	NA	0
ENSMUSG00000113939	1	many_to_one	ENSCAFG00845022139	0	NA	NA	NA	0
ENSMUSG00000097157	1	many_to_one	ENSCAFG00845008335	0	NA	NA	NA	0
ENSMUSG00000113747	1	many_to_one	ENSCAFG00845008335	1	one_to_one	lincConv	ENSCAFG00845008335	0
ENSMUSG00000113387	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSMUSG00000113986	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSMUSG00000113886	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSMUSG00000120379	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSMUSG00000100674	1	many_to_one	ENSCAFG00845017200	0	NA	NA	NA	1
ENSMUSG00000102098	1	many_to_one	ENSCAFG00845017200	0	NA	NA	NA	1
ENSMUSG00000112865	1	one_to_many	ENSCAFG00845026828;ENSCAFG00845026860;ENSCAFG00845026871;ENSCAFG00845026882	0	NA	NA	NA	0
ENSMUSG00000052125	1	one_to_one	ENSCAFG00845027325	0	NA	NA	NA	1
ENSMUSG00000079143	1	many_to_one	ENSCAFG00845027513	0	NA	NA	NA	1
ENSMUSG00000085664	1	many_to_one	ENSCAFG00845027513	1	one_to_one	lncgConv	ENSCAFG00845027513	0
ENSMUSG00000113944	1	many_to_one	ENSCAFG00845003481	0	NA	NA	NA	0
ENSMUSG00000113302	1	many_to_one	ENSCAFG00845003481	0	NA	NA	NA	0
ENSMUSG00000114159	1	many_to_one	ENSCAFG00845003481	0	NA	NA	NA	0
ENSMUSG00000114005	1	many_to_one	ENSCAFG00845003481	1	one_to_one	lincSS.up	ENSCAFG00845003481	0
ENSMUSG00000112950	1	many_to_one	ENSCAFG00845003490	0	NA	NA	NA	0
ENSMUSG00000113900	1	many_to_one	ENSCAFG00845003490	0	NA	NA	NA	0
ENSMUSG00000113386	1	one_to_many	ENSCAFG00845006549;ENSCAFG00845006556	1	one_to_one	lncgSS.up	ENSCAFG00845006556	0
ENSMUSG00000113278	1	many_to_one	ENSCAFG00845019781	0	NA	NA	NA	0
ENSMUSG00000113630	1	many_to_one	ENSCAFG00845019781	0	NA	NA	NA	0
ENSMUSG00000114028	1	many_to_one	ENSCAFG00845019781	0	NA	NA	NA	0
ENSMUSG00000113441	1	many_to_one	ENSCAFG00845019781	0	NA	NA	NA	0
ENSMUSG00000087109	1	many_to_one	ENSCAFG00845019745	0	NA	NA	NA	0
ENSMUSG00000100668	1	many_to_one	ENSCAFG00845019745	0	NA	NA	NA	0
ENSMUSG00000113064	1	many_to_one	ENSCAFG00845028167	0	NA	NA	NA	0
ENSMUSG00000114052	1	many_to_one	ENSCAFG00845028167	0	NA	NA	NA	0
ENSMUSG00000113764	1	many_to_one	ENSCAFG00845028167	0	NA	NA	NA	1
ENSMUSG00000113507	1	many_to_one	ENSCAFG00845028162	0	NA	NA	NA	0
ENSMUSG00000101067	1	many_to_one	ENSCAFG00845028162	0	NA	NA	NA	0
ENSMUSG00000113608	1	many_to_one	ENSCAFG00845027005	0	NA	NA	NA	1
ENSMUSG00000112967	1	many_to_one	ENSCAFG00845027005	0	NA	NA	NA	1
ENSMUSG00000112857	1	one_to_one	ENSCAFG00845002755	0	NA	NA	NA	0
ENSMUSG00000112150	1	many_to_many_DifferentNumber	ENSCAFG00845002737;ENSCAFG00845002764;ENSCAFG00845002772;ENSCAFG00845002780;ENSCAFG00845002798	0	NA	NA	NA	0
ENSMUSG00000112030	1	many_to_many_DifferentNumber	ENSCAFG00845002737;ENSCAFG00845002764;ENSCAFG00845002772;ENSCAFG00845002780;ENSCAFG00845002798	0	NA	NA	NA	0
ENSMUSG00000112852	1	many_to_one	ENSCAFG00845003907	0	NA	NA	NA	1
ENSMUSG00000112336	1	many_to_one	ENSCAFG00845003907	0	NA	NA	NA	1
ENSMUSG00000112830	1	one_to_many	ENSCAFG00845003900;ENSCAFG00845003911	0	NA	NA	NA	1
ENSMUSG00000112285	1	one_to_one	ENSCAFG00845003952	0	NA	NA	NA	0
ENSMUSG00000112701	1	one_to_one	ENSCAFG00845003993	0	NA	NA	NA	1
ENSMUSG00000097801	1	one_to_one	ENSCAFG00845004000	0	NA	NA	NA	1
ENSMUSG00000113396	1	one_to_one	ENSCAFG00845004242	0	NA	NA	NA	1
ENSMUSG00000113184	1	one_to_one	ENSCAFG00845007782	1	one_to_one	lncgSS.dw	ENSCAFG00845007782	1
ENSMUSG00000113746	1	one_to_one	ENSCAFG00845009087	0	NA	NA	NA	1
ENSMUSG00000111889	1	one_to_one	ENSCAFG00845019808	0	NA	NA	NA	0
ENSMUSG00000112787	1	many_to_many_sameNumber	ENSCAFG00845017521;ENSCAFG00845017529	0	NA	NA	NA	1
ENSMUSG00000111925	1	many_to_many_sameNumber	ENSCAFG00845017521;ENSCAFG00845017529	0	NA	NA	NA	1
ENSMUSG00000121137	1	one_to_one	ENSCAFG00845019665	0	NA	NA	NA	0
ENSMUSG00000120222	1	many_to_one	ENSCAFG00845019688	0	NA	NA	NA	1
ENSMUSG00000120669	1	many_to_one	ENSCAFG00845019688	0	NA	NA	NA	0
ENSMUSG00000114018	1	one_to_many	ENSCAFG00845028003;ENSCAFG00845028027;ENSCAFG00845028042	1	one_to_many	lincConv	ENSCAFG00845028042;ENSCAFG00845028027	1
ENSMUSG00000112388	1	one_to_one	ENSCAFG00845002397	0	NA	NA	NA	1
ENSMUSG00000083193	1	one_to_one	ENSCAFG00845016632	0	NA	NA	NA	1
ENSMUSG00000116409	1	one_to_one	ENSCAFG00845012224	0	NA	NA	NA	0
ENSMUSG00000115076	1	many_to_many_sameNumber	ENSCAFG00845001652;ENSCAFG00845001660	0	NA	NA	NA	0
ENSMUSG00000115585	1	many_to_many_sameNumber	ENSCAFG00845001652;ENSCAFG00845001660	0	NA	NA	NA	0
ENSMUSG00000116294	1	many_to_one	ENSCAFG00845010957	0	NA	NA	NA	0
ENSMUSG00000069996	1	many_to_one	ENSCAFG00845010957	1	one_to_one	lincSS.up	ENSCAFG00845010957	0
ENSMUSG00000115729	1	many_to_many_DifferentNumber	ENSCAFG00845003316;ENSCAFG00845003320;ENSCAFG00845003327;ENSCAFG00845003330	1	many_to_one	lncgDivg	ENSCAFG00845003316	0
ENSMUSG00000056089	1	many_to_many_DifferentNumber	ENSCAFG00845003316;ENSCAFG00845003320;ENSCAFG00845003327;ENSCAFG00845003330	1	many_to_one	lncgDivg	ENSCAFG00845003316	0
ENSMUSG00000115850	1	many_to_many_DifferentNumber	ENSCAFG00845003313;ENSCAFG00845003324;ENSCAFG00845003337	1	one_to_one	lncgSS.up	ENSCAFG00845003313	0
