lncRNAid_Canis_lupus_familiaris	isTable_1_Mus_musculus	orthology_type_synteny_Mus_musculus	lncRNA_synteny_id_Mus_musculus	isTable_2_Mus_musculus	orthology_type_configuration_Mus_musculus	configuration_type_configuration_Mus_musculus	lncRNA_configuration_id_Mus_musculus	isTable_3_Mus_musculus
ENSCAFG00845013706	1	one_to_one	ENSMUSG00000120424	0	NA	NA	NA	1
ENSCAFG00845014363	1	one_to_many	ENSMUSG00000106099;ENSMUSG00000098097	0	NA	NA	NA	0
ENSCAFG00845014957	1	many_to_one	ENSMUSG00000120072	1	one_to_one	lincSS.up	ENSMUSG00000120072	1
ENSCAFG00845015009	1	many_to_one	ENSMUSG00000120072	0	NA	NA	NA	1
ENSCAFG00845015019	1	many_to_one	ENSMUSG00000120072	0	NA	NA	NA	1
ENSCAFG00845015042	1	many_to_one	ENSMUSG00000120072	0	NA	NA	NA	1
ENSCAFG00845015052	1	many_to_one	ENSMUSG00000120072	0	NA	NA	NA	1
ENSCAFG00845015079	1	many_to_one	ENSMUSG00000120072	0	NA	NA	NA	1
ENSCAFG00845015102	1	many_to_one	ENSMUSG00000120072	0	NA	NA	NA	1
ENSCAFG00845015111	1	many_to_one	ENSMUSG00000120072	0	NA	NA	NA	1
ENSCAFG00845015146	1	many_to_one	ENSMUSG00000120072	0	NA	NA	NA	1
ENSCAFG00845015404	1	one_to_one	ENSMUSG00000090030	0	NA	NA	NA	1
ENSCAFG00845015901	1	one_to_one	ENSMUSG00000105057	0	NA	NA	NA	1
ENSCAFG00845019278	1	many_to_many_DifferentNumber	ENSMUSG00000106550;ENSMUSG00000097858;ENSMUSG00000106052;ENSMUSG00000105923;ENSMUSG00000106162;ENSMUSG00000105917;ENSMUSG00000106210;ENSMUSG00000104939;ENSMUSG00000105511;ENSMUSG00000106109;ENSMUSG00000105324;ENSMUSG00000106524;ENSMUSG00000104865;ENSMUSG00000120269;ENSMUSG00000105652	1	many_to_one	lincConv	ENSMUSG00000120269	0
ENSCAFG00845019300	1	many_to_many_DifferentNumber	ENSMUSG00000106550;ENSMUSG00000097858;ENSMUSG00000106052;ENSMUSG00000105923;ENSMUSG00000106162;ENSMUSG00000105917;ENSMUSG00000106210;ENSMUSG00000104939;ENSMUSG00000105511;ENSMUSG00000106109;ENSMUSG00000105324;ENSMUSG00000106524;ENSMUSG00000104865;ENSMUSG00000120269;ENSMUSG00000105652	1	many_to_one	lincConv	ENSMUSG00000120269	0
ENSCAFG00845019287	1	many_to_many_DifferentNumber	ENSMUSG00000105000;ENSMUSG00000105279;ENSMUSG00000105811;ENSMUSG00000106367	1	many_to_one	lincSS.dw	ENSMUSG00000106367	0
ENSCAFG00845019310	1	many_to_many_DifferentNumber	ENSMUSG00000105000;ENSMUSG00000105279;ENSMUSG00000105811;ENSMUSG00000106367	1	many_to_one	lincSS.dw	ENSMUSG00000106367	0
ENSCAFG00845019402	1	one_to_many	ENSMUSG00000104969;ENSMUSG00000120266	0	NA	NA	NA	1
ENSCAFG00845024765	1	one_to_one	ENSMUSG00000117437	0	NA	NA	NA	1
ENSCAFG00845008807	1	many_to_one	ENSMUSG00000118362	0	NA	NA	NA	0
ENSCAFG00845008813	1	many_to_one	ENSMUSG00000118362	1	one_to_one	lncgConv	ENSMUSG00000118362	0
ENSCAFG00845008991	1	one_to_one	ENSMUSG00000084787	1	one_to_one	lincSS.up	ENSMUSG00000084787	0
ENSCAFG00845010728	1	one_to_one	ENSMUSG00000118013	0	NA	NA	NA	1
ENSCAFG00845011248	1	many_to_many_DifferentNumber	ENSMUSG00000084851;ENSMUSG00000120940	0	NA	NA	NA	1
ENSCAFG00845011254	1	many_to_many_DifferentNumber	ENSMUSG00000084851;ENSMUSG00000120940	0	NA	NA	NA	1
ENSCAFG00845011273	1	many_to_many_DifferentNumber	ENSMUSG00000084851;ENSMUSG00000120940	0	NA	NA	NA	1
ENSCAFG00845011278	1	many_to_many_DifferentNumber	ENSMUSG00000084851;ENSMUSG00000120940	0	NA	NA	NA	1
ENSCAFG00845011293	1	one_to_one	ENSMUSG00000085800	0	NA	NA	NA	1
ENSCAFG00845012962	1	one_to_one	ENSMUSG00000110618	0	NA	NA	NA	1
ENSCAFG00845012975	1	one_to_one	ENSMUSG00000097942	0	NA	NA	NA	1
ENSCAFG00845013280	1	one_to_one	ENSMUSG00000086413	0	NA	NA	NA	1
ENSCAFG00845013909	1	one_to_one	ENSMUSG00000100096	0	NA	NA	NA	0
ENSCAFG00845014908	1	many_to_one	ENSMUSG00000084809	0	NA	NA	NA	0
ENSCAFG00845014914	1	many_to_one	ENSMUSG00000084809	0	NA	NA	NA	0
ENSCAFG00845014924	1	many_to_one	ENSMUSG00000084809	0	NA	NA	NA	0
ENSCAFG00845014929	1	many_to_one	ENSMUSG00000084809	0	NA	NA	NA	0
ENSCAFG00845017261	1	many_to_many_DifferentNumber	ENSMUSG00000084833;ENSMUSG00000085931;ENSMUSG00000087128;ENSMUSG00000120651	1	many_to_many_strict	lincSS.dw	ENSMUSG00000087128;ENSMUSG00000085931	0
ENSCAFG00845017276	1	many_to_many_DifferentNumber	ENSMUSG00000084833;ENSMUSG00000085931;ENSMUSG00000087128;ENSMUSG00000120651	1	many_to_many_strict	lincSS.dw	ENSMUSG00000087128;ENSMUSG00000085931	0
ENSCAFG00845018927	1	one_to_one	ENSMUSG00000084828	1	one_to_one	lncgDivg	ENSMUSG00000084828	0
ENSCAFG00845002397	1	one_to_one	ENSMUSG00000112388	0	NA	NA	NA	1
ENSCAFG00845002755	1	one_to_one	ENSMUSG00000112857	0	NA	NA	NA	0
ENSCAFG00845002737	1	many_to_many_DifferentNumber	ENSMUSG00000112150;ENSMUSG00000112030	0	NA	NA	NA	0
ENSCAFG00845002764	1	many_to_many_DifferentNumber	ENSMUSG00000112150;ENSMUSG00000112030	0	NA	NA	NA	0
ENSCAFG00845002772	1	many_to_many_DifferentNumber	ENSMUSG00000112150;ENSMUSG00000112030	0	NA	NA	NA	0
ENSCAFG00845002780	1	many_to_many_DifferentNumber	ENSMUSG00000112150;ENSMUSG00000112030	0	NA	NA	NA	0
ENSCAFG00845002798	1	many_to_many_DifferentNumber	ENSMUSG00000112150;ENSMUSG00000112030	0	NA	NA	NA	0
ENSCAFG00845003481	1	one_to_many	ENSMUSG00000113944;ENSMUSG00000113302;ENSMUSG00000114159;ENSMUSG00000114005	1	one_to_one	lincSS.up	ENSMUSG00000114005	0
ENSCAFG00845003490	1	one_to_many	ENSMUSG00000112950;ENSMUSG00000113900	0	NA	NA	NA	0
ENSCAFG00845003907	1	one_to_many	ENSMUSG00000112852;ENSMUSG00000112336	0	NA	NA	NA	1
ENSCAFG00845003900	1	many_to_one	ENSMUSG00000112830	0	NA	NA	NA	1
ENSCAFG00845003911	1	many_to_one	ENSMUSG00000112830	0	NA	NA	NA	1
ENSCAFG00845003952	1	one_to_one	ENSMUSG00000112285	0	NA	NA	NA	1
ENSCAFG00845003993	1	one_to_one	ENSMUSG00000112701	0	NA	NA	NA	1
ENSCAFG00845004000	1	one_to_one	ENSMUSG00000097801	0	NA	NA	NA	1
ENSCAFG00845004034	1	one_to_many	ENSMUSG00000093452;ENSMUSG00000100162	1	one_to_one	lincConv	ENSMUSG00000093452	1
ENSCAFG00845004055	1	one_to_one	ENSMUSG00000113152	0	NA	NA	NA	1
ENSCAFG00845004242	1	one_to_one	ENSMUSG00000113396	0	NA	NA	NA	1
ENSCAFG00845004355	1	one_to_many	ENSMUSG00000085866;ENSMUSG00000120332;ENSMUSG00000079261	0	NA	NA	NA	1
ENSCAFG00845004350	1	many_to_many_DifferentNumber	ENSMUSG00000086124;ENSMUSG00000115000	0	NA	NA	NA	1
ENSCAFG00845004358	1	many_to_many_DifferentNumber	ENSMUSG00000086124;ENSMUSG00000115000	0	NA	NA	NA	1
ENSCAFG00845004362	1	many_to_many_DifferentNumber	ENSMUSG00000086124;ENSMUSG00000115000	0	NA	NA	NA	1
ENSCAFG00845007782	1	one_to_one	ENSMUSG00000113184	1	one_to_one	lncgSS.dw	ENSMUSG00000113184	1
ENSCAFG00845008335	1	one_to_many	ENSMUSG00000097157;ENSMUSG00000113747	1	one_to_one	lincConv	ENSMUSG00000113747	0
ENSCAFG00845009087	1	one_to_one	ENSMUSG00000113746	0	NA	NA	NA	1
ENSCAFG00845011974	1	many_to_one	ENSMUSG00000120607	0	NA	NA	NA	1
ENSCAFG00845011990	1	many_to_one	ENSMUSG00000120607	0	NA	NA	NA	1
ENSCAFG00845012010	1	many_to_one	ENSMUSG00000120607	1	one_to_one	lincSS.up	ENSMUSG00000120607	1
ENSCAFG00845011966	1	many_to_many_DifferentNumber	ENSMUSG00000112139;ENSMUSG00000111982;ENSMUSG00000112437	0	NA	NA	NA	1
ENSCAFG00845011999	1	many_to_many_DifferentNumber	ENSMUSG00000112139;ENSMUSG00000111982;ENSMUSG00000112437	0	NA	NA	NA	1
ENSCAFG00845012553	1	one_to_many	ENSMUSG00000113179;ENSMUSG00000099407;ENSMUSG00000112549	1	one_to_one	lncgConv	ENSMUSG00000099407	1
ENSCAFG00845014675	1	one_to_one	ENSMUSG00000089870	1	one_to_one	lncgSS.dw	ENSMUSG00000089870	1
ENSCAFG00845014683	1	one_to_many	ENSMUSG00000115410;ENSMUSG00000072589	1	one_to_one	lncgConv	ENSMUSG00000072589	1
ENSCAFG00845015385	1	one_to_many	ENSMUSG00000113165;ENSMUSG00000120835	1	one_to_one	lncgDivg	ENSMUSG00000113165	0
ENSCAFG00845016551	1	many_to_one	ENSMUSG00000114991	0	NA	NA	NA	1
ENSCAFG00845016617	1	many_to_one	ENSMUSG00000114991	0	NA	NA	NA	1
ENSCAFG00845016631	1	many_to_one	ENSMUSG00000114991	0	NA	NA	NA	1
ENSCAFG00845016698	1	many_to_one	ENSMUSG00000114991	0	NA	NA	NA	1
ENSCAFG00845016632	1	one_to_one	ENSMUSG00000083193	0	NA	NA	NA	1
ENSCAFG00845016966	1	one_to_many	ENSMUSG00000115756;ENSMUSG00000115725;ENSMUSG00000115636;ENSMUSG00000115376;ENSMUSG00000115669	1	one_to_one	lncgSS.dw	ENSMUSG00000115756	0
ENSCAFG00845019781	1	one_to_many	ENSMUSG00000113278;ENSMUSG00000113630;ENSMUSG00000114028;ENSMUSG00000113441	0	NA	NA	NA	0
ENSCAFG00845019745	1	one_to_many	ENSMUSG00000087109;ENSMUSG00000100668	0	NA	NA	NA	0
ENSCAFG00845020332	1	one_to_one	ENSMUSG00000113088	0	NA	NA	NA	1
ENSCAFG00845006928	1	one_to_many	ENSMUSG00000117084;ENSMUSG00000066170	0	NA	NA	NA	0
ENSCAFG00845007810	1	one_to_many	ENSMUSG00000111463;ENSMUSG00000111116;ENSMUSG00000111494;ENSMUSG00000111868;ENSMUSG00000110898	1	one_to_many	lincSS.up	ENSMUSG00000111116;ENSMUSG00000111463	1
ENSCAFG00845007796	1	one_to_many	ENSMUSG00000111034;ENSMUSG00000111362;ENSMUSG00000110893;ENSMUSG00000110891;ENSMUSG00000111535	1	one_to_one	lincDivg	ENSMUSG00000111535	1
ENSCAFG00845007903	1	one_to_one	ENSMUSG00000111078	0	NA	NA	NA	1
ENSCAFG00845008142	1	one_to_many	ENSMUSG00000086774;ENSMUSG00000120487	1	one_to_one	lincDivg	ENSMUSG00000120487	0
ENSCAFG00845008716	1	one_to_many	ENSMUSG00000089914;ENSMUSG00000099906	1	one_to_one	lincSS.up	ENSMUSG00000099906	1
ENSCAFG00845009075	1	many_to_one	ENSMUSG00000098747	1	many_to_one	lincSS.up	ENSMUSG00000098747	1
ENSCAFG00845009084	1	many_to_one	ENSMUSG00000098747	1	many_to_one	lincSS.up	ENSMUSG00000098747	1
ENSCAFG00845009089	1	many_to_one	ENSMUSG00000098747	0	NA	NA	NA	1
ENSCAFG00845009103	1	many_to_one	ENSMUSG00000098747	0	NA	NA	NA	1
ENSCAFG00845009253	1	many_to_one	ENSMUSG00000120772	0	NA	NA	NA	1
ENSCAFG00845009260	1	many_to_one	ENSMUSG00000120772	0	NA	NA	NA	1
ENSCAFG00845009276	1	many_to_one	ENSMUSG00000120772	0	NA	NA	NA	1
ENSCAFG00845011306	1	one_to_one	ENSMUSG00000117489	0	NA	NA	NA	1
ENSCAFG00845014656	1	one_to_many	ENSMUSG00000101012;ENSMUSG00000117221;ENSMUSG00000092268	1	one_to_one	lincConv	ENSMUSG00000101012	1
ENSCAFG00845014729	1	one_to_one	ENSMUSG00000117019	1	one_to_one	lincSS.dw	ENSMUSG00000117019	1
ENSCAFG00845018124	1	many_to_many_sameNumber	ENSMUSG00000111055;ENSMUSG00000111183;ENSMUSG00000119997	1	one_to_many	lncgDivg	ENSMUSG00000119997;ENSMUSG00000087014	1
ENSCAFG00845018158	1	many_to_many_sameNumber	ENSMUSG00000111055;ENSMUSG00000111183;ENSMUSG00000119997	1	many_to_one	lincDivg	ENSMUSG00000111183	1
ENSCAFG00845018173	1	many_to_many_sameNumber	ENSMUSG00000111055;ENSMUSG00000111183;ENSMUSG00000119997	1	many_to_one	lincDivg	ENSMUSG00000111183	1
ENSCAFG00845018143	1	many_to_one	ENSMUSG00000111008	0	NA	NA	NA	1
ENSCAFG00845018189	1	many_to_one	ENSMUSG00000111008	0	NA	NA	NA	1
ENSCAFG00845018903	1	one_to_one	ENSMUSG00000117772	1	one_to_one	lncgConv	ENSMUSG00000117772	1
ENSCAFG00845005233	1	many_to_one	ENSMUSG00000075555	0	NA	NA	NA	0
ENSCAFG00845005240	1	many_to_one	ENSMUSG00000075555	0	NA	NA	NA	0
ENSCAFG00845005245	1	many_to_one	ENSMUSG00000075555	0	NA	NA	NA	0
ENSCAFG00845005253	1	many_to_one	ENSMUSG00000075555	0	NA	NA	NA	0
ENSCAFG00845005255	1	many_to_one	ENSMUSG00000075555	1	one_to_one	lncgDivg	ENSMUSG00000075555	0
ENSCAFG00845005271	1	one_to_one	ENSMUSG00000100847	0	NA	NA	NA	0
ENSCAFG00845005280	1	one_to_many	ENSMUSG00000117361;ENSMUSG00000117414;ENSMUSG00000117486;ENSMUSG00000117545	1	one_to_one	lincDivg	ENSMUSG00000117414	0
ENSCAFG00845005687	1	one_to_many	ENSMUSG00000020033;ENSMUSG00000111514;ENSMUSG00000111583	1	one_to_one	lncgDivg	ENSMUSG00000111583	1
ENSCAFG00845007476	1	many_to_one	ENSMUSG00000109803	0	NA	NA	NA	1
ENSCAFG00845007487	1	many_to_one	ENSMUSG00000109803	0	NA	NA	NA	1
ENSCAFG00845007546	1	many_to_one	ENSMUSG00000109803	0	NA	NA	NA	1
ENSCAFG00845007560	1	many_to_one	ENSMUSG00000109803	1	one_to_one	lncgDivg	ENSMUSG00000109803	0
ENSCAFG00845007657	1	one_to_one	ENSMUSG00000112130	0	NA	NA	NA	1
ENSCAFG00845007640	1	one_to_one	ENSMUSG00000112283	0	NA	NA	NA	1
ENSCAFG00845007731	1	many_to_one	ENSMUSG00000112294	0	NA	NA	NA	0
ENSCAFG00845007750	1	many_to_one	ENSMUSG00000112294	0	NA	NA	NA	0
ENSCAFG00845007760	1	many_to_one	ENSMUSG00000112294	0	NA	NA	NA	0
ENSCAFG00845007787	1	many_to_one	ENSMUSG00000112294	0	NA	NA	NA	0
ENSCAFG00845007806	1	many_to_one	ENSMUSG00000112294	0	NA	NA	NA	0
ENSCAFG00845007814	1	many_to_one	ENSMUSG00000112294	0	NA	NA	NA	0
ENSCAFG00845007838	1	many_to_one	ENSMUSG00000112294	0	NA	NA	NA	0
ENSCAFG00845007868	1	many_to_one	ENSMUSG00000112294	0	NA	NA	NA	0
ENSCAFG00845007875	1	many_to_one	ENSMUSG00000112294	0	NA	NA	NA	0
ENSCAFG00845007826	1	one_to_one	ENSMUSG00000115854	1	one_to_one	lncgDivg	ENSMUSG00000115854	1
ENSCAFG00845009043	1	many_to_one	ENSMUSG00000119957	0	NA	NA	NA	0
ENSCAFG00845009063	1	many_to_one	ENSMUSG00000119957	0	NA	NA	NA	0
ENSCAFG00845009004	1	many_to_one	ENSMUSG00000087474	0	NA	NA	NA	0
ENSCAFG00845009013	1	many_to_one	ENSMUSG00000087474	1	many_to_one	lincSS.up	ENSMUSG00000087474	0
ENSCAFG00845009021	1	many_to_one	ENSMUSG00000087474	1	many_to_one	lincSS.up	ENSMUSG00000087474	0
ENSCAFG00845009026	1	many_to_one	ENSMUSG00000087474	1	many_to_one	lincSS.up	ENSMUSG00000087474	0
ENSCAFG00845009031	1	many_to_one	ENSMUSG00000087474	1	many_to_one	lincSS.up	ENSMUSG00000087474	0
ENSCAFG00845009048	1	many_to_one	ENSMUSG00000087474	0	NA	NA	NA	0
ENSCAFG00845009077	1	many_to_one	ENSMUSG00000087474	0	NA	NA	NA	0
ENSCAFG00845009332	1	many_to_many_sameNumber	ENSMUSG00000101872;ENSMUSG00000073073;ENSMUSG00000119981	0	NA	NA	NA	1
ENSCAFG00845009392	1	many_to_many_sameNumber	ENSMUSG00000101872;ENSMUSG00000073073;ENSMUSG00000119981	0	NA	NA	NA	1
ENSCAFG00845009426	1	many_to_many_sameNumber	ENSMUSG00000101872;ENSMUSG00000073073;ENSMUSG00000119981	1	one_to_many	lncgDivg	ENSMUSG00000119981;ENSMUSG00000101872;ENSMUSG00000073073	1
ENSCAFG00845009917	1	many_to_one	ENSMUSG00000097063	0	NA	NA	NA	0
ENSCAFG00845009940	1	many_to_one	ENSMUSG00000097063	1	one_to_one	lncgConv	ENSMUSG00000097063	0
ENSCAFG00845010083	1	one_to_one	ENSMUSG00000112873	0	NA	NA	NA	0
ENSCAFG00845010028	1	many_to_many_sameNumber	ENSMUSG00000111952;ENSMUSG00000112774	1	many_to_one	lincSS.up	ENSMUSG00000112774	1
ENSCAFG00845010040	1	many_to_many_sameNumber	ENSMUSG00000111952;ENSMUSG00000112774	1	many_to_one	lincSS.up	ENSMUSG00000112774	1
ENSCAFG00845012048	1	one_to_one	ENSMUSG00000111752	0	NA	NA	NA	0
ENSCAFG00845012079	1	many_to_many_sameNumber	ENSMUSG00000112780;ENSMUSG00000112846	0	NA	NA	NA	0
ENSCAFG00845012102	1	many_to_many_sameNumber	ENSMUSG00000112780;ENSMUSG00000112846	1	one_to_one	lincSS.dw	ENSMUSG00000112846	0
ENSCAFG00845012224	1	one_to_one	ENSMUSG00000116409	0	NA	NA	NA	0
ENSCAFG00845012389	1	one_to_many	ENSMUSG00000112716;ENSMUSG00000111907	0	NA	NA	NA	1
ENSCAFG00845012906	1	one_to_many	ENSMUSG00000112555;ENSMUSG00000084764;ENSMUSG00000085418	0	NA	NA	NA	1
ENSCAFG00845013073	1	one_to_one	ENSMUSG00000097309	1	one_to_one	lncgDivg	ENSMUSG00000097309	1
ENSCAFG00845013999	1	one_to_one	ENSMUSG00000121132	0	NA	NA	NA	1
ENSCAFG00845016619	1	one_to_many	ENSMUSG00000085391;ENSMUSG00000085280;ENSMUSG00000087131	0	NA	NA	NA	1
ENSCAFG00845020262	1	one_to_one	ENSMUSG00000103603	0	NA	NA	NA	0
ENSCAFG00845020547	1	one_to_one	ENSMUSG00000116480	1	one_to_one	lncgSS.dw	ENSMUSG00000116480	1
ENSCAFG00845021178	1	one_to_one	ENSMUSG00000115888	0	NA	NA	NA	1
ENSCAFG00845024674	1	one_to_many	ENSMUSG00000112228;ENSMUSG00000112767	0	NA	NA	NA	1
ENSCAFG00845025039	1	one_to_one	ENSMUSG00000112564	1	one_to_one	lncgConv	ENSMUSG00000112564	1
ENSCAFG00845025071	1	many_to_many_DifferentNumber	ENSMUSG00000117442;ENSMUSG00000117611;ENSMUSG00000117431;ENSMUSG00000117432;ENSMUSG00000117571;ENSMUSG00000121087	1	one_to_one	lncgDivg	ENSMUSG00000121087	0
ENSCAFG00845025110	1	many_to_many_DifferentNumber	ENSMUSG00000117442;ENSMUSG00000117611;ENSMUSG00000117431;ENSMUSG00000117432;ENSMUSG00000117571;ENSMUSG00000121087	0	NA	NA	NA	0
ENSCAFG00845025101	1	one_to_many	ENSMUSG00000097254;ENSMUSG00000117421;ENSMUSG00000117564;ENSMUSG00000117446;ENSMUSG00000117485;ENSMUSG00000121234	0	NA	NA	NA	0
ENSCAFG00845025557	1	one_to_one	ENSMUSG00000107688	1	one_to_one	lncgSS.dw	ENSMUSG00000107688	1
ENSCAFG00845026591	1	one_to_one	ENSMUSG00000086602	0	NA	NA	NA	0
ENSCAFG00845027151	1	many_to_one	ENSMUSG00000117422	0	NA	NA	NA	1
ENSCAFG00845027172	1	many_to_one	ENSMUSG00000117422	0	NA	NA	NA	1
ENSCAFG00845027119	1	many_to_many_sameNumber	ENSMUSG00000100345;ENSMUSG00000117501	1	many_to_one	lincSS.dw	ENSMUSG00000117501	1
ENSCAFG00845027133	1	many_to_many_sameNumber	ENSMUSG00000100345;ENSMUSG00000117501	1	many_to_one	lincSS.dw	ENSMUSG00000117501	1
ENSCAFG00845027295	1	one_to_one	ENSMUSG00000079242	1	one_to_one	lncgDivg	ENSMUSG00000079242	1
ENSCAFG00845027668	1	one_to_many	ENSMUSG00000100738;ENSMUSG00000121124;ENSMUSG00000120725;ENSMUSG00000120278;ENSMUSG00000071036	0	NA	NA	NA	1
ENSCAFG00845028119	1	one_to_one	ENSMUSG00000117384	1	one_to_one	lincConv	ENSMUSG00000117384	1
ENSCAFG00845005807	1	many_to_many_sameNumber	ENSMUSG00000086923;ENSMUSG00000106639	0	NA	NA	NA	1
ENSCAFG00845005816	1	many_to_many_sameNumber	ENSMUSG00000086923;ENSMUSG00000106639	0	NA	NA	NA	1
ENSCAFG00845006137	1	one_to_many	ENSMUSG00000105472;ENSMUSG00000106197	0	NA	NA	NA	1
ENSCAFG00845006168	1	many_to_one	ENSMUSG00000120952	0	NA	NA	NA	1
ENSCAFG00845006176	1	many_to_one	ENSMUSG00000120952	0	NA	NA	NA	1
ENSCAFG00845006164	1	one_to_many	ENSMUSG00000104721;ENSMUSG00000106371;ENSMUSG00000105148;ENSMUSG00000105083;ENSMUSG00000106443;ENSMUSG00000104583;ENSMUSG00000105846;ENSMUSG00000106063;ENSMUSG00000106432;ENSMUSG00000105933;ENSMUSG00000105818;ENSMUSG00000022187	1	one_to_one	lincSS.dw	ENSMUSG00000022187	1
ENSCAFG00845006244	1	one_to_one	ENSMUSG00000085121	1	one_to_one	lincSS.up	ENSMUSG00000085121	1
ENSCAFG00845006237	1	one_to_one	ENSMUSG00000086833	0	NA	NA	NA	1
ENSCAFG00845008105	1	one_to_one	ENSMUSG00000105753	1	one_to_one	lncgSS.dw	ENSMUSG00000105753	0
ENSCAFG00845008321	1	one_to_one	ENSMUSG00000104835	1	one_to_one	lincDivg	ENSMUSG00000104835	1
ENSCAFG00845008409	1	one_to_many	ENSMUSG00000105677;ENSMUSG00000105842;ENSMUSG00000106341;ENSMUSG00000104910;ENSMUSG00000120730	0	NA	NA	NA	1
ENSCAFG00845011860	1	one_to_one	ENSMUSG00000117292	1	one_to_one	lincSS.dw	ENSMUSG00000117292	1
ENSCAFG00845016569	1	one_to_one	ENSMUSG00000108288	0	NA	NA	NA	1
ENSCAFG00845016961	1	one_to_one	ENSMUSG00000097189	0	NA	NA	NA	1
ENSCAFG00845017200	1	one_to_many	ENSMUSG00000100674;ENSMUSG00000102098	0	NA	NA	NA	1
ENSCAFG00845017521	1	many_to_many_sameNumber	ENSMUSG00000112787;ENSMUSG00000111925	0	NA	NA	NA	1
ENSCAFG00845017529	1	many_to_many_sameNumber	ENSMUSG00000112787;ENSMUSG00000111925	0	NA	NA	NA	1
ENSCAFG00845019688	1	one_to_many	ENSMUSG00000120222;ENSMUSG00000120669	0	NA	NA	NA	1
ENSCAFG00845019665	1	one_to_one	ENSMUSG00000121137	0	NA	NA	NA	1
ENSCAFG00845019808	1	one_to_one	ENSMUSG00000111889	0	NA	NA	NA	1
ENSCAFG00845020477	1	many_to_many_DifferentNumber	ENSMUSG00000117426;ENSMUSG00000117616;ENSMUSG00000117394;ENSMUSG00000117561	0	NA	NA	NA	1
ENSCAFG00845020563	1	many_to_many_DifferentNumber	ENSMUSG00000117426;ENSMUSG00000117616;ENSMUSG00000117394;ENSMUSG00000117561	1	one_to_many	lincDivg	ENSMUSG00000117426;ENSMUSG00000117616	1
ENSCAFG00845021148	1	one_to_many	ENSMUSG00000113387;ENSMUSG00000113986;ENSMUSG00000113886;ENSMUSG00000120379	0	NA	NA	NA	0
ENSCAFG00845022139	1	one_to_many	ENSMUSG00000113235;ENSMUSG00000113939	0	NA	NA	NA	0
ENSCAFG00845022159	1	one_to_many	ENSMUSG00000113421;ENSMUSG00000113616;ENSMUSG00000113967;ENSMUSG00000120751	1	one_to_one	lncgDivg	ENSMUSG00000120751	0
ENSCAFG00845022230	1	many_to_many_DifferentNumber	ENSMUSG00000113218;ENSMUSG00000094002;ENSMUSG00000113628	0	NA	NA	NA	0
ENSCAFG00845022249	1	many_to_many_DifferentNumber	ENSMUSG00000113218;ENSMUSG00000094002;ENSMUSG00000113628	0	NA	NA	NA	0
ENSCAFG00845022239	1	many_to_many_sameNumber	ENSMUSG00000120259;ENSMUSG00000113524	0	NA	NA	NA	0
ENSCAFG00845022263	1	many_to_many_sameNumber	ENSMUSG00000120259;ENSMUSG00000113524	0	NA	NA	NA	0
ENSCAFG00845022797	1	one_to_one	ENSMUSG00000114148	0	NA	NA	NA	1
ENSCAFG00845023309	1	one_to_many	ENSMUSG00000105229;ENSMUSG00000104874	1	one_to_many	lncgSS.up	ENSMUSG00000104874;ENSMUSG00000105229	1
ENSCAFG00845023322	1	one_to_one	ENSMUSG00000085754	1	one_to_one	lncgDivg	ENSMUSG00000085754	1
ENSCAFG00845027875	1	one_to_many	ENSMUSG00000089916;ENSMUSG00000105151;ENSMUSG00000105966;ENSMUSG00000105891	0	NA	NA	NA	1
ENSCAFG00845028003	1	many_to_one	ENSMUSG00000114018	0	NA	NA	NA	1
ENSCAFG00845028027	1	many_to_one	ENSMUSG00000114018	1	many_to_one	lincConv	ENSMUSG00000114018	1
ENSCAFG00845028042	1	many_to_one	ENSMUSG00000114018	1	many_to_one	lincConv	ENSMUSG00000114018	1
ENSCAFG00845028029	1	one_to_many	ENSMUSG00000105342;ENSMUSG00000106296	0	NA	NA	NA	1
ENSCAFG00845029579	1	one_to_many	ENSMUSG00000104943;ENSMUSG00000053957	1	one_to_one	lncgDivg	ENSMUSG00000053957	1
ENSCAFG00845006552	1	many_to_one	ENSMUSG00000120965	0	NA	NA	NA	1
ENSCAFG00845006597	1	many_to_one	ENSMUSG00000120965	0	NA	NA	NA	1
ENSCAFG00845006607	1	many_to_one	ENSMUSG00000120965	0	NA	NA	NA	1
ENSCAFG00845007759	1	one_to_one	ENSMUSG00000120482	0	NA	NA	NA	1
ENSCAFG00845007727	1	one_to_one	ENSMUSG00000112532	0	NA	NA	NA	1
ENSCAFG00845009279	1	one_to_one	ENSMUSG00000112183	0	NA	NA	NA	1
ENSCAFG00845009479	1	one_to_one	ENSMUSG00000101334	0	NA	NA	NA	1
ENSCAFG00845009507	1	one_to_one	ENSMUSG00000103459	1	one_to_one	lincSS.dw	ENSMUSG00000103459	1
ENSCAFG00845010126	1	one_to_many	ENSMUSG00000102629;ENSMUSG00000105034	0	NA	NA	NA	0
ENSCAFG00845010129	1	one_to_one	ENSMUSG00000089959	0	NA	NA	NA	1
ENSCAFG00845011615	1	many_to_one	ENSMUSG00000110202	0	NA	NA	NA	0
ENSCAFG00845011640	1	many_to_one	ENSMUSG00000110202	0	NA	NA	NA	0
ENSCAFG00845011921	1	one_to_many	ENSMUSG00000089746;ENSMUSG00000120163	1	one_to_one	lncgSS.up	ENSMUSG00000089746	1
ENSCAFG00845011913	1	one_to_one	ENSMUSG00000068957	1	one_to_one	lncgDivg	ENSMUSG00000068957	1
