lncRNAid_Mus_musculus	isTable_1_Homo_sapiens	orthology_type_synteny_Homo_sapiens	lncRNA_synteny_id_Homo_sapiens	isTable_2_Homo_sapiens	orthology_type_configuration_Homo_sapiens	configuration_type_configuration_Homo_sapiens	lncRNA_configuration_id_Homo_sapiens	isTable_3_Homo_sapiens	isTable_1_Canis_lupus_familiaris	orthology_type_synteny_Canis_lupus_familiaris	lncRNA_synteny_id_Canis_lupus_familiaris	isTable_2_Canis_lupus_familiaris	orthology_type_configuration_Canis_lupus_familiaris	configuration_type_configuration_Canis_lupus_familiaris	lncRNA_configuration_id_Canis_lupus_familiaris	isTable_3_Canis_lupus_familiaris	sumIsTable	sumIsTable_1	sumIsTable_2	sumIsTable_3
ENSMUSG00000086043	1	one_to_one	ENSG00000228843	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086044	0	NA	NA	0	NA	NA	NA	1	1	many_to_many_sameNumber	ENSCAFG00845019586;ENSCAFG00845019618;ENSCAFG00845019650;ENSCAFG00845019794	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086047	1	one_to_one	ENSG00000270482	1	one_to_one	lncgDivg	ENSG00000270482	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086050	1	many_to_many_DifferentNumber	ENSG00000287257;ENSG00000267016;ENSG00000267466;ENSG00000204283;ENSG00000267790;ENSG00000266998	1	one_to_many	lncgDivg	ENSG00000267016;ENSG00000266998;ENSG00000263718;ENSG00000287257	1	1	many_to_one	ENSCAFG00845015466	0	NA	NA	NA	1	5	2	1	2
ENSMUSG00000086052	1	many_to_many_sameNumber	ENSG00000253879;ENSG00000254775;ENSG00000167912	1	one_to_one	lncgDivg	ENSG00000167912	0	0	NA	NA	0	NA	NA	NA	1	3	1	1	1
ENSMUSG00000086053	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000086054	1	many_to_one	ENSG00000241388	1	many_to_one	lncgDivg	ENSG00000241388	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086055	1	many_to_many_sameNumber	ENSG00000256884;ENSG00000256609;ENSG00000256311;ENSG00000281196	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000086057	1	many_to_many_DifferentNumber	ENSG00000248727;ENSG00000249697;ENSG00000225940;ENSG00000234553;ENSG00000289709	1	many_to_one	lincDivg	ENSG00000289709	1	1	many_to_many_DifferentNumber	ENSCAFG00845028636;ENSCAFG00845028645	0	NA	NA	NA	1	5	2	1	2
ENSMUSG00000086058	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000267782	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086060	1	many_to_many_DifferentNumber	ENSG00000197176;ENSG00000258379;ENSG00000258869;ENSG00000259119;ENSG00000288034;ENSG00000259026;ENSG00000246223;ENSG00000259097	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086061	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086066	1	one_to_many	ENSG00000215117;ENSG00000253871;ENSG00000253301;ENSG00000253614;ENSG00000253821;ENSG00000205293;ENSG00000254139;ENSG00000287301	0	NA	NA	NA	1	1	one_to_one	ENSCAFG00845027503	1	one_to_one	lncgSS.up	ENSCAFG00845027503	1	5	2	1	2
ENSMUSG00000086067	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086069	1	one_to_many	ENSG00000237798;ENSG00000290018	1	one_to_one	lncgDivg	ENSG00000237798	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086070	1	many_to_many_sameNumber	ENSG00000253879;ENSG00000254775;ENSG00000167912	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000086071	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086072	1	many_to_many_DifferentNumber	ENSG00000271156;ENSG00000286984;ENSG00000251136	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	2	1	0	1
ENSMUSG00000086075	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000277873	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000086077	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086078	0	NA	NA	1	many_to_many_strict	lncgDivg	ENSG00000289587;ENSG00000264630	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086080	1	many_to_one	ENSG00000253872	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000086083	1	one_to_one	ENSG00000288713	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086087	1	many_to_many_DifferentNumber	ENSG00000224592;ENSG00000238063;ENSG00000286552;ENSG00000287987	0	NA	NA	NA	0	1	many_to_many_DifferentNumber	ENSCAFG00845030198;ENSCAFG00845030208	0	NA	NA	NA	1	3	2	0	1
ENSMUSG00000086089	1	many_to_many_sameNumber	ENSG00000265000;ENSG00000287457	1	many_to_many_strict	lncgDivg	ENSG00000265000;ENSG00000287457	1	0	NA	NA	0	NA	NA	NA	0	3	1	1	1
ENSMUSG00000086090	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086092	1	many_to_many_DifferentNumber	ENSG00000248727;ENSG00000249697;ENSG00000225940;ENSG00000234553;ENSG00000289709	0	NA	NA	NA	1	1	many_to_many_DifferentNumber	ENSCAFG00845028636;ENSCAFG00845028645	0	NA	NA	NA	1	4	2	0	2
ENSMUSG00000086095	1	many_to_many_DifferentNumber	ENSG00000264587;ENSG00000287803;ENSG00000265994;ENSG00000286605;ENSG00000266196	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086096	1	one_to_many	ENSG00000229225;ENSG00000229537;ENSG00000224209;ENSG00000230798	1	one_to_one	lncgDivg	ENSG00000230798	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086098	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086103	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000086105	1	many_to_one	ENSG00000266979	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086107	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086108	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086109	1	one_to_many	ENSG00000229240;ENSG00000228027;ENSG00000229206;ENSG00000237986;ENSG00000230322;ENSG00000181800	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086111	1	many_to_many_DifferentNumber	ENSG00000248727;ENSG00000249697;ENSG00000225940;ENSG00000234553;ENSG00000289709	1	many_to_one	lincDivg	ENSG00000289709	1	1	many_to_many_DifferentNumber	ENSCAFG00845028636;ENSCAFG00845028645	0	NA	NA	NA	1	5	2	1	2
ENSMUSG00000086112	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000289125	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086114	1	many_to_many_DifferentNumber	ENSG00000278709;ENSG00000275852	0	NA	NA	NA	0	1	many_to_one	ENSCAFG00845013079	0	NA	NA	NA	0	2	2	0	0
ENSMUSG00000086117	0	NA	NA	1	one_to_one	lincConv	ENSG00000287640	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000086119	1	one_to_many	ENSG00000288972;ENSG00000235257	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086121	0	NA	NA	1	many_to_one	lncgDivg	ENSG00000289745	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086122	1	many_to_many_sameNumber	ENSG00000256884;ENSG00000256609;ENSG00000256311;ENSG00000281196	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000086124	1	many_to_many_DifferentNumber	ENSG00000235269;ENSG00000286730;ENSG00000225680	0	NA	NA	NA	1	1	many_to_many_DifferentNumber	ENSCAFG00845004350;ENSCAFG00845004358;ENSCAFG00845004362	0	NA	NA	NA	1	4	2	0	2
ENSMUSG00000086125	1	many_to_one	ENSG00000253629	1	many_to_one	lncgDivg	ENSG00000253629	1	1	many_to_many_DifferentNumber	ENSCAFG00845007422;ENSCAFG00845007429	0	NA	NA	NA	1	5	2	1	2
ENSMUSG00000086126	1	one_to_many	ENSG00000286323;ENSG00000253308;ENSG00000253405	1	one_to_many	lncgDivg	ENSG00000253308;ENSG00000253405	0	0	NA	NA	0	NA	NA	NA	1	3	1	1	1
ENSMUSG00000086127	1	one_to_one	ENSG00000289931	1	one_to_one	lncgDivg	ENSG00000289931	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086128	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	1	one_to_one	lncgConv	ENSCAFG00845001910	1	3	0	1	2
ENSMUSG00000086129	1	one_to_many	ENSG00000270557;ENSG00000271320;ENSG00000237327;ENSG00000227480	1	one_to_many	lncgSS.dw	ENSG00000237327;ENSG00000271320;ENSG00000270557	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086134	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000255201	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086135	1	many_to_many_DifferentNumber	ENSG00000266765;ENSG00000265927;ENSG00000177338;ENSG00000266357;ENSG00000285648;ENSG00000265935	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086136	1	one_to_one	ENSG00000290536	0	NA	NA	NA	1	1	one_to_many	ENSCAFG00845006993;ENSCAFG00845007055;ENSCAFG00845007388;ENSCAFG00845007461	0	NA	NA	NA	1	4	2	0	2
ENSMUSG00000086137	1	one_to_one	ENSG00000250820	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	2	1	0	1
ENSMUSG00000086139	1	many_to_one	ENSG00000237073	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086140	1	many_to_one	ENSG00000241388	1	many_to_one	lncgDivg	ENSG00000241388	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086141	1	one_to_many	ENSG00000204684;ENSG00000225321;ENSG00000288974;ENSG00000259974	1	one_to_one	lncgSS.dw	ENSG00000259974	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086144	1	one_to_one	ENSG00000280916	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086145	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086150	0	NA	NA	1	one_to_many	lncgDivg	ENSG00000226455;ENSG00000260271;ENSG00000287789	0	0	NA	NA	0	NA	NA	NA	1	2	0	1	1
ENSMUSG00000086152	1	one_to_one	ENSG00000233277	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086154	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000086155	1	one_to_one	ENSG00000288742	1	one_to_one	lncgDivg	ENSG00000227407	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086156	0	NA	NA	1	many_to_one	lncgDivg	ENSG00000273449	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000086159	1	one_to_one	ENSG00000290096	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000086160	1	one_to_one	ENSG00000223914	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086161	1	many_to_many_DifferentNumber	ENSG00000267134;ENSG00000265217;ENSG00000264131;ENSG00000264232	1	one_to_one	lincSS.dw	ENSG00000267134	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086164	0	NA	NA	1	many_to_one	lncgDivg	ENSG00000230035	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000086165	1	one_to_one	ENSG00000288863	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086166	1	many_to_many_DifferentNumber	ENSG00000125514;ENSG00000231133;ENSG00000260416;ENSG00000286628;ENSG00000231977	1	many_to_many	lincSS.dw	ENSG00000231977;ENSG00000260416;ENSG00000286628	0	0	NA	NA	0	NA	NA	NA	1	3	1	1	1
ENSMUSG00000086168	1	many_to_one	ENSG00000287156	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086170	0	NA	NA	1	many_to_many_strict	lncgDivg	ENSG00000253687;ENSG00000254391	1	1	many_to_one	ENSCAFG00845001020	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086171	1	one_to_many	ENSG00000286571;ENSG00000287241;ENSG00000236985	1	many_to_many_strict	lncgDivg	ENSG00000286571;ENSG00000287241	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086172	1	one_to_many	ENSG00000287724;ENSG00000233203;ENSG00000242396	1	many_to_many	lncgDivg	ENSG00000287724;ENSG00000233203;ENSG00000242396	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086173	1	one_to_one	ENSG00000283638	1	one_to_one	lincDivg	ENSG00000283638	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086175	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000086179	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000086181	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000086184	1	many_to_many_DifferentNumber	ENSG00000287526;ENSG00000289539	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086185	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086186	0	NA	NA	0	NA	NA	NA	0	1	one_to_one	ENSCAFG00845025191	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086187	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000086189	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086190	1	many_to_one	ENSG00000248206	1	many_to_one	lncgDivg	ENSG00000287433	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086191	1	many_to_many_DifferentNumber	ENSG00000262039;ENSG00000248714;ENSG00000250948	1	one_to_one	lncgDivg	ENSG00000248714	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086192	1	one_to_many	ENSG00000236986;ENSG00000246851;ENSG00000288727	1	one_to_many	lncgDivg	ENSG00000246851;ENSG00000288727;ENSG00000236986	1	1	one_to_one	ENSCAFG00845019964	0	NA	NA	NA	1	5	2	1	2
ENSMUSG00000086193	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000086196	0	NA	NA	0	NA	NA	NA	1	1	many_to_one	ENSCAFG00845028898	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086197	1	many_to_many_DifferentNumber	ENSG00000259245;ENSG00000259395;ENSG00000248079	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086199	1	many_to_many_DifferentNumber	ENSG00000267131;ENSG00000267207;ENSG00000267449;ENSG00000286997;ENSG00000273982;ENSG00000267280	1	many_to_many	lncgDivg	ENSG00000267207;ENSG00000267449;ENSG00000286997;ENSG00000273982	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086201	1	one_to_one	ENSG00000250961	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086202	1	many_to_many_DifferentNumber	ENSG00000283118;ENSG00000238057;ENSG00000226674;ENSG00000286225;ENSG00000233842;ENSG00000231040;ENSG00000287847;ENSG00000232606	0	NA	NA	NA	0	1	many_to_one	ENSCAFG00845006200	0	NA	NA	NA	0	2	2	0	0
ENSMUSG00000086203	1	many_to_many_DifferentNumber	ENSG00000259731;ENSG00000259345;ENSG00000259390;ENSG00000259447;ENSG00000274281	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	2	1	0	1
ENSMUSG00000086204	1	many_to_one	ENSG00000280837	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086205	1	one_to_one	ENSG00000224648	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086206	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086209	1	one_to_one	ENSG00000237714	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086211	1	one_to_many	ENSG00000258885;ENSG00000281649;ENSG00000250850	1	one_to_many	lncgDivg	ENSG00000258885;ENSG00000250850	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086212	1	many_to_many_DifferentNumber	ENSG00000271204;ENSG00000231721	1	one_to_many	lncgDivg	ENSG00000231721;ENSG00000236753	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086214	1	one_to_many	ENSG00000282478;ENSG00000287754;ENSG00000230990;ENSG00000232900;ENSG00000234900;ENSG00000228422;ENSG00000261411	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086219	1	one_to_many	ENSG00000286233;ENSG00000257095	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000086220	0	NA	NA	1	one_to_many	lncgDivg	ENSG00000261535;ENSG00000259294	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086221	1	one_to_many	ENSG00000259269;ENSG00000259278;ENSG00000259423;ENSG00000175746;ENSG00000286786;ENSG00000259326;ENSG00000259598;ENSG00000175779	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	2	1	0	1
ENSMUSG00000086222	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000086224	1	one_to_many	ENSG00000253681;ENSG00000287352;ENSG00000253661	1	one_to_one	lncgDivg	ENSG00000253661	0	0	NA	NA	0	NA	NA	NA	1	3	1	1	1
ENSMUSG00000086226	1	one_to_one	ENSG00000254035	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086227	1	one_to_many	ENSG00000254020;ENSG00000253682;ENSG00000253634;ENSG00000288005;ENSG00000248858;ENSG00000253749	0	NA	NA	NA	0	1	one_to_one	ENSCAFG00845021889	1	one_to_one	lincSS.dw	ENSCAFG00845021889	0	3	2	1	0
ENSMUSG00000086231	0	NA	NA	1	many_to_one	lncgDivg	ENSG00000228016	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086233	1	many_to_many_sameNumber	ENSG00000254222;ENSG00000253711	1	many_to_many_strict	lncgDivg	ENSG00000253711;ENSG00000254222	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086234	0	NA	NA	1	many_to_one	lncgDivg	ENSG00000248866	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086236	1	one_to_many	ENSG00000249993;ENSG00000272832	0	NA	NA	NA	1	1	one_to_one	ENSCAFG00845029779	0	NA	NA	NA	1	4	2	0	2
ENSMUSG00000086237	1	one_to_one	ENSG00000286492	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086238	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000086239	0	NA	NA	1	many_to_many_strict	lncgDivg	ENSG00000256306;ENSG00000287928;ENSG00000277935	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086241	1	one_to_one	ENSG00000228404	1	one_to_one	lncgConv	ENSG00000228404	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086243	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086244	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000086245	0	NA	NA	1	one_to_one	lncgConv	ENSG00000250222	0	0	NA	NA	0	NA	NA	NA	1	2	0	1	1
ENSMUSG00000086247	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086248	1	many_to_one	ENSG00000243818	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000086250	1	one_to_many	ENSG00000226995;ENSG00000205181;ENSG00000225640	1	one_to_many	lincSS.dw	ENSG00000225640;ENSG00000205181;ENSG00000226995	0	1	one_to_one	ENSCAFG00845028085	0	NA	NA	NA	0	3	2	1	0
ENSMUSG00000086251	1	one_to_one	ENSG00000283445	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	2	1	0	1
ENSMUSG00000086254	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000086255	1	one_to_one	ENSG00000251461	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086256	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000086257	1	one_to_many	ENSG00000287683;ENSG00000288085;ENSG00000229600;ENSG00000231143;ENSG00000289081	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086258	1	one_to_one	ENSG00000223487	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086259	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000086262	0	NA	NA	0	NA	NA	NA	0	1	many_to_many_DifferentNumber	ENSCAFG00845007513;ENSCAFG00845007539	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086263	0	NA	NA	1	one_to_one	lincSS.up	ENSG00000205653	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000086264	1	many_to_many_sameNumber	ENSG00000229191;ENSG00000234132	1	one_to_one	lncgDivg	ENSG00000229191	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086266	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086267	1	many_to_many_DifferentNumber	ENSG00000286536;ENSG00000230013	1	one_to_one	lincDivg	ENSG00000286536	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086268	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	1	one_to_one	lncgDivg	ENSCAFG00845028477	0	1	0	1	0
ENSMUSG00000086269	1	many_to_one	ENSG00000278916	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086272	1	many_to_many_DifferentNumber	ENSG00000232596;ENSG00000235054;ENSG00000284668;ENSG00000233304;ENSG00000236423	1	one_to_many	lincDivg	ENSG00000284668;ENSG00000233304	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086273	1	one_to_one	ENSG00000249041	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086275	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086279	0	NA	NA	0	NA	NA	NA	1	1	one_to_one	ENSCAFG00845022836	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086282	1	many_to_many_DifferentNumber	ENSG00000255745;ENSG00000256473;ENSG00000256120	1	many_to_many	lncgDivg	ENSG00000256473;ENSG00000256120	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000086283	1	many_to_one	ENSG00000266979	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086284	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086287	1	many_to_many_DifferentNumber	ENSG00000268873;ENSG00000278464;ENSG00000289867	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000086288	0	NA	NA	1	many_to_one	lncgDivg	ENSG00000273481	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086289	1	one_to_one	ENSG00000253645	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000086290	0	NA	NA	1	one_to_one	lncgConv	ENSG00000197989	1	1	one_to_one	ENSCAFG00845009830	1	one_to_one	lncgConv	ENSCAFG00845009830	1	5	1	2	2
ENSMUSG00000086291	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086293	1	many_to_many_DifferentNumber	ENSG00000225472;ENSG00000287708;ENSG00000289969	1	many_to_many	lncgDivg	ENSG00000287708;ENSG00000225472;ENSG00000289969	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086296	0	NA	NA	1	one_to_one	lncgConv	ENSG00000242797	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000086297	0	NA	NA	1	many_to_many_strict	lncgDivg	ENSG00000248668;ENSG00000286164	0	0	NA	NA	0	NA	NA	NA	1	2	0	1	1
ENSMUSG00000086298	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000086302	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000086306	1	many_to_many_sameNumber	ENSG00000262343;ENSG00000262585	1	one_to_one	lincSS.up	ENSG00000262343	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000086308	1	one_to_many	ENSG00000259460;ENSG00000288808;ENSG00000274444	1	one_to_many	lncgDivg	ENSG00000259460;ENSG00000288808	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
