PCG.Mus_musculus	lncRNA.Mus_musculus	conf.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	PCG.Canis_lupus_familiaris	lncRNA.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris
ENSMUSG00000024578	ENSMUSG00000097324	lincDivg	n.1.1	19350	ENSCAFG00845009566	ENSCAFG00845009524	lincDivg	n.1.1	24367
ENSMUSG00000024750	ENSMUSG00000118090	lincSS.up	1.1.1	60305	ENSCAFG00845000056	ENSCAFG00845000051	lincSS.up	1.1.1	63482
ENSMUSG00000024897	ENSMUSG00000117685	lincDivg	1.1.1	10886	ENSCAFG00845000845	ENSCAFG00845000824	lincDivg	1.1.1	7589
ENSMUSG00000024921	ENSMUSG00000093628	lncgDivg	n.1.1	0	ENSCAFG00845002161	ENSCAFG00845002071	lncgDivg	1.1.1	1811
ENSMUSG00000024924	ENSMUSG00000118020	lincDivg	1.1.1	24475	ENSCAFG00845002345	ENSCAFG00845002310	lincDivg	1.1.1	94183
ENSMUSG00000024941	ENSMUSG00000092341	lincSS.up	n.1.1	24270	ENSCAFG00845023673	ENSCAFG00845024046	lincSS.up	1.1.1	23078
ENSMUSG00000024941	ENSMUSG00000092341	lincSS.up	n.1.1	24270	ENSCAFG00845023673	ENSCAFG00845024060	lincSS.up	1.1.1	26522
ENSMUSG00000025078	ENSMUSG00000117890	lincConv	1.1.1	53008	ENSCAFG00845030495	ENSCAFG00845030508	lincConv	1.1.1	23364
ENSMUSG00000025086	ENSMUSG00000118178	lincSS.dw	1.1.1	31252	ENSCAFG00845030859	ENSCAFG00845030880	lincSS.dw	1.1.1	16899
ENSMUSG00000025086	ENSMUSG00000118178	lincSS.dw	1.1.1	31252	ENSCAFG00845030859	ENSCAFG00845030878	lincSS.dw	1.1.1	6255
ENSMUSG00000025086	ENSMUSG00000117655	lincSS.dw	n.1.1	17559	ENSCAFG00845030859	ENSCAFG00845030880	lincSS.dw	1.1.1	16899
ENSMUSG00000025086	ENSMUSG00000117655	lincSS.dw	n.1.1	17559	ENSCAFG00845030859	ENSCAFG00845030878	lincSS.dw	1.1.1	6255
ENSMUSG00000025608	ENSMUSG00000086804	lincDivg	n.1.1	41209	ENSCAFG00845015545	ENSCAFG00845015499	lincDivg	1.1.1	55714
ENSMUSG00000025608	ENSMUSG00000086732	lincDivg	1.1.1	10986	ENSCAFG00845015545	ENSCAFG00845015499	lincDivg	1.1.1	55714
ENSMUSG00000025810	ENSMUSG00000121092	lncgSS.dw	1.1.1	1580	ENSCAFG00845002787	ENSCAFG00845002857	lncgSS.dw	n.1.1	3601
ENSMUSG00000025916	ENSMUSG00000087199	lncgDivg	1.1.1	0	ENSCAFG00845020351	ENSCAFG00845020529	lncgDivg	1.1.1	266
ENSMUSG00000025929	ENSMUSG00000099906	lincSS.up	n.1.1	46607	ENSCAFG00845008776	ENSCAFG00845008716	lincSS.up	n.1.1	47993
ENSMUSG00000025997	ENSMUSG00000100354	lincSS.dw	1.1.1	37426	ENSCAFG00845019777	ENSCAFG00845019690	lincSS.dw	n.1.1	59389
ENSMUSG00000026012	ENSMUSG00000120928	lincSS.up	1.1.1	11462	ENSCAFG00845018097	ENSCAFG00845018024	lincSS.up	1.1.1	44964
ENSMUSG00000026109	ENSMUSG00000101242	lncgDivg	1.1.1	0	ENSCAFG00845020476	ENSCAFG00845020648	lncgDivg	n.1.1	1415
ENSMUSG00000026311	ENSMUSG00000101705	lincSS.dw	1.1.1	51817	ENSCAFG00845030187	ENSCAFG00845030248	lincSS.dw	1.1.1	87330
ENSMUSG00000026311	ENSMUSG00000101705	lincSS.dw	1.1.1	51817	ENSCAFG00845030187	ENSCAFG00845030241	lincSS.dw	1.1.1	40730
ENSMUSG00000026335	ENSMUSG00000100711	lincDivg	1.1.1	78002	ENSCAFG00845001601	ENSCAFG00845001870	lincDivg	1.1.1	90067
ENSMUSG00000026335	ENSMUSG00000100711	lincDivg	1.1.1	78002	ENSCAFG00845001601	ENSCAFG00845001772	lincDivg	1.1.1	9326
ENSMUSG00000026335	ENSMUSG00000100711	lincDivg	1.1.1	78002	ENSCAFG00845001601	ENSCAFG00845001811	lincDivg	1.1.1	45459
ENSMUSG00000026335	ENSMUSG00000100711	lincDivg	1.1.1	78002	ENSCAFG00845001601	ENSCAFG00845001817	lincDivg	1.1.1	58772
ENSMUSG00000026335	ENSMUSG00000100711	lincDivg	1.1.1	78002	ENSCAFG00845001601	ENSCAFG00845001849	lincDivg	1.1.1	74382
ENSMUSG00000026335	ENSMUSG00000100711	lincDivg	1.1.1	78002	ENSCAFG00845001601	ENSCAFG00845001792	lincDivg	1.1.1	32324
ENSMUSG00000026335	ENSMUSG00000100711	lincDivg	1.1.1	78002	ENSCAFG00845001601	ENSCAFG00845001779	lincDivg	1.1.1	27675
ENSMUSG00000026335	ENSMUSG00000100711	lincDivg	1.1.1	78002	ENSCAFG00845001601	ENSCAFG00845001857	lincDivg	1.1.1	84023
ENSMUSG00000026335	ENSMUSG00000100182	lincDivg	n.1.1	35783	ENSCAFG00845001601	ENSCAFG00845001870	lincDivg	1.1.1	90067
ENSMUSG00000026335	ENSMUSG00000100182	lincDivg	n.1.1	35783	ENSCAFG00845001601	ENSCAFG00845001772	lincDivg	1.1.1	9326
ENSMUSG00000026335	ENSMUSG00000100182	lincDivg	n.1.1	35783	ENSCAFG00845001601	ENSCAFG00845001811	lincDivg	1.1.1	45459
ENSMUSG00000026335	ENSMUSG00000100182	lincDivg	n.1.1	35783	ENSCAFG00845001601	ENSCAFG00845001817	lincDivg	1.1.1	58772
ENSMUSG00000026335	ENSMUSG00000100182	lincDivg	n.1.1	35783	ENSCAFG00845001601	ENSCAFG00845001849	lincDivg	1.1.1	74382
ENSMUSG00000026335	ENSMUSG00000100182	lincDivg	n.1.1	35783	ENSCAFG00845001601	ENSCAFG00845001792	lincDivg	1.1.1	32324
ENSMUSG00000026335	ENSMUSG00000100182	lincDivg	n.1.1	35783	ENSCAFG00845001601	ENSCAFG00845001779	lincDivg	1.1.1	27675
ENSMUSG00000026335	ENSMUSG00000100182	lincDivg	n.1.1	35783	ENSCAFG00845001601	ENSCAFG00845001857	lincDivg	1.1.1	84023
ENSMUSG00000026395	ENSMUSG00000098206	lincConv	1.1.1	92943	ENSCAFG00845023211	ENSCAFG00845022979	lincConv	1.1.1	17992
ENSMUSG00000026395	ENSMUSG00000098243	lincConv	n.1.1	53083	ENSCAFG00845023211	ENSCAFG00845022979	lincConv	1.1.1	17992
ENSMUSG00000026657	ENSMUSG00000102357	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016228	lncgSS.dw	1.1.1	4660
ENSMUSG00000026657	ENSMUSG00000102357	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016216	lncgSS.dw	1.1.1	1066
ENSMUSG00000026657	ENSMUSG00000086921	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016228	lncgSS.dw	1.1.1	4660
ENSMUSG00000026657	ENSMUSG00000086921	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016216	lncgSS.dw	1.1.1	1066
ENSMUSG00000026657	ENSMUSG00000102517	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016228	lncgSS.dw	1.1.1	4660
ENSMUSG00000026657	ENSMUSG00000102517	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016216	lncgSS.dw	1.1.1	1066
ENSMUSG00000026657	ENSMUSG00000102136	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016228	lncgSS.dw	1.1.1	4660
ENSMUSG00000026657	ENSMUSG00000102136	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016216	lncgSS.dw	1.1.1	1066
ENSMUSG00000026657	ENSMUSG00000102816	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016228	lncgSS.dw	1.1.1	4660
ENSMUSG00000026657	ENSMUSG00000102816	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016216	lncgSS.dw	1.1.1	1066
ENSMUSG00000026657	ENSMUSG00000102494	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016228	lncgSS.dw	1.1.1	4660
ENSMUSG00000026657	ENSMUSG00000102494	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016216	lncgSS.dw	1.1.1	1066
ENSMUSG00000026657	ENSMUSG00000104284	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016228	lncgSS.dw	1.1.1	4660
ENSMUSG00000026657	ENSMUSG00000104284	lncgSS.dw	1.1.1	0	ENSCAFG00845015450	ENSCAFG00845016216	lncgSS.dw	1.1.1	1066
ENSMUSG00000026735	ENSMUSG00000109733	lincSS.up	1.1.1	15220	ENSCAFG00845006739	ENSCAFG00845006763	lincSS.up	1.1.1	13725
ENSMUSG00000026766	ENSMUSG00000115545	lincDivg	1.1.1	83599	ENSCAFG00845007815	ENSCAFG00845007953	lincDivg	n.n.n	83984
ENSMUSG00000026766	ENSMUSG00000085862	lncgDivg	n.1.1	104	ENSCAFG00845007815	ENSCAFG00845007905	lncgDivg	1.1.1	138
ENSMUSG00000026917	ENSMUSG00000120033	lincConv	1.1.1	59124	ENSCAFG00845011994	ENSCAFG00845012067	lincConv	1.1.1	14003
ENSMUSG00000027011	ENSMUSG00000120236	lincConv	1.1.1	43201	ENSCAFG00845026988	ENSCAFG00845027055	lincConv	1.1.1	12761
ENSMUSG00000027011	ENSMUSG00000120236	lincConv	1.1.1	43201	ENSCAFG00845026988	ENSCAFG00845027042	lincConv	1.1.1	9398
ENSMUSG00000027011	ENSMUSG00000120236	lincConv	1.1.1	43201	ENSCAFG00845026988	ENSCAFG00845027064	lincConv	1.1.1	51007
ENSMUSG00000027111	ENSMUSG00000064263	lincSS.up	n.1.1	14640	ENSCAFG00845028626	ENSCAFG00845028545	lincSS.up	1.1.1	36084
ENSMUSG00000027111	ENSMUSG00000064263	lincSS.up	n.1.1	14640	ENSCAFG00845028626	ENSCAFG00845028553	lincSS.up	1.1.1	6701
ENSMUSG00000027200	ENSMUSG00000086954	lncgDivg	1.1.1	0	ENSCAFG00845018164	ENSCAFG00845018049	lncgDivg	1.1.1	2251
ENSMUSG00000027200	ENSMUSG00000085496	lncgDivg	1.1.1	0	ENSCAFG00845018164	ENSCAFG00845018049	lncgDivg	1.1.1	2251
ENSMUSG00000027346	ENSMUSG00000086379	lincConv	n.1.1	15180	ENSCAFG00845027927	ENSCAFG00845028099	lincConv	1.1.1	42257
ENSMUSG00000027506	ENSMUSG00000103116	lincDivg	1.1.1	57241	ENSCAFG00845014452	ENSCAFG00845014581	lincDivg	1.1.1	89558
ENSMUSG00000027508	ENSMUSG00000120107	lincDivg	1.1.1	19588	ENSCAFG00845014770	ENSCAFG00845014816	lincDivg	1.1.1	50967
ENSMUSG00000027508	ENSMUSG00000120107	lincDivg	1.1.1	19588	ENSCAFG00845014770	ENSCAFG00845014794	lincDivg	1.1.1	8329
ENSMUSG00000027508	ENSMUSG00000120107	lincDivg	1.1.1	19588	ENSCAFG00845014770	ENSCAFG00845014805	lincDivg	1.1.1	33701
ENSMUSG00000027508	ENSMUSG00000120107	lincDivg	1.1.1	19588	ENSCAFG00845014770	ENSCAFG00845014811	lincDivg	1.1.1	40583
ENSMUSG00000027508	ENSMUSG00000120107	lincDivg	1.1.1	19588	ENSCAFG00845014770	ENSCAFG00845014799	lincDivg	1.1.1	26692
ENSMUSG00000027782	ENSMUSG00000094763	lncgDivg	1.1.1	4120	ENSCAFG00845027853	ENSCAFG00845028107	lncgDivg	1.1.1	673
ENSMUSG00000027797	ENSMUSG00000106334	lincConv	1.1.1	39037	ENSCAFG00845028832	ENSCAFG00845029051	lincConv	1.1.1	6766
ENSMUSG00000027870	ENSMUSG00000085121	lincSS.up	1.1.1	44410	ENSCAFG00845006278	ENSCAFG00845006244	lincSS.up	1.1.1	25434
ENSMUSG00000027931	ENSMUSG00000087411	lncgDivg	1.1.1	0	ENSCAFG00845001483	ENSCAFG00845001682	lncgDivg	1.1.1	1228
ENSMUSG00000027978	ENSMUSG00000104960	lncgConv	n.1.1	948	ENSCAFG00845029625	ENSCAFG00845029601	lncgConv	1.1.1	435
ENSMUSG00000028266	ENSMUSG00000120269	lincConv	1.1.1	22730	ENSCAFG00845019328	ENSCAFG00845019278	lincConv	1.1.1	36880
ENSMUSG00000028266	ENSMUSG00000120269	lincConv	1.1.1	22730	ENSCAFG00845019328	ENSCAFG00845019300	lincConv	1.1.1	19753
ENSMUSG00000028266	ENSMUSG00000106367	lincSS.dw	1.1.1	52776	ENSCAFG00845019328	ENSCAFG00845019287	lincSS.dw	1.1.1	33119
ENSMUSG00000028266	ENSMUSG00000106367	lincSS.dw	1.1.1	52776	ENSCAFG00845019328	ENSCAFG00845019310	lincSS.dw	1.1.1	19753
ENSMUSG00000028284	ENSMUSG00000120487	lincDivg	1.1.1	86548	ENSCAFG00845008051	ENSCAFG00845008142	lincDivg	1.1.1	23533
ENSMUSG00000028300	ENSMUSG00000084828	lncgDivg	n.1.1	0	ENSCAFG00845018783	ENSCAFG00845018927	lncgDivg	n.1.1	1208
ENSMUSG00000028399	ENSMUSG00000092492	lncgDivg	n.n.1	0	ENSCAFG00845026437	ENSCAFG00845027822	lncgDivg	1.1.1	179
ENSMUSG00000028399	ENSMUSG00000110373	lncgDivg	1.1.1	0	ENSCAFG00845026437	ENSCAFG00845027822	lncgDivg	1.1.1	179
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845007606	lincDivg	1.1.1	86175
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845013530	lincDivg	1.1.1	36708
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845013538	lincDivg	1.1.1	7813
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845013519	lincDivg	1.1.1	58394
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845013523	lincDivg	1.1.1	45705
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845013510	lincDivg	1.1.1	64311
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845013503	lincDivg	1.1.1	79113
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845013537	lincDivg	1.1.1	24183
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845007595	lincDivg	1.1.1	98710
ENSMUSG00000028519	ENSMUSG00000087482	lincDivg	1.1.1	68677	ENSCAFG00845013616	ENSCAFG00845013508	lincDivg	1.1.1	77802
ENSMUSG00000028578	ENSMUSG00000087128	lincSS.dw	n.1.1	22843	ENSCAFG00845017294	ENSCAFG00845017261	lincSS.dw	1.1.1	36896
ENSMUSG00000028578	ENSMUSG00000087128	lincSS.dw	n.1.1	22843	ENSCAFG00845017294	ENSCAFG00845017276	lincSS.dw	1.1.1	9479
ENSMUSG00000028578	ENSMUSG00000085931	lincSS.dw	1.1.1	74493	ENSCAFG00845017294	ENSCAFG00845017261	lincSS.dw	1.1.1	36896
ENSMUSG00000028578	ENSMUSG00000085931	lincSS.dw	1.1.1	74493	ENSCAFG00845017294	ENSCAFG00845017276	lincSS.dw	1.1.1	9479
ENSMUSG00000028645	ENSMUSG00000086683	lncgDivg	1.1.1	0	ENSCAFG00845015278	ENSCAFG00845015237	lncgDivg	1.1.1	266
ENSMUSG00000028645	ENSMUSG00000120599	lncgSS.up	1.1.1	1382	ENSCAFG00845015278	ENSCAFG00845015225	lncgSS.up	1.1.1	259
ENSMUSG00000028792	ENSMUSG00000120256	lincConv	1.1.1	9690	ENSCAFG00845005127	ENSCAFG00845005161	lincConv	1.1.1	13767
ENSMUSG00000028898	ENSMUSG00000086290	lncgConv	n.1.1	312	ENSCAFG00845009934	ENSCAFG00845009830	lncgConv	1.1.1	27
ENSMUSG00000028909	ENSMUSG00000086856	lincSS.dw	1.1.1	57949	ENSCAFG00845007699	ENSCAFG00845007539	lincSS.dw	1.1.1	53696
ENSMUSG00000028909	ENSMUSG00000087171	lincSS.dw	n.1.1	90612	ENSCAFG00845007699	ENSCAFG00845007539	lincSS.dw	1.1.1	53696
ENSMUSG00000028911	ENSMUSG00000085667	lncgConv	n.n.n	0	ENSCAFG00845008307	ENSCAFG00845008353	lncgConv	1.1.1	4766
ENSMUSG00000028967	ENSMUSG00000085097	lincSS.up	1.1.1	14344	ENSCAFG00845027497	ENSCAFG00845027520	lincSS.up	n.1.1	44268
ENSMUSG00000028988	ENSMUSG00000086949	lncgConv	1.1.1	0	ENSCAFG00845029139	ENSCAFG00845029115	lncgConv	1.1.1	256
ENSMUSG00000029004	ENSMUSG00000120367	lncgSS.up	1.1.1	149	ENSCAFG00845028434	ENSCAFG00845028639	lncgSS.up	1.1.1	4427
ENSMUSG00000029111	ENSMUSG00000106688	lincSS.up	1.1.1	11167	ENSCAFG00845012841	ENSCAFG00845012817	lincSS.up	1.1.1	8638
ENSMUSG00000029595	ENSMUSG00000098649	lncgDivg	n.1.1	0	ENSCAFG00845024211	ENSCAFG00845024262	lncgDivg	1.1.1	490
ENSMUSG00000029641	ENSMUSG00000120797	lincConv	1.1.1	34891	ENSCAFG00845025821	ENSCAFG00845025799	lincConv	1.1.1	48400
ENSMUSG00000029648	ENSMUSG00000106845	lincDivg	1.1.1	19505	ENSCAFG00845023188	ENSCAFG00845022967	lincDivg	1.1.1	71573
ENSMUSG00000029648	ENSMUSG00000106845	lincDivg	1.1.1	19505	ENSCAFG00845023188	ENSCAFG00845022973	lincDivg	1.1.1	39024
ENSMUSG00000029757	ENSMUSG00000085416	lncgDivg	1.1.1	0	ENSCAFG00845021237	ENSCAFG00845021146	lncgDivg	n.n.n	74
ENSMUSG00000029822	ENSMUSG00000121037	lincSS.up	n.1.1	43348	ENSCAFG00845010396	ENSCAFG00845010698	lincSS.up	1.1.1	16303
ENSMUSG00000030269	ENSMUSG00000090194	lncgDivg	1.1.1	0	ENSCAFG00845009554	ENSCAFG00845009640	lncgDivg	1.1.1	222
ENSMUSG00000030279	ENSMUSG00000108094	lincSS.up	1.1.1	9073	ENSCAFG00845013960	ENSCAFG00845013844	lincSS.up	1.1.1	10230
ENSMUSG00000030283	ENSMUSG00000072683	lncgConv	n.n.1	0	ENSCAFG00845014219	ENSCAFG00845014259	lncgConv	1.1.1	2323
ENSMUSG00000030306	ENSMUSG00000108148	lncgDivg	1.1.1	0	ENSCAFG00845020800	ENSCAFG00845020623	lncgDivg	1.1.1	1211
ENSMUSG00000030549	ENSMUSG00000108616	lincConv	n.1.1	33330	ENSCAFG00845000295	ENSCAFG00845000264	lincConv	1.1.1	24965
ENSMUSG00000030549	ENSMUSG00000108373	lincSS.dw	n.1.1	14284	ENSCAFG00845000295	ENSCAFG00845000253	lincSS.dw	1.1.1	34105
ENSMUSG00000030610	ENSMUSG00000108603	lncgConv	1.1.1	884	ENSCAFG00845003631	ENSCAFG00845003620	lncgConv	1.1.1	132
ENSMUSG00000030629	ENSMUSG00000085236	lncgDivg	n.n.n	0	ENSCAFG00845005002	ENSCAFG00845005014	lncgDivg	1.1.1	4544
ENSMUSG00000030759	ENSMUSG00000084984	lncgDivg	n.1.1	0	ENSCAFG00845020980	ENSCAFG00845020891	lncgDivg	n.1.1	4239
ENSMUSG00000031077	ENSMUSG00000073778	lncgConv	1.1.1	0	ENSCAFG00845014582	ENSCAFG00845014571	lncgConv	1.1.1	2589
ENSMUSG00000031330	ENSMUSG00000086370	lincDivg	n.1.1	13632	ENSCAFG00845029957	ENSCAFG00845029920	lincDivg	n.1.1	11907
ENSMUSG00000031647	ENSMUSG00000109992	lincSS.dw	1.1.1	42562	ENSCAFG00845028385	ENSCAFG00845028348	lincSS.dw	1.1.1	11550
ENSMUSG00000031654	ENSMUSG00000097992	lncgSS.up	1.1.1	3446	ENSCAFG00845004446	ENSCAFG00845004438	lncgSS.up	1.1.1	636
ENSMUSG00000031672	ENSMUSG00000110634	lincDivg	1.1.1	22027	ENSCAFG00845001418	ENSCAFG00845001405	lincDivg	1.1.1	65246
ENSMUSG00000031826	ENSMUSG00000121139	lncgSS.dw	1.1.1	0	ENSCAFG00845004628	ENSCAFG00845004608	lncgSS.dw	1.1.1	15
ENSMUSG00000031871	ENSMUSG00000110053	lncgDivg	1.1.1	0	ENSCAFG00845012097	ENSCAFG00845012137	lncgDivg	n.1.1	839
ENSMUSG00000031965	ENSMUSG00000111275	lncgDivg	1.1.1	2164	ENSCAFG00845028609	ENSCAFG00845028651	lncgDivg	n.1.1	10285
ENSMUSG00000032009	ENSMUSG00000111803	lincSS.up	1.1.1	56884	ENSCAFG00845018942	ENSCAFG00845018902	lincSS.up	1.1.1	28374
ENSMUSG00000032011	ENSMUSG00000111637	lincDivg	1.1.1	63907	ENSCAFG00845014436	ENSCAFG00845014420	lincDivg	1.1.1	28458
ENSMUSG00000032011	ENSMUSG00000111758	lincDivg	n.1.1	73131	ENSCAFG00845014436	ENSCAFG00845014420	lincDivg	1.1.1	28458
ENSMUSG00000032036	ENSMUSG00000110925	lincSS.up	1.1.1	8838	ENSCAFG00845009016	ENSCAFG00845008967	lincSS.up	1.1.1	21961
ENSMUSG00000032036	ENSMUSG00000053889	lncgDivg	1.1.1	0	ENSCAFG00845009016	ENSCAFG00845008952	lncgDivg	n.1.1	2698
ENSMUSG00000032053	ENSMUSG00000111862	lncgSS.dw	1.1.1	0	ENSCAFG00845002603	ENSCAFG00845002623	lncgSS.dw	1.1.1	2415
ENSMUSG00000032098	ENSMUSG00000110755	lncgDivg	n.1.1	967	ENSCAFG00845001261	ENSCAFG00845001229	lncgDivg	1.1.1	164
ENSMUSG00000032178	ENSMUSG00000097665	lncgConv	1.1.1	0	ENSCAFG00845024192	ENSCAFG00845024033	lncgConv	1.1.1	148
ENSMUSG00000032249	ENSMUSG00000121050	lncgSS.dw	1.1.1	0	ENSCAFG00845019800	ENSCAFG00845019771	lncgSS.dw	1.1.1	2035
ENSMUSG00000032289	ENSMUSG00000111809	lincDivg	n.1.1	5167	ENSCAFG00845022941	ENSCAFG00845022886	lincDivg	1.1.1	38206
ENSMUSG00000032289	ENSMUSG00000111809	lincDivg	n.1.1	5167	ENSCAFG00845022941	ENSCAFG00845022908	lincDivg	1.1.1	24426
ENSMUSG00000032350	ENSMUSG00000111225	lincDivg	1.1.1	24256	ENSCAFG00845010300	ENSCAFG00845010420	lincDivg	n.n.n	12417
ENSMUSG00000032350	ENSMUSG00000111014	lincDivg	1.1.1	21267	ENSCAFG00845010300	ENSCAFG00845010420	lincDivg	n.n.n	12417
ENSMUSG00000032368	ENSMUSG00000101608	lincConv	1.1.1	17180	ENSCAFG00845021895	ENSCAFG00845021980	lincConv	1.1.1	91194
ENSMUSG00000032368	ENSMUSG00000101608	lincConv	1.1.1	17180	ENSCAFG00845021895	ENSCAFG00845021968	lincConv	1.1.1	27649
ENSMUSG00000032436	ENSMUSG00000052724	lncgDivg	1.1.1	0	ENSCAFG00845021847	ENSCAFG00845021917	lncgDivg	1.1.1	169
ENSMUSG00000032532	ENSMUSG00000110814	lincDivg	1.1.1	27881	ENSCAFG00845019239	ENSCAFG00845019292	lincDivg	1.1.1	10014
ENSMUSG00000032540	ENSMUSG00000111146	lincConv	n.1.1	54294	ENSCAFG00845020085	ENSCAFG00845020052	lincConv	1.1.1	55277
ENSMUSG00000032540	ENSMUSG00000111192	lincSS.dw	1.1.1	40612	ENSCAFG00845020085	ENSCAFG00845020062	lincSS.dw	1.1.1	55280
ENSMUSG00000032615	ENSMUSG00000084766	lincSS.dw	1.1.1	17406	ENSCAFG00845024249	ENSCAFG00845024153	lincSS.dw	1.1.1	29180
ENSMUSG00000032615	ENSMUSG00000084766	lincSS.dw	1.1.1	17406	ENSCAFG00845024249	ENSCAFG00845024165	lincSS.dw	1.1.1	10913
ENSMUSG00000032733	ENSMUSG00000111629	lncgDivg	1.1.1	3260	ENSCAFG00845020696	ENSCAFG00845020663	lncgDivg	1.1.1	292
ENSMUSG00000032841	ENSMUSG00000087465	lncgDivg	1.1.1	0	ENSCAFG00845020467	ENSCAFG00845020642	lncgDivg	1.1.1	1464
ENSMUSG00000032913	ENSMUSG00000022187	lincSS.dw	1.1.1	29805	ENSCAFG00845006193	ENSCAFG00845006164	lincSS.dw	1.1.1	8693
ENSMUSG00000032977	ENSMUSG00000112818	lincConv	1.1.1	15032	ENSCAFG00845021885	ENSCAFG00845021920	lincConv	1.1.1	7938
ENSMUSG00000033006	ENSMUSG00000075555	lncgDivg	n.n.n	7480	ENSCAFG00845005267	ENSCAFG00845005255	lncgDivg	1.1.1	1473
ENSMUSG00000033014	ENSMUSG00000104925	lncgSS.dw	1.1.1	0	ENSCAFG00845024048	ENSCAFG00845023999	lncgSS.dw	1.1.1	2234
ENSMUSG00000033060	ENSMUSG00000053821	lncgDivg	n.1.1	142	ENSCAFG00845025227	ENSCAFG00845025097	lncgDivg	1.1.1	922
ENSMUSG00000033102	ENSMUSG00000097101	lncgDivg	n.n.1	0	ENSCAFG00845003296	ENSCAFG00845003214	lncgDivg	n.1.1	433
ENSMUSG00000033214	ENSMUSG00000120285	lncgDivg	n.1.1	262	ENSCAFG00845006790	ENSCAFG00845006662	lncgDivg	n.1.1	336
ENSMUSG00000033228	ENSMUSG00000120309	lncgSS.up	n.1.1	11700	ENSCAFG00845027751	ENSCAFG00845027696	lncgSS.up	1.1.1	1666
ENSMUSG00000033287	ENSMUSG00000115854	lncgDivg	1.1.1	4371	ENSCAFG00845007741	ENSCAFG00845007826	lncgDivg	1.1.1	261
ENSMUSG00000033323	ENSMUSG00000120406	lncgDivg	1.1.1	429	ENSCAFG00845000045	ENSCAFG00845000055	lncgDivg	1.1.1	631
ENSMUSG00000033323	ENSMUSG00000118070	lncgDivg	1.1.1	0	ENSCAFG00845000045	ENSCAFG00845000055	lncgDivg	1.1.1	631
ENSMUSG00000033352	ENSMUSG00000120678	lincSS.dw	n.1.1	38391	ENSCAFG00845003515	ENSCAFG00845003575	lincSS.dw	1.1.1	38755
ENSMUSG00000033352	ENSMUSG00000120678	lincSS.dw	n.1.1	38391	ENSCAFG00845003515	ENSCAFG00845003570	lincSS.dw	1.1.1	31623
ENSMUSG00000033499	ENSMUSG00000113543	lincDivg	n.n.n	17460	ENSCAFG00845000398	ENSCAFG00845000368	lincDivg	1.1.1	21159
ENSMUSG00000033510	ENSMUSG00000108421	lincSS.dw	1.1.1	6846	ENSCAFG00845020217	ENSCAFG00845020598	lincSS.dw	1.1.1	15898
ENSMUSG00000033722	ENSMUSG00000120842	lncgDivg	1.1.1	138	ENSCAFG00845002551	ENSCAFG00845002528	lncgDivg	1.1.1	1635
ENSMUSG00000033722	ENSMUSG00000103670	lncgDivg	1.1.1	0	ENSCAFG00845002551	ENSCAFG00845002528	lncgDivg	1.1.1	1635
ENSMUSG00000033960	ENSMUSG00000117521	lincSS.up	1.1.1	18814	ENSCAFG00845011470	ENSCAFG00845011525	lincSS.up	1.1.1	21217
ENSMUSG00000033960	ENSMUSG00000117521	lincSS.up	1.1.1	18814	ENSCAFG00845011470	ENSCAFG00845011508	lincSS.up	1.1.1	18237
