PCG.Canis_lupus_familiaris	lncRNA.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	PCG.Homo_sapiens	lncRNA.Homo_sapiens	conf.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens
ENSCAFG00845004226	ENSCAFG00845004340	lncgDivg	1.1.1	435	ENSG00000182901	ENSG00000286496	lncgDivg	n.n.1	0
ENSCAFG00845004237	ENSCAFG00845004244	lincDivg	1.1.1	7475	ENSG00000143333	ENSG00000261504	lincDivg	1.1.1	10865
ENSCAFG00845004280	ENSCAFG00845004265	lincSS.dw	1.1.1	18411	ENSG00000131143	ENSG00000286510	lincSS.dw	1.1.1	39241
ENSCAFG00845004289	ENSCAFG00845004287	lincSS.dw	1.1.1	5260	ENSG00000169515	ENSG00000269151	lincSS.dw	n.n.n	6053
ENSCAFG00845004370	ENSCAFG00845004358	lincSS.dw	1.1.1	48089	ENSG00000125378	ENSG00000235269	lincSS.dw	1.1.1	98854
ENSCAFG00845004370	ENSCAFG00845004350	lincSS.dw	1.1.1	58095	ENSG00000125378	ENSG00000235269	lincSS.dw	1.1.1	98854
ENSCAFG00845004446	ENSCAFG00845004434	lncgDivg	1.1.1	236	ENSG00000102924	ENSG00000279249	lncgDivg	n.n.n	1829
ENSCAFG00845004496	ENSCAFG00845004453	lincDivg	1.1.1	25187	ENSG00000182985	ENSG00000255689	lincDivg	n.1.1	77326
ENSCAFG00845004496	ENSCAFG00845004447	lincDivg	1.1.1	65947	ENSG00000182985	ENSG00000255689	lincDivg	n.1.1	77326
ENSCAFG00845004496	ENSCAFG00845004450	lincDivg	1.1.1	40240	ENSG00000182985	ENSG00000255689	lincDivg	n.1.1	77326
ENSCAFG00845004496	ENSCAFG00845004442	lincDivg	1.1.1	72090	ENSG00000182985	ENSG00000255689	lincDivg	n.1.1	77326
ENSCAFG00845004496	ENSCAFG00845004457	lincDivg	1.1.1	19399	ENSG00000182985	ENSG00000255689	lincDivg	n.1.1	77326
ENSCAFG00845004496	ENSCAFG00845004437	lincDivg	1.1.1	90195	ENSG00000182985	ENSG00000255689	lincDivg	n.1.1	77326
ENSCAFG00845004496	ENSCAFG00845004463	lincSS.up	1.1.1	10748	ENSG00000182985	ENSG00000256281	lincSS.up	1.1.1	27365
ENSCAFG00845004496	ENSCAFG00845004406	lincSS.up	n.1.1	73424	ENSG00000182985	ENSG00000256281	lincSS.up	1.1.1	27365
ENSCAFG00845004496	ENSCAFG00845004445	lincSS.up	1.1.1	64348	ENSG00000182985	ENSG00000256281	lincSS.up	1.1.1	27365
ENSCAFG00845004496	ENSCAFG00845004460	lincSS.up	1.1.1	19383	ENSG00000182985	ENSG00000256281	lincSS.up	1.1.1	27365
ENSCAFG00845004594	ENSCAFG00845004586	lincConv	1.1.1	15652	ENSG00000189348	ENSG00000290987	lincConv	1.1.1	17175
ENSCAFG00845004605	ENSCAFG00845004596	lincSS.dw	1.1.1	13044	ENSG00000103196	ENSG00000260340	lincSS.dw	1.1.1	7585
ENSCAFG00845004692	ENSCAFG00845004685	lncgDivg	1.1.1	1210	ENSG00000101558	ENSG00000272799	lncgDivg	1.1.1	1167
ENSCAFG00845004801	ENSCAFG00845004766	lncgConv	1.1.1	439	ENSG00000109790	ENSG00000249207	lncgConv	n.n.1	0
ENSCAFG00845004832	ENSCAFG00845004812	lincDivg	1.1.1	59734	ENSG00000141404	ENSG00000260759	lincDivg	1.1.1	19099
ENSCAFG00845004834	ENSCAFG00845004795	lncgSS.up	1.1.1	2834	ENSG00000172260	ENSG00000228853	lncgSS.up	1.1.1	0
ENSCAFG00845004882	ENSCAFG00845004897	lincDivg	n.1.1	80553	ENSG00000112494	ENSG00000231720	lincDivg	1.1.1	30689
ENSCAFG00845004882	ENSCAFG00845004902	lincSS.up	1.1.1	90976	ENSG00000112494	ENSG00000280707	lincSS.up	n.1.1	33652
ENSCAFG00845004882	ENSCAFG00845004902	lincSS.up	1.1.1	90976	ENSG00000112494	ENSG00000228648	lincSS.up	1.1.1	25253
ENSCAFG00845004992	ENSCAFG00845004978	lncgSS.dw	1.1.1	1205	ENSG00000164574	ENSG00000287695	lncgSS.dw	1.1.1	0
ENSCAFG00845004996	ENSCAFG00845004944	lncgDivg	n.1.1	1526	ENSG00000172379	ENSG00000287813	lncgDivg	1.1.1	0
ENSCAFG00845004996	ENSCAFG00845004944	lncgDivg	n.1.1	1526	ENSG00000172379	ENSG00000259175	lncgDivg	1.1.1	0
ENSCAFG00845004996	ENSCAFG00845004944	lncgDivg	n.1.1	1526	ENSG00000172379	ENSG00000258010	lncgDivg	n.n.1	0
ENSCAFG00845004996	ENSCAFG00845004944	lncgDivg	n.1.1	1526	ENSG00000172379	ENSG00000270919	lncgDivg	1.1.1	0
ENSCAFG00845004996	ENSCAFG00845004944	lncgDivg	n.1.1	1526	ENSG00000172379	ENSG00000259495	lncgDivg	n.1.1	136
ENSCAFG00845005032	ENSCAFG00845005037	lncgSS.dw	1.1.1	1076	ENSG00000136371	ENSG00000259548	lncgSS.dw	1.1.1	31
ENSCAFG00845005055	ENSCAFG00845005031	lincConv	1.1.1	26191	ENSG00000155511	ENSG00000251183	lincConv	1.1.1	73559
ENSCAFG00845005055	ENSCAFG00845005040	lincConv	1.1.1	18172	ENSG00000155511	ENSG00000251183	lincConv	1.1.1	73559
ENSCAFG00845005265	ENSCAFG00845005394	lncgDivg	n.1.1	235	ENSG00000135541	ENSG00000231028	lncgDivg	n.n.1	0
ENSCAFG00845005265	ENSCAFG00845005394	lncgDivg	n.1.1	235	ENSG00000135541	ENSG00000287094	lncgDivg	1.1.1	0
ENSCAFG00845005265	ENSCAFG00845005394	lncgDivg	n.1.1	235	ENSG00000135541	ENSG00000234084	lncgDivg	1.1.1	0
ENSCAFG00845005305	ENSCAFG00845005282	lincConv	1.1.1	34459	ENSG00000196670	ENSG00000245060	lincConv	n.1.1	11874
ENSCAFG00845005305	ENSCAFG00845028395	lincConv	1.1.1	47521	ENSG00000196670	ENSG00000245060	lincConv	n.1.1	11874
ENSCAFG00845005305	ENSCAFG00845005279	lincSS.dw	1.1.1	34519	ENSG00000196670	ENSG00000286128	lincSS.dw	n.1.1	11885
ENSCAFG00845005305	ENSCAFG00845005288	lincSS.dw	1.1.1	25471	ENSG00000196670	ENSG00000286128	lincSS.dw	n.1.1	11885
ENSCAFG00845005305	ENSCAFG00845005272	lincSS.dw	1.1.1	40166	ENSG00000196670	ENSG00000286128	lincSS.dw	n.1.1	11885
ENSCAFG00845005385	ENSCAFG00845005375	lncgDivg	1.1.1	1717	ENSG00000108984	ENSG00000267653	lncgDivg	1.1.1	0
ENSCAFG00845005395	ENSCAFG00845005386	lncgSS.dw	1.1.1	1796	ENSG00000146054	ENSG00000248473	lncgSS.dw	n.1.1	2072
ENSCAFG00845005421	ENSCAFG00845005407	lincSS.up	1.1.1	65457	ENSG00000153822	ENSG00000237560	lincSS.up	n.1.1	58584
ENSCAFG00845005421	ENSCAFG00845005413	lincSS.up	1.1.1	51959	ENSG00000153822	ENSG00000237560	lincSS.up	n.1.1	58584
ENSCAFG00845005421	ENSCAFG00845005399	lincSS.up	n.1.1	80617	ENSG00000153822	ENSG00000237560	lincSS.up	n.1.1	58584
ENSCAFG00845005439	ENSCAFG00845005450	lincSS.dw	1.1.1	19046	ENSG00000123700	ENSG00000289371	lincSS.dw	1.1.1	11199
ENSCAFG00845005513	ENSCAFG00845005650	lncgDivg	n.1.1	2264	ENSG00000092421	ENSG00000249167	lncgDivg	n.n.1	0
ENSCAFG00845005513	ENSCAFG00845005650	lncgDivg	n.1.1	2264	ENSG00000092421	ENSG00000248445	lncgDivg	n.n.1	0
ENSCAFG00845005598	ENSCAFG00845005548	lncgDivg	1.1.1	131	ENSG00000165119	ENSG00000235298	lncgDivg	1.1.1	0
ENSCAFG00845005700	ENSCAFG00845005687	lncgDivg	1.1.1	786	ENSG00000074590	ENSG00000257438	lncgDivg	1.1.1	0
ENSCAFG00845005752	ENSCAFG00845005712	lincConv	1.1.1	12102	ENSG00000139289	ENSG00000257329	lincConv	1.1.1	58385
ENSCAFG00845005752	ENSCAFG00845027451	lincConv	1.1.1	54184	ENSG00000139289	ENSG00000257329	lincConv	1.1.1	58385
ENSCAFG00845005783	ENSCAFG00845029579	lncgDivg	n.1.1	258	ENSG00000183508	ENSG00000236866	lncgDivg	n.1.1	278
ENSCAFG00845005837	ENSCAFG00845005811	lincConv	1.1.1	58482	ENSG00000170860	ENSG00000255021	lincConv	1.1.1	71251
ENSCAFG00845005837	ENSCAFG00845005801	lincConv	1.1.1	87397	ENSG00000170860	ENSG00000255021	lincConv	1.1.1	71251
ENSCAFG00845005933	ENSCAFG00845006085	lncgSS.dw	1.1.1	726	ENSG00000162852	ENSG00000225300	lncgSS.dw	1.1.1	0
ENSCAFG00845005948	ENSCAFG00845005963	lincDivg	1.1.1	31831	ENSG00000157570	ENSG00000255079	lincDivg	1.1.1	30164
ENSCAFG00845005970	ENSCAFG00845005912	lincConv	n.1.1	17852	ENSG00000125629	ENSG00000226856	lincConv	n.1.1	21131
ENSCAFG00845006185	ENSCAFG00845006155	lincDivg	1.1.1	26288	ENSG00000198894	ENSG00000258473	lincDivg	1.1.1	11669
ENSCAFG00845006185	ENSCAFG00845006155	lincDivg	1.1.1	26288	ENSG00000198894	ENSG00000258819	lincDivg	n.1.1	21734
ENSCAFG00845006185	ENSCAFG00845006096	lincSS.up	1.1.1	62337	ENSG00000198894	ENSG00000287004	lincSS.up	1.1.1	12149
ENSCAFG00845006185	ENSCAFG00845006141	lincSS.up	n.1.1	26816	ENSG00000198894	ENSG00000287004	lincSS.up	1.1.1	12149
ENSCAFG00845006185	ENSCAFG00845006121	lincSS.up	n.1.1	51105	ENSG00000198894	ENSG00000287004	lincSS.up	1.1.1	12149
ENSCAFG00845006185	ENSCAFG00845006110	lincSS.up	1.1.1	61009	ENSG00000198894	ENSG00000287004	lincSS.up	1.1.1	12149
ENSCAFG00845006239	ENSCAFG00845006280	lncgDivg	n.1.1	126	ENSG00000177108	ENSG00000269883	lncgDivg	1.1.1	0
ENSCAFG00845006249	ENSCAFG00845006552	lncgDivg	1.1.1	288	ENSG00000091039	ENSG00000257526	lncgDivg	n.1.1	2485
ENSCAFG00845006278	ENSCAFG00845006244	lincSS.up	1.1.1	25434	ENSG00000116882	ENSG00000232650	lincSS.up	n.1.1	12597
ENSCAFG00845006283	ENSCAFG00845006263	lncgConv	1.1.1	538	ENSG00000182771	ENSG00000234942	lncgConv	n.1.1	0
ENSCAFG00845006344	ENSCAFG00845006107	lncgConv	1.1.1	3628	ENSG00000175497	ENSG00000287451	lncgConv	1.1.1	0
ENSCAFG00845006393	ENSCAFG00845006535	lncgDivg	1.1.1	2546	ENSG00000062650	ENSG00000227896	lncgDivg	1.1.1	153
ENSCAFG00845006468	ENSCAFG00845006428	lncgSS.dw	1.1.1	2321	ENSG00000171310	ENSG00000289557	lncgSS.dw	1.1.1	0
ENSCAFG00845006469	ENSCAFG00845026686	lncgSS.dw	1.1.1	1592	ENSG00000141568	ENSG00000262652	lncgSS.dw	1.1.1	0
ENSCAFG00845006509	ENSCAFG00845006696	lncgSS.up	1.1.1	3170	ENSG00000136279	ENSG00000235314	lncgSS.up	n.1.1	2334
ENSCAFG00845006563	ENSCAFG00845006507	lncgSS.dw	1.1.1	3424	ENSG00000141562	ENSG00000266236	lncgSS.dw	1.1.1	0
ENSCAFG00845006622	ENSCAFG00845006543	lincSS.dw	n.1.1	51562	ENSG00000115091	ENSG00000234199	lincSS.dw	n.1.1	16272
ENSCAFG00845006622	ENSCAFG00845006543	lincSS.dw	n.1.1	51562	ENSG00000115091	ENSG00000243179	lincSS.dw	1.1.1	17313
ENSCAFG00845006703	ENSCAFG00845006565	lncgDivg	1.1.1	1241	ENSG00000048052	ENSG00000225000	lncgDivg	1.1.1	0
ENSCAFG00845006703	ENSCAFG00845006565	lncgDivg	1.1.1	1241	ENSG00000048052	ENSG00000226522	lncgDivg	1.1.1	0
ENSCAFG00845006790	ENSCAFG00845006737	lincDivg	1.1.1	20733	ENSG00000165300	ENSG00000272515	lincDivg	1.1.1	62137
ENSCAFG00845006844	ENSCAFG00845004860	lincSS.up	1.1.1	5336	ENSG00000186496	ENSG00000275512	lincSS.up	1.1.1	26659
ENSCAFG00845006897	ENSCAFG00845007072	lincDivg	n.1.1	35013	ENSG00000165891	ENSG00000286476	lincDivg	1.1.1	63609
ENSCAFG00845007046	ENSCAFG00845006899	lncgDivg	n.n.n	1456	ENSG00000196781	ENSG00000233926	lncgDivg	n.1.1	166
ENSCAFG00845007046	ENSCAFG00845006972	lncgDivg	1.1.1	78	ENSG00000196781	ENSG00000233926	lncgDivg	n.1.1	166
ENSCAFG00845007061	ENSCAFG00845007096	lncgDivg	1.1.1	2531	ENSG00000197050	ENSG00000267345	lncgDivg	n.n.1	0
ENSCAFG00845007185	ENSCAFG00845006895	lncgConv	1.1.1	396	ENSG00000110075	ENSG00000260808	lncgConv	n.n.1	0
ENSCAFG00845007199	ENSCAFG00845006996	lncgSS.dw	1.1.1	564	ENSG00000073146	ENSG00000280395	lncgSS.dw	1.1.1	0
ENSCAFG00845007215	ENSCAFG00845007340	lncgSS.dw	1.1.1	397	ENSG00000155792	ENSG00000254343	lncgSS.dw	n.n.n	1262
ENSCAFG00845007558	ENSCAFG00845007584	lncgConv	1.1.1	1676	ENSG00000188227	ENSG00000180458	lncgConv	1.1.1	0
ENSCAFG00845007651	ENSCAFG00845007585	lincSS.up	1.1.1	11679	ENSG00000067715	ENSG00000257948	lincSS.up	n.1.1	54998
ENSCAFG00845007651	ENSCAFG00845007600	lncgDivg	1.1.1	1238	ENSG00000067715	ENSG00000257191	lncgDivg	1.1.1	0
ENSCAFG00845007815	ENSCAFG00845007905	lncgDivg	1.1.1	138	ENSG00000168288	ENSG00000231969	lncgDivg	n.n.1	0
ENSCAFG00845007821	ENSCAFG00845007874	lincSS.dw	n.1.1	35573	ENSG00000109606	ENSG00000289201	lincSS.dw	n.1.1	44490
ENSCAFG00845007821	ENSCAFG00845007915	lincSS.dw	1.1.1	66646	ENSG00000109606	ENSG00000289201	lincSS.dw	n.1.1	44490
ENSCAFG00845007911	ENSCAFG00845007886	lncgConv	1.1.1	2009	ENSG00000257727	ENSG00000257303	lncgConv	n.1.n	0
ENSCAFG00845008127	ENSCAFG00845008240	lncgSS.dw	1.1.1	2113	ENSG00000021645	ENSG00000258419	lncgSS.dw	1.1.1	0
ENSCAFG00845008171	ENSCAFG00845008214	lincDivg	1.1.1	72032	ENSG00000115963	ENSG00000237220	lincDivg	1.1.1	27123
ENSCAFG00845008171	ENSCAFG00845008214	lincDivg	1.1.1	72032	ENSG00000115963	ENSG00000224048	lincDivg	n.1.1	73370
ENSCAFG00845008171	ENSCAFG00845008226	lincDivg	1.1.1	80194	ENSG00000115963	ENSG00000237220	lincDivg	1.1.1	27123
ENSCAFG00845008171	ENSCAFG00845008226	lincDivg	1.1.1	80194	ENSG00000115963	ENSG00000224048	lincDivg	n.1.1	73370
ENSCAFG00845008307	ENSCAFG00845008356	lncgSS.dw	1.1.1	4767	ENSG00000116350	ENSG00000225750	lncgSS.dw	1.1.1	749
ENSCAFG00845008307	ENSCAFG00845008348	lncgSS.dw	1.1.1	2318	ENSG00000116350	ENSG00000225750	lncgSS.dw	1.1.1	749
ENSCAFG00845008311	ENSCAFG00845008707	lincSS.dw	1.1.1	7394	ENSG00000109819	ENSG00000251292	lincSS.dw	1.1.1	21462
ENSCAFG00845008402	ENSCAFG00845008346	lincSS.dw	1.1.1	10946	ENSG00000196814	ENSG00000233721	lincSS.dw	1.1.1	9376
ENSCAFG00845008402	ENSCAFG00845008346	lincSS.dw	1.1.1	10946	ENSG00000196814	ENSG00000226078	lincSS.dw	1.1.1	20577
ENSCAFG00845008549	ENSCAFG00845008529	lncgDivg	1.1.1	112	ENSG00000014123	ENSG00000233797	lncgDivg	n.n.1	0
ENSCAFG00845008553	ENSCAFG00845008574	lncgConv	1.1.1	1750	ENSG00000164932	ENSG00000266289	lncgConv	1.1.1	89
ENSCAFG00845008598	ENSCAFG00845008636	lincSS.up	1.1.1	5433	ENSG00000170961	ENSG00000254209	lincSS.up	n.1.1	27494
ENSCAFG00845008786	ENSCAFG00845008771	lncgSS.dw	1.1.1	261	ENSG00000175591	ENSG00000260401	lncgSS.dw	1.1.1	0
ENSCAFG00845008865	ENSCAFG00845009050	lincSS.dw	1.1.1	11816	ENSG00000165061	ENSG00000272479	lincSS.dw	1.1.1	10432
ENSCAFG00845008865	ENSCAFG00845009060	lincSS.dw	1.1.1	20567	ENSG00000165061	ENSG00000272479	lincSS.dw	1.1.1	10432
ENSCAFG00845008994	ENSCAFG00845009075	lincSS.up	1.1.1	5786	ENSG00000118418	ENSG00000286042	lincSS.up	n.1.1	72980
ENSCAFG00845008994	ENSCAFG00845009084	lincSS.up	1.1.1	41473	ENSG00000118418	ENSG00000286042	lincSS.up	n.1.1	72980
ENSCAFG00845009016	ENSCAFG00845008952	lncgDivg	n.1.1	2698	ENSG00000149571	ENSG00000255317	lncgDivg	1.1.1	0
ENSCAFG00845009016	ENSCAFG00845008952	lncgDivg	n.1.1	2698	ENSG00000149571	ENSG00000257271	lncgDivg	1.1.1	0
ENSCAFG00845009016	ENSCAFG00845008952	lncgDivg	n.1.1	2698	ENSG00000149571	ENSG00000254607	lncgDivg	n.1.1	0
ENSCAFG00845009016	ENSCAFG00845008952	lncgDivg	n.1.1	2698	ENSG00000149571	ENSG00000254960	lncgDivg	n.1.1	0
ENSCAFG00845009016	ENSCAFG00845008952	lncgDivg	n.1.1	2698	ENSG00000149571	ENSG00000218109	lncgDivg	1.1.1	0
ENSCAFG00845009080	ENSCAFG00845008854	lincSS.dw	n.1.1	54617	ENSG00000107186	ENSG00000285637	lincSS.dw	n.1.1	71380
ENSCAFG00845009185	ENSCAFG00845009160	lincSS.up	1.1.1	32128	ENSG00000144057	ENSG00000286218	lincSS.up	n.1.1	46631
ENSCAFG00845009185	ENSCAFG00845009065	lincSS.up	1.1.1	36970	ENSG00000144057	ENSG00000286218	lincSS.up	n.1.1	46631
ENSCAFG00845009185	ENSCAFG00845009167	lincSS.up	1.1.1	10528	ENSG00000144057	ENSG00000286218	lincSS.up	n.1.1	46631
ENSCAFG00845009198	ENSCAFG00845009239	lincConv	1.1.1	10428	ENSG00000176165	ENSG00000257056	lincConv	n.1.1	12632
ENSCAFG00845009198	ENSCAFG00845009239	lincConv	1.1.1	10428	ENSG00000176165	ENSG00000257748	lincConv	n.1.1	29807
ENSCAFG00845009198	ENSCAFG00845009249	lincSS.dw	n.1.1	16895	ENSG00000176165	ENSG00000258038	lincSS.dw	n.1.1	59604
ENSCAFG00845009198	ENSCAFG00845009182	lncgDivg	1.1.1	1865	ENSG00000176165	ENSG00000257126	lncgDivg	n.n.1	0
ENSCAFG00845009198	ENSCAFG00845009216	lncgSS.dw	1.1.1	349	ENSG00000176165	ENSG00000186960	lncgSS.dw	n.n.1	0
ENSCAFG00845009258	ENSCAFG00845009202	lincDivg	1.1.1	9082	ENSG00000133112	ENSG00000228886	lincDivg	1.1.1	9039
ENSCAFG00845009258	ENSCAFG00845009220	lncgDivg	1.1.1	2500	ENSG00000133112	ENSG00000273149	lncgDivg	1.1.1	0
ENSCAFG00845009366	ENSCAFG00845009290	lncgConv	1.1.1	2237	ENSG00000017427	ENSG00000283052	lncgConv	n.n.1	0
ENSCAFG00845009366	ENSCAFG00845009290	lncgConv	1.1.1	2237	ENSG00000017427	ENSG00000281344	lncgConv	1.1.1	0
ENSCAFG00845009556	ENSCAFG00845009426	lncgDivg	1.1.1	981	ENSG00000115306	ENSG00000234943	lncgDivg	1.1.1	0
ENSCAFG00845009556	ENSCAFG00845009426	lncgDivg	1.1.1	981	ENSG00000115306	ENSG00000228108	lncgDivg	1.1.1	0
ENSCAFG00845009632	ENSCAFG00845009605	lncgDivg	1.1.1	1903	ENSG00000105875	ENSG00000231794	lncgDivg	n.n.1	0
ENSCAFG00845009708	ENSCAFG00845009770	lincSS.dw	1.1.1	28671	ENSG00000167186	ENSG00000260430	lincSS.dw	1.1.1	6736
ENSCAFG00845009729	ENSCAFG00845009935	lncgDivg	1.1.1	104	ENSG00000124772	ENSG00000285888	lncgDivg	1.1.1	0
ENSCAFG00845009729	ENSCAFG00845009947	lncgSS.up	1.1.1	4220	ENSG00000124772	ENSG00000287891	lncgSS.up	n.1.1	1986
ENSCAFG00845009733	ENSCAFG00845009674	lncgDivg	1.1.1	16	ENSG00000102804	ENSG00000278156	lncgDivg	n.n.1	0
ENSCAFG00845009846	ENSCAFG00845009917	lncgDivg	n.1.1	538	ENSG00000135972	ENSG00000224509	lncgDivg	n.n.1	0
ENSCAFG00845009872	ENSCAFG00845009755	lincDivg	1.1.1	62686	ENSG00000136011	ENSG00000286197	lincDivg	1.1.1	15936
ENSCAFG00845009872	ENSCAFG00845009782	lincSS.up	1.1.1	60461	ENSG00000136011	ENSG00000257762	lincSS.up	n.1.1	12835
ENSCAFG00845009872	ENSCAFG00845009800	lincSS.up	1.1.1	44066	ENSG00000136011	ENSG00000257762	lincSS.up	n.1.1	12835
ENSCAFG00845009934	ENSCAFG00845009830	lncgConv	1.1.1	27	ENSG00000180098	ENSG00000197989	lncgConv	n.n.1	0
ENSCAFG00845010033	ENSCAFG00845009866	lincDivg	1.1.1	76789	ENSG00000114541	ENSG00000241667	lincDivg	1.1.1	48758
ENSCAFG00845010033	ENSCAFG00845009890	lincDivg	1.1.1	69901	ENSG00000114541	ENSG00000241667	lincDivg	1.1.1	48758
ENSCAFG00845010033	ENSCAFG00845009910	lincDivg	1.1.1	11550	ENSG00000114541	ENSG00000241667	lincDivg	1.1.1	48758
ENSCAFG00845010033	ENSCAFG00845009900	lincDivg	1.1.1	18731	ENSG00000114541	ENSG00000241667	lincDivg	1.1.1	48758
ENSCAFG00845010033	ENSCAFG00845009880	lincSS.up	1.1.1	69901	ENSG00000114541	ENSG00000240842	lincSS.up	1.1.1	21523
ENSCAFG00845010033	ENSCAFG00845009854	lincSS.up	1.1.1	76789	ENSG00000114541	ENSG00000240842	lincSS.up	1.1.1	21523
ENSCAFG00845010071	ENSCAFG00845010130	lincDivg	n.1.1	37151	ENSG00000177706	ENSG00000232325	lincDivg	1.1.1	96888
ENSCAFG00845010071	ENSCAFG00845010130	lincDivg	n.1.1	37151	ENSG00000177706	ENSG00000287883	lincDivg	1.1.1	60537
ENSCAFG00845010071	ENSCAFG00845010130	lincDivg	n.1.1	37151	ENSG00000177706	ENSG00000261795	lincDivg	1.1.1	27599
ENSCAFG00845010071	ENSCAFG00845010130	lincDivg	n.1.1	37151	ENSG00000177706	ENSG00000242474	lincDivg	n.1.1	43044
ENSCAFG00845010088	ENSCAFG00845010045	lncgSS.dw	1.1.1	125	ENSG00000180198	ENSG00000242125	lncgSS.dw	n.n.1	0
ENSCAFG00845010164	ENSCAFG00845010257	lincSS.dw	1.1.1	66802	ENSG00000119900	ENSG00000230597	lincSS.dw	1.1.1	19883
ENSCAFG00845010164	ENSCAFG00845010245	lincSS.dw	1.1.1	43961	ENSG00000119900	ENSG00000230597	lincSS.dw	1.1.1	19883
ENSCAFG00845010164	ENSCAFG00845010224	lincSS.dw	1.1.1	32174	ENSG00000119900	ENSG00000230597	lincSS.dw	1.1.1	19883
ENSCAFG00845010164	ENSCAFG00845010279	lincSS.dw	1.1.1	96713	ENSG00000119900	ENSG00000230597	lincSS.dw	1.1.1	19883
ENSCAFG00845010164	ENSCAFG00845010265	lincSS.dw	1.1.1	81093	ENSG00000119900	ENSG00000230597	lincSS.dw	1.1.1	19883
ENSCAFG00845010164	ENSCAFG00845010213	lincSS.dw	1.1.1	22661	ENSG00000119900	ENSG00000230597	lincSS.dw	1.1.1	19883
ENSCAFG00845010164	ENSCAFG00845010228	lincSS.dw	1.1.1	39287	ENSG00000119900	ENSG00000230597	lincSS.dw	1.1.1	19883
ENSCAFG00845010369	ENSCAFG00845010484	lincSS.up	1.1.1	23574	ENSG00000148516	ENSG00000272381	lincSS.up	n.1.1	56585
ENSCAFG00845010369	ENSCAFG00845010519	lincSS.up	1.1.1	69469	ENSG00000148516	ENSG00000272381	lincSS.up	n.1.1	56585
ENSCAFG00845010369	ENSCAFG00845010508	lincSS.up	1.1.1	55856	ENSG00000148516	ENSG00000272381	lincSS.up	n.1.1	56585
ENSCAFG00845010369	ENSCAFG00845010528	lincSS.up	1.1.1	96787	ENSG00000148516	ENSG00000272381	lincSS.up	n.1.1	56585
ENSCAFG00845010369	ENSCAFG00845010497	lincSS.up	1.1.1	41461	ENSG00000148516	ENSG00000272381	lincSS.up	n.1.1	56585
ENSCAFG00845010390	ENSCAFG00845010438	lncgDivg	1.1.1	699	ENSG00000060558	ENSG00000267551	lncgDivg	1.1.1	0
ENSCAFG00845010412	ENSCAFG00845010450	lincSS.dw	1.1.1	7434	ENSG00000150540	ENSG00000224231	lincSS.dw	1.1.1	85514
ENSCAFG00845010412	ENSCAFG00845010463	lincSS.dw	1.1.1	49013	ENSG00000150540	ENSG00000224231	lincSS.dw	1.1.1	85514
ENSCAFG00845010452	ENSCAFG00845010409	lncgDivg	1.1.1	589	ENSG00000146242	ENSG00000286875	lncgDivg	1.1.1	0
ENSCAFG00845010523	ENSCAFG00845010490	lncgSS.dw	1.1.1	555	ENSG00000172831	ENSG00000265408	lncgSS.dw	1.1.1	0
ENSCAFG00845010533	ENSCAFG00845010449	lncgDivg	n.1.1	1474	ENSG00000112715	ENSG00000272114	lncgDivg	1.1.1	0
ENSCAFG00845010679	ENSCAFG00845010700	lincSS.up	1.1.1	5335	ENSG00000164442	ENSG00000238099	lincSS.up	n.1.1	60988
ENSCAFG00845010681	ENSCAFG00845010655	lncgSS.dw	1.1.1	275	ENSG00000130770	ENSG00000271398	lncgSS.dw	1.1.1	238
ENSCAFG00845010723	ENSCAFG00845010677	lincConv	1.1.1	15623	ENSG00000266074	ENSG00000278200	lincConv	1.1.1	14192
ENSCAFG00845010723	ENSCAFG00845010811	lincSS.up	1.1.1	16661	ENSG00000266074	ENSG00000263154	lincSS.up	1.1.1	21243
ENSCAFG00845010723	ENSCAFG00845010811	lincSS.up	1.1.1	16661	ENSG00000266074	ENSG00000274833	lincSS.up	1.1.1	7691
ENSCAFG00845010727	ENSCAFG00845010686	lincSS.dw	1.1.1	10093	ENSG00000130638	ENSG00000279954	lincSS.dw	1.1.1	30625
ENSCAFG00845010745	ENSCAFG00845010887	lincSS.up	1.1.1	20860	ENSG00000106070	ENSG00000236046	lincSS.up	1.1.1	45901
ENSCAFG00845010758	ENSCAFG00845010536	lncgDivg	1.1.1	2824	ENSG00000112851	ENSG00000269961	lncgDivg	1.1.1	0
ENSCAFG00845010836	ENSCAFG00845010730	lncgSS.dw	1.1.1	749	ENSG00000152061	ENSG00000223525	lncgSS.dw	1.1.1	0
ENSCAFG00845010836	ENSCAFG00845010730	lncgSS.dw	1.1.1	749	ENSG00000152061	ENSG00000289425	lncgSS.dw	1.1.1	0
ENSCAFG00845010883	ENSCAFG00845010832	lincSS.up	1.1.1	33738	ENSG00000157637	ENSG00000287431	lincSS.up	1.1.1	43636
ENSCAFG00845010883	ENSCAFG00845010832	lincSS.up	1.1.1	33738	ENSG00000157637	ENSG00000185332	lincSS.up	n.1.1	15723
ENSCAFG00845010883	ENSCAFG00845010832	lincSS.up	1.1.1	33738	ENSG00000157637	ENSG00000185168	lincSS.up	n.1.1	8224
ENSCAFG00845011003	ENSCAFG00845010999	lncgSS.up	1.1.1	2022	ENSG00000182348	ENSG00000233420	lncgSS.up	n.1.1	14755
