PCG.Mus_musculus	lncRNA.Mus_musculus	conf.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	PCG.Homo_sapiens	lncRNA.Homo_sapiens	conf.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens
ENSMUSG00000022914	ENSMUSG00000085884	lncgDivg	1.1.1	0	ENSG00000185658	ENSG00000272991	lncgDivg	1.1.1	0
ENSMUSG00000022948	ENSMUSG00000117317	lncgDivg	1.1.1	0	ENSG00000185917	ENSG00000236119	lncgDivg	1.1.1	3470
ENSMUSG00000022948	ENSMUSG00000117317	lncgDivg	1.1.1	0	ENSG00000185917	ENSG00000236677	lncgDivg	1.1.1	0
ENSMUSG00000022949	ENSMUSG00000116709	lincConv	1.1.1	7870	ENSG00000159212	ENSG00000230978	lincConv	n.1.1	5580
ENSMUSG00000022952	ENSMUSG00000097139	lncgDivg	1.1.1	0	ENSG00000159216	ENSG00000231106	lncgDivg	1.1.1	470
ENSMUSG00000022952	ENSMUSG00000097139	lncgDivg	1.1.1	0	ENSG00000159216	ENSG00000286153	lncgDivg	n.1.1	0
ENSMUSG00000022952	ENSMUSG00000097139	lncgDivg	1.1.1	0	ENSG00000159216	ENSG00000234703	lncgDivg	1.1.1	0
ENSMUSG00000022971	ENSMUSG00000120333	lincDivg	n.1.1	5639	ENSG00000159110	ENSG00000229086	lincDivg	n.1.1	34633
ENSMUSG00000022978	ENSMUSG00000116582	lincSS.dw	1.1.1	42312	ENSG00000159055	ENSG00000261610	lincSS.dw	1.1.1	6643
ENSMUSG00000022978	ENSMUSG00000120489	lncgDivg	1.1.1	66	ENSG00000159055	ENSG00000227256	lncgDivg	1.1.1	0
ENSMUSG00000022983	ENSMUSG00000120905	lncgDivg	1.1.1	112	ENSG00000156304	ENSG00000273091	lncgDivg	1.1.1	3614
ENSMUSG00000022994	ENSMUSG00000100220	lncgDivg	1.1.1	0	ENSG00000174233	ENSG00000257660	lncgDivg	n.1.1	487
ENSMUSG00000022994	ENSMUSG00000100220	lncgDivg	1.1.1	0	ENSG00000174233	ENSG00000257653	lncgDivg	1.1.1	0
ENSMUSG00000023000	ENSMUSG00000116033	lncgDivg	1.1.1	0	ENSG00000139549	ENSG00000257346	lncgDivg	n.n.1	0
ENSMUSG00000023004	ENSMUSG00000116223	lncgDivg	n.n.n	0	ENSG00000123416	ENSG00000258017	lncgDivg	n.n.1	0
ENSMUSG00000023022	ENSMUSG00000116518	lncgDivg	n.1.1	77	ENSG00000050405	ENSG00000257256	lncgDivg	1.1.1	0
ENSMUSG00000023022	ENSMUSG00000090500	lncgDivg	1.1.1	0	ENSG00000050405	ENSG00000257256	lncgDivg	1.1.1	0
ENSMUSG00000023039	ENSMUSG00000116116	lncgDivg	1.1.1	0	ENSG00000135480	ENSG00000257671	lncgDivg	1.1.1	0
ENSMUSG00000023051	ENSMUSG00000121046	lncgDivg	1.1.1	321	ENSG00000139546	ENSG00000270175	lncgDivg	1.1.1	0
ENSMUSG00000023055	ENSMUSG00000116500	lincDivg	1.1.1	75317	ENSG00000012822	ENSG00000260030	lincDivg	1.1.1	26613
ENSMUSG00000023055	ENSMUSG00000116500	lincDivg	1.1.1	75317	ENSG00000012822	ENSG00000286069	lincDivg	n.1.1	11866
ENSMUSG00000023150	ENSMUSG00000100954	lncgDivg	n.n.1	0	ENSG00000116679	ENSG00000273004	lncgDivg	1.1.1	506
ENSMUSG00000023176	ENSMUSG00000101888	lincConv	1.1.1	56079	ENSG00000178772	ENSG00000238097	lincConv	n.1.1	79048
ENSMUSG00000023176	ENSMUSG00000101888	lincConv	1.1.1	56079	ENSG00000178772	ENSG00000286317	lincConv	1.1.1	37720
ENSMUSG00000023176	ENSMUSG00000101888	lincConv	1.1.1	56079	ENSG00000178772	ENSG00000228271	lincConv	n.1.1	52400
ENSMUSG00000023176	ENSMUSG00000097621	lincSS.dw	1.1.1	50499	ENSG00000178772	ENSG00000214145	lincSS.dw	n.1.1	16897
ENSMUSG00000023336	ENSMUSG00000110453	lncgDivg	1.1.1	0	ENSG00000103175	ENSG00000260530	lncgDivg	1.1.1	0
ENSMUSG00000023460	ENSMUSG00000121111	lncgDivg	n.1.1	0	ENSG00000206418	ENSG00000266708	lncgDivg	1.1.1	0
ENSMUSG00000023473	ENSMUSG00000103785	lncgDivg	n.1.1	1222	ENSG00000008300	ENSG00000228350	lncgDivg	1.1.1	890
ENSMUSG00000023826	ENSMUSG00000100402	lncgDivg	1.1.1	0	ENSG00000185345	ENSG00000286805	lncgDivg	1.1.1	0
ENSMUSG00000023826	ENSMUSG00000100402	lncgDivg	1.1.1	0	ENSG00000185345	ENSG00000286498	lncgDivg	1.1.1	0
ENSMUSG00000023828	ENSMUSG00000117314	lncgDivg	n.1.1	0	ENSG00000146477	ENSG00000287656	lncgDivg	1.1.1	0
ENSMUSG00000023852	ENSMUSG00000120176	lncgDivg	1.1.1	110	ENSG00000153922	ENSG00000248489	lncgDivg	n.1.1	156
ENSMUSG00000023886	ENSMUSG00000116801	lincSS.dw	1.1.1	44781	ENSG00000112562	ENSG00000289090	lincSS.dw	1.1.1	52690
ENSMUSG00000023886	ENSMUSG00000116801	lincSS.dw	1.1.1	44781	ENSG00000112562	ENSG00000235815	lincSS.dw	1.1.1	43161
ENSMUSG00000023911	ENSMUSG00000086719	lncgConv	1.1.1	0	ENSG00000162076	ENSG00000289222	lncgConv	1.1.1	4158
ENSMUSG00000023951	ENSMUSG00000117040	lincConv	1.1.1	53144	ENSG00000112715	ENSG00000283215	lincConv	n.1.1	58391
ENSMUSG00000023951	ENSMUSG00000117040	lincConv	1.1.1	53144	ENSG00000112715	ENSG00000223469	lincConv	1.1.1	65270
ENSMUSG00000023961	ENSMUSG00000120221	lncgDivg	n.1.1	143	ENSG00000001561	ENSG00000231769	lncgDivg	n.1.1	132
ENSMUSG00000023991	ENSMUSG00000085932	lncgDivg	1.1.1	0	ENSG00000137166	ENSG00000234753	lncgDivg	n.n.1	0
ENSMUSG00000024002	ENSMUSG00000097217	lncgDivg	n.1.1	65	ENSG00000141867	ENSG00000290008	lncgDivg	1.1.1	68
ENSMUSG00000024011	ENSMUSG00000117592	lncgDivg	n.1.1	0	ENSG00000164530	ENSG00000232598	lncgDivg	1.1.1	3588
ENSMUSG00000024042	ENSMUSG00000117355	lincConv	n.1.1	50940	ENSG00000142178	ENSG00000225637	lincConv	1.1.1	47917
ENSMUSG00000024042	ENSMUSG00000117562	lincSS.up	1.1.1	39835	ENSG00000142178	ENSG00000185186	lincSS.up	n.1.1	34829
ENSMUSG00000024042	ENSMUSG00000120937	lincSS.up	1.1.1	13387	ENSG00000142178	ENSG00000185186	lincSS.up	n.1.1	34829
ENSMUSG00000024044	ENSMUSG00000117323	lincSS.dw	1.1.1	26005	ENSG00000082397	ENSG00000266288	lincSS.dw	1.1.1	7051
ENSMUSG00000024044	ENSMUSG00000100572	lncgDivg	1.1.1	0	ENSG00000082397	ENSG00000264000	lncgDivg	1.1.1	0
ENSMUSG00000024044	ENSMUSG00000100572	lncgDivg	1.1.1	0	ENSG00000082397	ENSG00000265316	lncgDivg	1.1.1	0
ENSMUSG00000024053	ENSMUSG00000117137	lncgDivg	1.1.1	3451	ENSG00000132205	ENSG00000289061	lncgDivg	n.n.1	0
ENSMUSG00000024064	ENSMUSG00000117118	lncgDivg	1.1.1	0	ENSG00000158089	ENSG00000234579	lncgDivg	1.1.1	0
ENSMUSG00000024064	ENSMUSG00000117023	lncgDivg	1.1.1	0	ENSG00000158089	ENSG00000234579	lncgDivg	1.1.1	0
ENSMUSG00000024073	ENSMUSG00000117358	lncgDivg	n.1.1	175	ENSG00000115760	ENSG00000230046	lncgDivg	1.1.1	0
ENSMUSG00000024073	ENSMUSG00000117358	lncgDivg	n.1.1	175	ENSG00000115760	ENSG00000290864	lncgDivg	n.1.1	0
ENSMUSG00000024073	ENSMUSG00000097546	lncgDivg	1.1.1	0	ENSG00000115760	ENSG00000230046	lncgDivg	1.1.1	0
ENSMUSG00000024073	ENSMUSG00000097546	lncgDivg	1.1.1	0	ENSG00000115760	ENSG00000290864	lncgDivg	n.1.1	0
ENSMUSG00000024074	ENSMUSG00000117648	lncgDivg	1.1.1	223	ENSG00000150938	ENSG00000273090	lncgDivg	1.1.1	0
ENSMUSG00000024074	ENSMUSG00000117648	lncgDivg	1.1.1	223	ENSG00000150938	ENSG00000260025	lncgDivg	1.1.1	307
ENSMUSG00000024085	ENSMUSG00000117105	lincSS.dw	1.1.1	12001	ENSG00000112893	ENSG00000254106	lincSS.dw	1.1.1	13557
ENSMUSG00000024085	ENSMUSG00000091160	lncgDivg	1.1.1	0	ENSG00000112893	ENSG00000271849	lncgDivg	1.1.1	1598
ENSMUSG00000024087	ENSMUSG00000117426	lincDivg	1.1.1	18813	ENSG00000138061	ENSG00000273006	lincDivg	1.1.1	83446
ENSMUSG00000024087	ENSMUSG00000117616	lincDivg	1.1.1	56901	ENSG00000138061	ENSG00000273006	lincDivg	1.1.1	83446
ENSMUSG00000024096	ENSMUSG00000117250	lncgDivg	1.1.1	622	ENSG00000017797	ENSG00000273335	lncgDivg	1.1.1	1003
ENSMUSG00000024096	ENSMUSG00000117335	lncgDivg	n.n.1	0	ENSG00000017797	ENSG00000273335	lncgDivg	1.1.1	1003
ENSMUSG00000024109	ENSMUSG00000071033	lncgDivg	1.1.1	0	ENSG00000179915	ENSG00000283058	lncgDivg	1.1.1	0
ENSMUSG00000024109	ENSMUSG00000071033	lncgDivg	1.1.1	0	ENSG00000179915	ENSG00000286412	lncgDivg	1.1.1	0
ENSMUSG00000024109	ENSMUSG00000071033	lncgDivg	1.1.1	0	ENSG00000179915	ENSG00000285548	lncgDivg	1.1.1	0
ENSMUSG00000024109	ENSMUSG00000071033	lncgDivg	1.1.1	0	ENSG00000179915	ENSG00000231918	lncgDivg	1.1.1	0
ENSMUSG00000024109	ENSMUSG00000090160	lncgDivg	1.1.1	0	ENSG00000179915	ENSG00000283058	lncgDivg	1.1.1	0
ENSMUSG00000024109	ENSMUSG00000090160	lncgDivg	1.1.1	0	ENSG00000179915	ENSG00000286412	lncgDivg	1.1.1	0
ENSMUSG00000024109	ENSMUSG00000090160	lncgDivg	1.1.1	0	ENSG00000179915	ENSG00000285548	lncgDivg	1.1.1	0
ENSMUSG00000024109	ENSMUSG00000090160	lncgDivg	1.1.1	0	ENSG00000179915	ENSG00000231918	lncgDivg	1.1.1	0
ENSMUSG00000024118	ENSMUSG00000085185	lncgConv	n.n.n	0	ENSG00000162062	ENSG00000259895	lncgConv	1.1.1	0
ENSMUSG00000024122	ENSMUSG00000117523	lncgDivg	1.1.1	0	ENSG00000140992	ENSG00000260436	lncgDivg	1.1.1	0
ENSMUSG00000024122	ENSMUSG00000117523	lncgDivg	1.1.1	0	ENSG00000140992	ENSG00000261140	lncgDivg	1.1.1	0
ENSMUSG00000024122	ENSMUSG00000117523	lncgDivg	1.1.1	0	ENSG00000140992	ENSG00000269937	lncgDivg	1.1.1	0
ENSMUSG00000024122	ENSMUSG00000117523	lncgDivg	1.1.1	0	ENSG00000140992	ENSG00000261613	lncgDivg	1.1.1	0
ENSMUSG00000024122	ENSMUSG00000117523	lncgDivg	1.1.1	0	ENSG00000140992	ENSG00000261093	lncgDivg	1.1.1	0
ENSMUSG00000024135	ENSMUSG00000117501	lincSS.dw	n.1.1	56058	ENSG00000068784	ENSG00000205054	lincSS.dw	n.1.1	65283
ENSMUSG00000024190	ENSMUSG00000118068	lncgSS.up	1.1.1	0	ENSG00000120129	ENSG00000289170	lncgSS.up	1.1.1	992
ENSMUSG00000024206	ENSMUSG00000121209	lncgDivg	1.1.1	0	ENSG00000087903	ENSG00000267262	lncgDivg	n.1.1	0
ENSMUSG00000024206	ENSMUSG00000121209	lncgDivg	1.1.1	0	ENSG00000087903	ENSG00000267299	lncgDivg	1.1.1	0
ENSMUSG00000024219	ENSMUSG00000117263	lncgDivg	1.1.1	0	ENSG00000064999	ENSG00000286550	lncgDivg	1.1.1	0
ENSMUSG00000024219	ENSMUSG00000085846	lncgDivg	1.1.1	0	ENSG00000064999	ENSG00000286550	lncgDivg	1.1.1	0
ENSMUSG00000024222	ENSMUSG00000117084	lncgDivg	1.1.1	0	ENSG00000096060	ENSG00000287458	lncgDivg	1.1.1	0
ENSMUSG00000024223	ENSMUSG00000117131	lncgDivg	1.1.1	72	ENSG00000157343	ENSG00000232909	lncgDivg	1.1.1	85
ENSMUSG00000024234	ENSMUSG00000097641	lncgDivg	1.1.1	0	ENSG00000107951	ENSG00000285824	lncgDivg	1.1.1	0
ENSMUSG00000024234	ENSMUSG00000117579	lncgSS.dw	1.1.1	1998	ENSG00000107951	ENSG00000259994	lncgSS.dw	1.1.1	3735
ENSMUSG00000024235	ENSMUSG00000120299	lncgDivg	1.1.1	52	ENSG00000107968	ENSG00000289874	lncgDivg	1.1.1	149
ENSMUSG00000024235	ENSMUSG00000117401	lncgDivg	n.n.n	543	ENSG00000107968	ENSG00000289874	lncgDivg	1.1.1	149
ENSMUSG00000024238	ENSMUSG00000063087	lncgDivg	n.n.1	0	ENSG00000148516	ENSG00000237036	lncgDivg	n.n.1	0
ENSMUSG00000024240	ENSMUSG00000101320	lncgDivg	n.n.1	0	ENSG00000120616	ENSG00000226842	lncgDivg	1.1.1	0
ENSMUSG00000024240	ENSMUSG00000101320	lncgDivg	n.n.1	0	ENSG00000120616	ENSG00000229327	lncgDivg	1.1.1	0
ENSMUSG00000024240	ENSMUSG00000101320	lncgDivg	n.n.1	0	ENSG00000120616	ENSG00000233825	lncgDivg	1.1.1	0
ENSMUSG00000024247	ENSMUSG00000117509	lincDivg	n.1.1	94551	ENSG00000162878	ENSG00000205086	lincDivg	n.1.1	91215
ENSMUSG00000024247	ENSMUSG00000117509	lincDivg	n.1.1	94551	ENSG00000162878	ENSG00000226398	lincDivg	1.1.1	22719
ENSMUSG00000024268	ENSMUSG00000114511	lncgDivg	1.1.1	0	ENSG00000101489	ENSG00000267707	lncgDivg	1.1.1	0
ENSMUSG00000024268	ENSMUSG00000114511	lncgDivg	1.1.1	0	ENSG00000101489	ENSG00000267202	lncgDivg	n.1.1	0
ENSMUSG00000024268	ENSMUSG00000114511	lncgDivg	1.1.1	0	ENSG00000101489	ENSG00000285940	lncgDivg	n.n.1	0
ENSMUSG00000024268	ENSMUSG00000114306	lncgDivg	1.1.1	0	ENSG00000101489	ENSG00000267707	lncgDivg	1.1.1	0
ENSMUSG00000024268	ENSMUSG00000114306	lncgDivg	1.1.1	0	ENSG00000101489	ENSG00000267202	lncgDivg	n.1.1	0
ENSMUSG00000024268	ENSMUSG00000114306	lncgDivg	1.1.1	0	ENSG00000101489	ENSG00000285940	lncgDivg	n.n.1	0
ENSMUSG00000024268	ENSMUSG00000120137	lncgDivg	n.1.1	227	ENSG00000101489	ENSG00000267707	lncgDivg	1.1.1	0
ENSMUSG00000024268	ENSMUSG00000120137	lncgDivg	n.1.1	227	ENSG00000101489	ENSG00000267202	lncgDivg	n.1.1	0
ENSMUSG00000024268	ENSMUSG00000120137	lncgDivg	n.1.1	227	ENSG00000101489	ENSG00000285940	lncgDivg	n.n.1	0
ENSMUSG00000024283	ENSMUSG00000117505	lncgDivg	1.1.1	0	ENSG00000095787	ENSG00000254635	lncgDivg	n.n.1	0
ENSMUSG00000024294	ENSMUSG00000095438	lncgDivg	n.1.1	0	ENSG00000101752	ENSG00000265142	lncgDivg	n.1.1	0
ENSMUSG00000024302	ENSMUSG00000114088	lncgDivg	1.1.1	0	ENSG00000134769	ENSG00000268873	lncgDivg	1.1.1	0
ENSMUSG00000024335	ENSMUSG00000117829	lncgDivg	1.1.1	0	ENSG00000204256	ENSG00000263756	lncgDivg	1.1.1	0
ENSMUSG00000024347	ENSMUSG00000118122	lincSS.up	1.1.1	35246	ENSG00000146005	ENSG00000271792	lincSS.up	1.1.1	20336
ENSMUSG00000024347	ENSMUSG00000118347	lincSS.up	n.n.n	46310	ENSG00000146005	ENSG00000271792	lincSS.up	1.1.1	20336
ENSMUSG00000024357	ENSMUSG00000117731	lncgDivg	1.1.1	0	ENSG00000120725	ENSG00000249593	lncgDivg	n.n.1	0
ENSMUSG00000024357	ENSMUSG00000118386	lncgDivg	1.1.1	0	ENSG00000120725	ENSG00000249593	lncgDivg	n.n.1	0
ENSMUSG00000024360	ENSMUSG00000120539	lncgDivg	1.1.1	124	ENSG00000120705	ENSG00000289155	lncgDivg	1.1.1	228
ENSMUSG00000024371	ENSMUSG00000121067	lncgDivg	1.1.1	0	ENSG00000166278	ENSG00000281756	lncgDivg	1.1.1	0
ENSMUSG00000024384	ENSMUSG00000120022	lncgDivg	1.1.1	0	ENSG00000163166	ENSG00000231731	lncgDivg	n.n.1	0
ENSMUSG00000024388	ENSMUSG00000084824	lncgDivg	1.1.1	0	ENSG00000169994	ENSG00000272789	lncgDivg	1.1.1	0
ENSMUSG00000024393	ENSMUSG00000090936	lncgDivg	1.1.1	222	ENSG00000204469	ENSG00000289375	lncgDivg	1.1.1	309
ENSMUSG00000024411	ENSMUSG00000117380	lincSS.dw	1.1.1	76797	ENSG00000171885	ENSG00000263382	lincSS.dw	n.1.1	26872
ENSMUSG00000024411	ENSMUSG00000119962	lincSS.dw	n.1.1	43297	ENSG00000171885	ENSG00000263382	lincSS.dw	n.1.1	26872
ENSMUSG00000024420	ENSMUSG00000117608	lincSS.dw	n.1.1	85613	ENSG00000198795	ENSG00000264345	lincSS.dw	n.1.1	74005
ENSMUSG00000024424	ENSMUSG00000117418	lncgDivg	1.1.1	0	ENSG00000168234	ENSG00000265204	lncgDivg	1.1.1	0
ENSMUSG00000024424	ENSMUSG00000117418	lncgDivg	1.1.1	0	ENSG00000168234	ENSG00000264924	lncgDivg	1.1.1	0
ENSMUSG00000024424	ENSMUSG00000117418	lncgDivg	1.1.1	0	ENSG00000168234	ENSG00000264745	lncgDivg	1.1.1	0
ENSMUSG00000024424	ENSMUSG00000117573	lncgDivg	1.1.1	0	ENSG00000168234	ENSG00000265204	lncgDivg	1.1.1	0
ENSMUSG00000024424	ENSMUSG00000117573	lncgDivg	1.1.1	0	ENSG00000168234	ENSG00000264924	lncgDivg	1.1.1	0
ENSMUSG00000024424	ENSMUSG00000117573	lncgDivg	1.1.1	0	ENSG00000168234	ENSG00000264745	lncgDivg	1.1.1	0
ENSMUSG00000024427	ENSMUSG00000118257	lncgDivg	n.n.n	119	ENSG00000187678	ENSG00000231185	lncgDivg	n.n.n	0
ENSMUSG00000024431	ENSMUSG00000118117	lincDivg	n.1.1	19935	ENSG00000113580	ENSG00000251205	lincDivg	n.1.1	95819
ENSMUSG00000024500	ENSMUSG00000117792	lncgSS.up	n.n.n	0	ENSG00000156475	ENSG00000249553	lncgSS.up	1.1.1	0
ENSMUSG00000024524	ENSMUSG00000117868	lincDivg	1.1.1	56698	ENSG00000141404	ENSG00000260759	lincDivg	1.1.1	19099
ENSMUSG00000024525	ENSMUSG00000046415	lncgConv	n.n.1	0	ENSG00000141401	ENSG00000267480	lncgConv	1.1.1	301
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000267136	lncgDivg	1.1.1	0
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000267239	lncgDivg	n.1.1	1131
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000267694	lncgDivg	1.1.1	0
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000267529	lncgDivg	n.1.1	0
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000267503	lncgDivg	1.1.1	0
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000266954	lncgDivg	1.1.1	0
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000267393	lncgDivg	1.1.1	0
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000267177	lncgDivg	1.1.1	0
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000286926	lncgDivg	1.1.1	0
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000267690	lncgDivg	1.1.1	0
ENSMUSG00000024544	ENSMUSG00000117891	lncgDivg	1.1.1	0	ENSG00000168675	ENSG00000267366	lncgDivg	1.1.1	0
ENSMUSG00000024552	ENSMUSG00000117661	lncgDivg	n.1.1	0	ENSG00000132874	ENSG00000287943	lncgDivg	1.1.1	0
ENSMUSG00000024552	ENSMUSG00000117661	lncgDivg	n.1.1	0	ENSG00000132874	ENSG00000267193	lncgDivg	1.1.1	0
ENSMUSG00000024552	ENSMUSG00000117661	lncgDivg	n.1.1	0	ENSG00000132874	ENSG00000285790	lncgDivg	1.1.1	0
ENSMUSG00000024552	ENSMUSG00000117661	lncgDivg	n.1.1	0	ENSG00000132874	ENSG00000267097	lncgDivg	n.1.1	0
ENSMUSG00000024558	ENSMUSG00000090263	lncgDivg	1.1.1	0	ENSG00000141639	ENSG00000287381	lncgDivg	1.1.1	0
ENSMUSG00000024565	ENSMUSG00000118262	lincDivg	1.1.1	96293	ENSG00000256463	ENSG00000266586	lincDivg	1.1.1	60825
ENSMUSG00000024565	ENSMUSG00000118262	lincDivg	1.1.1	96293	ENSG00000256463	ENSG00000265101	lincDivg	1.1.1	52377
ENSMUSG00000024565	ENSMUSG00000118268	lincDivg	1.1.1	60053	ENSG00000256463	ENSG00000266586	lincDivg	1.1.1	60825
ENSMUSG00000024565	ENSMUSG00000118268	lincDivg	1.1.1	60053	ENSG00000256463	ENSG00000265101	lincDivg	1.1.1	52377
ENSMUSG00000024565	ENSMUSG00000098720	lncgDivg	1.1.1	685	ENSG00000256463	ENSG00000263146	lncgDivg	n.1.1	1935
ENSMUSG00000024566	ENSMUSG00000114891	lncgDivg	1.1.1	0	ENSG00000166377	ENSG00000286245	lncgDivg	1.1.1	0
ENSMUSG00000024566	ENSMUSG00000114891	lncgDivg	1.1.1	0	ENSG00000166377	ENSG00000267628	lncgDivg	1.1.1	0
ENSMUSG00000024566	ENSMUSG00000114891	lncgDivg	1.1.1	0	ENSG00000166377	ENSG00000267015	lncgDivg	1.1.1	0
ENSMUSG00000024578	ENSMUSG00000102778	lncgDivg	1.1.1	0	ENSG00000127743	ENSG00000249669	lncgDivg	n.1.1	16326
ENSMUSG00000024578	ENSMUSG00000102778	lncgDivg	1.1.1	0	ENSG00000127743	ENSG00000253865	lncgDivg	1.1.1	0
ENSMUSG00000024589	ENSMUSG00000118045	lincDivg	1.1.1	81209	ENSG00000049759	ENSG00000267209	lincDivg	n.1.1	79792
ENSMUSG00000024589	ENSMUSG00000120534	lncgDivg	1.1.1	0	ENSG00000049759	ENSG00000267396	lncgDivg	1.1.1	0
ENSMUSG00000024589	ENSMUSG00000120534	lncgDivg	1.1.1	0	ENSG00000049759	ENSG00000267743	lncgDivg	n.1.1	0
ENSMUSG00000024589	ENSMUSG00000117895	lncgDivg	1.1.1	0	ENSG00000049759	ENSG00000267396	lncgDivg	1.1.1	0
ENSMUSG00000024589	ENSMUSG00000117895	lncgDivg	1.1.1	0	ENSG00000049759	ENSG00000267743	lncgDivg	n.1.1	0
ENSMUSG00000024589	ENSMUSG00000114210	lncgDivg	1.1.1	0	ENSG00000049759	ENSG00000267396	lncgDivg	1.1.1	0
ENSMUSG00000024589	ENSMUSG00000114210	lncgDivg	1.1.1	0	ENSG00000049759	ENSG00000267743	lncgDivg	n.1.1	0
ENSMUSG00000024593	ENSMUSG00000118343	lincSS.dw	1.1.1	18930	ENSG00000145794	ENSG00000271766	lincSS.dw	1.1.1	12558
ENSMUSG00000024642	ENSMUSG00000120068	lncgDivg	1.1.1	436	ENSG00000106829	ENSG00000233086	lncgDivg	n.1.1	39431
ENSMUSG00000024646	ENSMUSG00000089744	lncgDivg	n.1.1	0	ENSG00000166347	ENSG00000286529	lncgDivg	1.1.1	1244
ENSMUSG00000024654	ENSMUSG00000024658	lncgDivg	1.1.1	0	ENSG00000162174	ENSG00000255126	lncgDivg	1.1.1	0
ENSMUSG00000024654	ENSMUSG00000024658	lncgDivg	1.1.1	0	ENSG00000162174	ENSG00000255118	lncgDivg	1.1.1	0
ENSMUSG00000024660	ENSMUSG00000118100	lncgDivg	n.1.1	113	ENSG00000149503	ENSG00000285656	lncgDivg	1.1.1	231
ENSMUSG00000024660	ENSMUSG00000118138	lncgSS.dw	1.1.1	3301	ENSG00000149503	ENSG00000289194	lncgSS.dw	1.1.1	561
ENSMUSG00000024749	ENSMUSG00000118293	lncgDivg	1.1.1	0	ENSG00000165091	ENSG00000289993	lncgDivg	1.1.1	0
ENSMUSG00000024750	ENSMUSG00000118342	lincConv	1.1.1	23536	ENSG00000107372	ENSG00000225434	lincConv	n.n.1	0
ENSMUSG00000024782	ENSMUSG00000100075	lncgDivg	1.1.1	0	ENSG00000147853	ENSG00000287759	lncgDivg	n.1.1	0
ENSMUSG00000024785	ENSMUSG00000120326	lncgDivg	1.1.1	206	ENSG00000120158	ENSG00000228165	lncgDivg	1.1.1	0
ENSMUSG00000024795	ENSMUSG00000117865	lincSS.dw	1.1.1	78720	ENSG00000138182	ENSG00000232229	lincSS.dw	n.1.1	54544
ENSMUSG00000024795	ENSMUSG00000117865	lincSS.dw	1.1.1	78720	ENSG00000138182	ENSG00000280560	lincSS.dw	n.1.1	78656
ENSMUSG00000024803	ENSMUSG00000117998	lincDivg	1.1.1	62481	ENSG00000148677	ENSG00000289512	lincDivg	n.1.1	44892
ENSMUSG00000024803	ENSMUSG00000117998	lincDivg	1.1.1	62481	ENSG00000148677	ENSG00000225519	lincDivg	1.1.1	73533
ENSMUSG00000024817	ENSMUSG00000120593	lncgDivg	1.1.1	155	ENSG00000147854	ENSG00000233367	lncgDivg	1.1.1	0
ENSMUSG00000024824	ENSMUSG00000118245	lncgDivg	n.1.1	106	ENSG00000172613	ENSG00000287851	lncgDivg	1.1.1	440
ENSMUSG00000024843	ENSMUSG00000117912	lncgDivg	1.1.1	0	ENSG00000110721	ENSG00000255236	lncgDivg	n.1.1	180
ENSMUSG00000024862	ENSMUSG00000117710	lncgDivg	1.1.1	0	ENSG00000174996	ENSG00000254855	lncgDivg	1.1.1	0
ENSMUSG00000024862	ENSMUSG00000117710	lncgDivg	1.1.1	0	ENSG00000174996	ENSG00000254461	lncgDivg	1.1.1	0
ENSMUSG00000024867	ENSMUSG00000085003	lncgDivg	1.1.1	0	ENSG00000107242	ENSG00000236733	lncgDivg	1.1.1	0
ENSMUSG00000024867	ENSMUSG00000085003	lncgDivg	1.1.1	0	ENSG00000107242	ENSG00000288771	lncgDivg	n.1.1	0
ENSMUSG00000024867	ENSMUSG00000117979	lncgDivg	n.1.1	417	ENSG00000107242	ENSG00000236733	lncgDivg	1.1.1	0
ENSMUSG00000024867	ENSMUSG00000117979	lncgDivg	n.1.1	417	ENSG00000107242	ENSG00000288771	lncgDivg	n.1.1	0
ENSMUSG00000024897	ENSMUSG00000118340	lncgDivg	1.1.1	0	ENSG00000107282	ENSG00000261447	lncgDivg	1.1.1	378
ENSMUSG00000024897	ENSMUSG00000118340	lncgDivg	1.1.1	0	ENSG00000107282	ENSG00000229312	lncgDivg	1.1.1	0
ENSMUSG00000024921	ENSMUSG00000093628	lncgDivg	n.1.1	0	ENSG00000080503	ENSG00000236199	lncgDivg	1.1.1	0
